Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	
0.11052	82.642	0.24045	86.018	0.2444
0.16578	82.72	0.24065	86.1	0.24459
0.22104	82.604	0.24145	85.979	0.2454
0.2763	82.658	0.2401	86.034	0.24404
0.33156	82.797	0.24058	86.18	0.24451
0.38683	82.741	0.23993	86.122	0.24386
0.44209	82.823	0.24055	86.208	0.24448
0.49735	83.018	0.2401	86.411	0.24403
0.55261	82.961	0.24102	86.352	0.24496
0.60787	82.888	0.24096	86.276	0.2449
0.66313	82.8	0.24107	86.186	0.24504
0.71839	82.94	0.24138	86.332	0.24533
0.77365	82.924	0.24233	86.317	0.24629
0.82891	82.88	0.24294	86.272	0.24691
0.88417	83.061	0.24448	86.462	0.24843
0.93943	82.976	0.24312	86.373	0.24706
0.99469	83.042	0.24534	86.443	0.24929
1.05	83.001	0.24759	86.401	0.25154
1.1052	82.959	0.24776	86.358	0.25171
1.1605	82.788	0.24929	86.179	0.25325
1.2157	82.745	0.25067	86.136	0.25464
1.271	82.881	0.25198	86.278	0.25595
1.3263	82.97	0.24967	86.368	0.25363
1.3815	82.791	0.24699	86.179	0.25098
1.4368	82.653	0.24991	86.034	0.25392
1.492	82.616	0.25037	85.994	0.25439
1.5473	82.447	0.24988	85.817	0.25392
1.6026	82.389	0.24952	85.757	0.25355
1.6578	82.464	0.24676	85.835	0.25078
1.7131	82.452	0.24794	85.822	0.25197
1.7683	82.377	0.24784	85.745	0.25187
1.8236	82.352	0.24984	85.719	0.25388
1.8789	82.497	0.24886	85.87	0.25289
1.9341	82.525	0.24958	85.899	0.25362
1.9894	82.345	0.25087	85.711	0.25494
2.0447	82.437	0.2511	85.808	0.25516
2.0999	82.479	0.25082	85.852	0.25488
2.1552	82.391	0.25097	85.761	0.25503
2.2104	82.424	0.24968	85.793	0.25375
2.2657	82.242	0.24851	85.601	0.25259
2.321	82.255	0.25009	85.614	0.25418
2.3762	82.2	0.25206	85.557	0.25616
2.4315	82.313	0.25183	85.675	0.25592
2.4867	82.259	0.24923	85.618	0.25331
2.542	82.195	0.25053	85.552	0.25463
2.5973	82.254	0.25282	85.614	0.25692
2.6525	82.277	0.25131	85.639	0.25541
2.7078	82.124	0.25114	85.48	0.25524
2.763	82.338	0.25208	85.704	0.25617
2.8183	82.393	0.25293	85.761	0.25702
2.8736	82.231	0.25338	85.593	0.25748
2.9288	82.117	0.25355	85.475	0.25766
2.9841	82.102	0.25379	85.46	0.2579
3.0393	82.035	0.25348	85.39	0.2576
3.0946	81.967	0.25434	85.319	0.25847
3.1499	81.991	0.25366	85.344	0.25779
3.2051	81.911	0.2541	85.259	0.25824
3.2604	81.939	0.25324	85.288	0.25739
3.3156	81.953	0.25336	85.302	0.25751
3.3709	81.971	0.2538	85.321	0.25795
3.4262	81.978	0.25396	85.328	0.25811
3.4814	81.911	0.25403	85.258	0.2582
3.5367	81.778	0.25416	85.121	0.25833
3.592	81.721	0.25418	85.061	0.25836
3.6472	81.564	0.25623	84.898	0.26042
3.7025	81.528	0.25553	84.86	0.25973
3.7577	81.471	0.25553	84.801	0.25972
3.813	81.344	0.25455	84.669	0.25875
3.8683	81.406	0.25427	84.735	0.25846
3.9235	81.463	0.25405	84.796	0.25822
3.9788	81.367	0.25431	84.697	0.25849
4.034	81.33	0.25558	84.659	0.25976
4.0893	81.216	0.25671	84.541	0.26089
4.1446	81.222	0.25513	84.547	0.2593
4.1998	81.043	0.25478	84.361	0.25896
4.2551	81.079	0.2554	84.398	0.25958
4.3103	81.024	0.25644	84.341	0.26062
4.3656	81.033	0.25495	84.349	0.25913
4.4209	80.988	0.25573	84.303	0.25992
4.4761	80.979	0.25591	84.295	0.2601
4.5314	80.933	0.25689	84.248	0.26108
4.5866	80.99	0.25643	84.308	0.26061
4.6419	80.931	0.25726	84.249	0.26144
4.6972	80.942	0.2566	84.261	0.26076
4.7524	80.889	0.25527	84.205	0.25943
4.8077	80.908	0.25443	84.224	0.25859
4.863	80.908	0.25502	84.224	0.25918
4.9182	80.72	0.2561	84.029	0.26027
4.9735	80.585	0.2562	83.888	0.26037
