Time	Fascicle Length R1_F1	Pennation Angle R1_F1
0.051935	63.597	0.18772
0.10387	63.612	0.18856
0.1558	63.618	0.18862
0.20774	63.542	0.18831
0.25967	63.525	0.18826
0.31161	63.535	0.18846
0.36354	63.591	0.18894
0.41548	63.586	0.18877
0.46741	63.601	0.18972
0.51935	63.632	0.19088
0.57128	63.661	0.19074
0.62321	63.665	0.19091
0.67515	63.69	0.1914
0.72708	63.657	0.19109
0.77902	63.638	0.19026
0.83095	63.651	0.19023
0.88289	63.656	0.19009
0.93482	63.673	0.18941
0.98676	63.651	0.18934
1.0387	63.629	0.18909
1.0906	63.604	0.18923
1.1426	63.601	0.18932
1.1945	63.574	0.18883
1.2464	63.577	0.18886
1.2984	63.587	0.18851
1.3503	63.576	0.18819
1.4022	63.617	0.18839
1.4542	63.642	0.18854
1.5061	63.651	0.18807
1.558	63.665	0.18798
1.61	63.667	0.18815
1.6619	63.676	0.18835
1.7138	63.676	0.18803
1.7658	63.642	0.187
1.8177	63.645	0.18743
1.8696	63.607	0.1875
1.9216	63.61	0.18728
1.9735	63.616	0.18677
2.0254	63.641	0.18664
2.0774	63.677	0.18712
2.1293	63.66	0.18676
2.1813	63.635	0.18625
2.2332	63.658	0.18611
2.2851	63.666	0.18659
2.3371	63.663	0.18646
2.389	63.684	0.18598
2.4409	63.682	0.18613
2.4929	63.701	0.18618
2.5448	63.705	0.18626
2.5967	63.714	0.18561
2.6487	63.711	0.18535
2.7006	63.748	0.18526
2.7525	63.789	0.18528
2.8045	63.792	0.18574
2.8564	63.803	0.18531
2.9083	63.829	0.18457
2.9603	63.833	0.18431
3.0122	63.87	0.18466
3.0641	63.874	0.18538
3.1161	63.893	0.18563
3.168	63.888	0.18561
3.2199	63.905	0.1858
3.2719	63.943	0.18595
3.3238	63.91	0.18565
3.3757	63.929	0.18538
3.4277	63.91	0.1849
3.4796	63.901	0.18425
3.5316	63.922	0.18351
3.5835	63.928	0.18365
3.6354	63.986	0.18442
3.6874	63.98	0.1848
3.7393	63.957	0.18397
3.7912	63.913	0.18394
3.8432	63.958	0.18523
3.8951	64.024	0.1864
3.947	64.011	0.18626
3.999	63.991	0.18653
4.0509	64.016	0.18684
4.1028	64.025	0.18628
4.1548	64.029	0.18601
4.2067	64.004	0.18629
4.2586	64.063	0.18629
4.3106	64.078	0.18583
4.3625	64.092	0.18537
4.4144	64.106	0.18617
4.4664	64.167	0.18616
4.5183	64.132	0.18633
4.5702	64.181	0.18677
4.6222	64.193	0.18723
4.6741	64.221	0.18731
4.726	64.243	0.18711
4.778	64.247	0.18747
4.8299	64.259	0.18776
4.8818	64.222	0.18872
4.9338	64.253	0.18848
4.9857	64.24	0.18799
5.0377	64.21	0.18748
5.0896	64.272	0.18732
5.1415	64.241	0.1881
5.1935	64.273	0.18787
5.2454	64.3	0.18804
5.2973	64.302	0.18771
5.3493	64.322	0.18811
5.4012	64.311	0.18881
5.4531	64.367	0.18863
5.5051	64.363	0.18876
5.557	64.355	0.18931
5.6089	64.381	0.18842
5.6609	64.37	0.18819
5.7128	64.401	0.18792
5.7647	64.411	0.18888
5.8167	64.444	0.18967
5.8686	64.454	0.18992
5.9205	64.438	0.18963
5.9725	64.41	0.18995
6.0244	64.45	0.19026
6.0763	64.402	0.18922
6.1283	64.378	0.18908
6.1802	64.42	0.18967
6.2321	64.468	0.18921
6.2841	64.449	0.18898
6.336	64.502	0.19027
6.388	64.478	0.19152
6.4399	64.502	0.19086
6.4918	64.51	0.19035
6.5438	64.531	0.19059
6.5957	64.545	0.1912
6.6476	64.545	0.19176
6.6996	64.574	0.1926
6.7515	64.589	0.19279
6.8034	64.615	0.19276
6.8554	64.635	0.19276
6.9073	64.638	0.19266
6.9592	64.618	0.19231
7.0112	64.626	0.19214
7.0631	64.629	0.19134
7.115	64.637	0.1907
7.167	64.639	0.1905
7.2189	64.648	0.19053
7.2708	64.629	0.1908
7.3228	64.688	0.19204
7.3747	64.702	0.19374
7.4266	64.706	0.19517
7.4786	64.678	0.19688
7.5305	64.675	0.19852
7.5824	64.734	0.1997
7.6344	64.765	0.20056
7.6863	64.78	0.20095
7.7382	64.791	0.20026
7.7902	64.815	0.19996
7.8421	64.839	0.19957
7.8941	64.858	0.19886
7.946	64.858	0.19827
7.9979	64.858	0.19906
8.0499	64.854	0.19931
8.1018	64.819	0.19926
8.1537	64.853	0.19874
8.2057	64.814	0.19876
8.2576	64.846	0.19734
8.3095	64.817	0.19731
8.3615	64.811	0.19716
8.4134	64.841	0.19747
8.4653	64.849	0.19785
8.5173	64.821	0.19785
8.5692	64.817	0.19837
8.6211	64.851	0.19916
8.6731	64.85	0.19961
8.725	64.833	0.19999
8.7769	64.816	0.20026
8.8289	64.821	0.19987
8.8808	64.783	0.19982
8.9327	64.795	0.19972
8.9847	64.805	0.19925
9.0366	64.803	0.19942
9.0885	64.739	0.19926
9.1405	64.839	0.19844
9.1924	64.835	0.19994
9.2444	64.772	0.20044
9.2963	64.784	0.20046
9.3482	64.774	0.20097
9.4002	64.801	0.20233
9.4521	64.754	0.20232
9.504	64.753	0.20198
9.556	64.765	0.20228
9.6079	64.776	0.20299
9.6598	64.725	0.20303
9.7118	64.711	0.20306
9.7637	64.696	0.20351
9.8156	64.668	0.20313
9.8676	64.715	0.20259
9.9195	64.698	0.20276
9.9714	64.686	0.20289
10.023	64.651	0.20293
10.075	64.64	0.20286
10.127	64.623	0.20284
10.179	64.638	0.20281
10.231	64.594	0.20266
10.283	64.565	0.20229
10.335	64.6	0.20181
10.387	64.602	0.20161
10.439	64.609	0.20153
10.491	64.598	0.20105
10.543	64.579	0.20113
10.595	64.586	0.20017
10.647	64.553	0.20025
10.699	64.541	0.20049
10.75	64.537	0.20033
10.802	64.512	0.20073
10.854	64.483	0.20069
10.906	64.475	0.20023
10.958	64.521	0.20102
11.01	64.515	0.20083
11.062	64.461	0.20012
11.114	64.439	0.20085
11.166	64.438	0.20083
11.218	64.427	0.20112
11.27	64.421	0.20122
11.322	64.402	0.20125
11.374	64.385	0.20155
11.426	64.413	0.20226
11.478	64.395	0.20195
11.529	64.317	0.20147
11.581	64.325	0.20089
11.633	64.352	0.2006
11.685	64.294	0.20169
11.737	64.241	0.20189
11.789	64.273	0.2013
11.841	64.259	0.20185
11.893	64.232	0.20241
11.945	64.261	0.20345
11.997	64.275	0.2031
12.049	64.245	0.20398
12.101	64.203	0.20397
12.153	64.27	0.20291
12.205	64.28	0.20341
12.257	64.223	0.20486
12.308	64.182	0.20495
12.36	64.195	0.20422
12.412	64.176	0.20435
12.464	64.163	0.20532
12.516	64.126	0.20577
12.568	64.095	0.20538
12.62	64.056	0.20627
12.672	64.049	0.20593
12.724	64.008	0.20559
12.776	64.034	0.2066
12.828	64.027	0.20664
12.88	63.983	0.20668
12.932	63.946	0.2066
12.984	63.94	0.20722
13.036	63.963	0.20785
13.088	63.908	0.20782
13.139	63.906	0.20728
13.191	63.869	0.20773
13.243	63.818	0.2076
13.295	63.825	0.20792
13.347	63.804	0.20842
13.399	63.766	0.2083
13.451	63.737	0.20859
13.503	63.727	0.20817
13.555	63.777	0.20808
13.607	63.737	0.20922
13.659	63.747	0.20935
13.711	63.759	0.20955
13.763	63.693	0.21011
13.815	63.681	0.21033
13.867	63.734	0.20933
13.918	63.692	0.20982
13.97	63.648	0.21089
14.022	63.66	0.21007
14.074	63.647	0.20935
14.126	63.676	0.20986
14.178	63.665	0.21091
14.23	63.643	0.21078
14.282	63.599	0.21086
14.334	63.623	0.20989
14.386	63.696	0.20946
14.438	63.675	0.20994
14.49	63.611	0.21012
14.542	63.591	0.21005
14.594	63.698	0.21056
14.646	63.795	0.21054
14.697	63.821	0.21196
14.749	63.734	0.20991
14.801	63.65	0.21082
14.853	63.658	0.21238
14.905	63.727	0.21332
14.957	63.719	0.21316
15.009	63.711	0.21425
15.061	63.671	0.21444
15.113	63.68	0.21446
15.165	63.656	0.21463
15.217	63.629	0.21423
15.269	63.667	0.21464
15.321	63.676	0.21497
15.373	63.621	0.21617
15.425	63.626	0.21587
15.476	63.616	0.21531
15.528	63.589	0.21564
15.58	63.589	0.21721
15.632	63.569	0.21704
15.684	63.583	0.21738
15.736	63.545	0.21655
15.788	63.522	0.2173
15.84	63.487	0.21712
15.892	63.402	0.21642
15.944	63.4	0.21544
15.996	63.371	0.2153
16.048	63.367	0.2148
16.1	63.294	0.21451
16.152	63.302	0.21592
16.204	63.283	0.21768
16.256	63.231	0.21775
16.307	63.267	0.21785
16.359	63.226	0.21805
16.411	63.155	0.21836
16.463	63.148	0.21859
16.515	63.151	0.21883
16.567	63.111	0.21956
16.619	63.112	0.21887
16.671	63.086	0.21815
16.723	63.061	0.21892
16.775	63.057	0.21931
16.827	63.04	0.21909
16.879	63.055	0.21916
16.931	63.022	0.21913
16.983	62.993	0.21928
17.035	63.002	0.21887
17.086	63.001	0.21857
17.138	62.965	0.21843
17.19	62.964	0.2176
17.242	62.945	0.21855
17.294	62.909	0.21868
17.346	62.882	0.21826
17.398	62.899	0.21872
17.45	62.853	0.21967
17.502	62.777	0.21991
17.554	62.785	0.21981
17.606	62.786	0.21938
17.658	62.734	0.22067
17.71	62.677	0.21932
17.762	62.671	0.21844
17.814	62.703	0.21792
17.865	62.665	0.218
17.917	62.713	0.21909
17.969	62.67	0.21909
18.021	62.609	0.21961
18.073	62.621	0.22014
18.125	62.621	0.2203
18.177	62.61	0.22059
18.229	62.55	0.22006
18.281	62.551	0.21999
18.333	62.544	0.22027
18.385	62.556	0.22007
18.437	62.587	0.22081
18.489	62.527	0.22075
18.541	62.526	0.22008
18.593	62.538	0.21977
18.645	62.603	0.22073
18.696	62.657	0.22166
18.748	62.622	0.22236
18.8	62.678	0.22226
18.852	62.714	0.22146
18.904	62.67	0.22106
18.956	62.653	0.22088
19.008	62.638	0.22042
19.06	62.616	0.22084
19.112	62.625	0.21989
19.164	62.64	0.21816
19.216	62.634	0.21837
19.268	62.673	0.21867
19.32	62.629	0.21799
19.372	62.641	0.21894
19.424	62.649	0.21882
19.475	62.644	0.21782
19.527	62.64	0.21843
19.579	62.642	0.21843
19.631	62.631	0.21816
19.683	62.56	0.21734
19.735	62.521	0.21612
19.787	62.403	0.21527
19.839	62.181	0.2137
19.891	62.189	0.21633
19.943	62.158	0.22516
19.995	62.127	0.2276
20.047	61.141	0.23709
20.099	56.999	0.25028
20.151	56.877	0.24268
20.203	55.754	0.25569
20.254	54.641	0.26046
20.306	53.404	0.25991
20.358	53.615	0.25504
20.41	53.391	0.25425
20.462	53.608	0.25617
20.514	52.616	0.26359
20.566	52.167	0.27053
20.618	51.91	0.27391
20.67	51.532	0.27365
