Time	Fascicle Length R1_F1	Pennation Angle R1_F1
0.055261	62.39	0.30744
0.11052	62.408	0.30789
0.16578	62.466	0.31069
0.22104	62.462	0.31465
0.2763	62.575	0.31565
0.33156	62.467	0.31714
0.38683	62.546	0.31816
0.44209	62.629	0.31738
0.49735	62.634	0.31789
0.55261	62.584	0.31681
0.60787	62.48	0.31801
0.66313	62.513	0.32096
0.71839	62.487	0.32
0.77365	62.601	0.3188
0.82891	62.558	0.31935
0.88417	62.67	0.31859
0.93943	62.671	0.31916
0.99469	62.782	0.31983
1.05	62.912	0.32024
1.1052	63.081	0.32109
1.1605	63.169	0.3208
1.2157	63.32	0.32053
1.271	63.379	0.32127
1.3263	63.411	0.32115
1.3815	63.567	0.3194
1.4368	63.658	0.3188
1.492	63.73	0.31879
1.5473	63.875	0.31883
1.6026	63.917	0.31854
1.6578	64.012	0.3183
1.7131	64.029	0.31865
1.7683	64.047	0.31873
1.8236	64.089	0.31875
1.8789	64.156	0.31861
1.9341	64.147	0.31699
1.9894	64.346	0.3144
2.0447	64.482	0.31525
2.0999	64.529	0.31485
2.1552	64.475	0.31425
2.2104	64.488	0.31282
2.2657	64.678	0.31048
2.321	64.736	0.30905
2.3762	64.945	0.30812
2.4315	64.867	0.30909
2.4867	64.922	0.3101
2.542	65.064	0.31025
2.5973	65.168	0.3095
2.6525	65.264	0.30841
2.7078	65.433	0.30772
2.763	65.462	0.30767
2.8183	65.524	0.30756
2.8736	65.602	0.30728
2.9288	65.606	0.3073
2.9841	65.608	0.30712
3.0393	65.629	0.30742
3.0946	65.749	0.3072
3.1499	65.788	0.30722
3.2051	65.807	0.30674
3.2604	65.876	0.30677
3.3156	65.957	0.30649
3.3709	66.047	0.30594
3.4262	66.115	0.30552
3.4814	66.159	0.30482
3.5367	66.251	0.30501
3.592	66.349	0.30463
3.6472	66.397	0.30438
3.7025	66.523	0.30361
3.7577	66.596	0.30324
3.813	66.668	0.30275
3.8683	66.779	0.30257
3.9235	66.901	0.30226
3.9788	66.966	0.30103
4.034	67.06	0.30111
4.0893	67.163	0.29976
4.1446	67.334	0.2998
4.1998	67.411	0.29913
4.2551	67.588	0.29861
4.3103	67.765	0.29673
4.3656	67.973	0.2914
4.4209	67.993	0.29185
4.4761	68.149	0.2908
4.5314	68.117	0.29079
4.5866	68.3	0.28951
4.6419	68.374	0.28991
4.6972	68.457	0.28945
4.7524	68.399	0.28917
4.8077	68.579	0.28766
4.863	68.599	0.28806
4.9182	68.605	0.28764
4.9735	68.742	0.28596
5.0287	68.829	0.28533
5.084	68.951	0.28471
5.1393	69.048	0.28319
5.1945	69.069	0.28253
5.2498	69.084	0.28175
5.305	69.021	0.28116
5.3603	69.087	0.28106
5.4156	69.112	0.28011
5.4708	69.219	0.27896
5.5261	69.285	0.27853
5.5813	69.207	0.27791
5.6366	69.305	0.27741
5.6919	69.366	0.27695
5.7471	69.389	0.27767
5.8024	69.374	0.27783
5.8576	69.435	0.27729
5.9129	69.403	0.27716
5.9682	69.465	0.27758
6.0234	69.518	0.27714
6.0787	69.516	0.27639
6.134	69.554	0.27638
6.1892	69.595	0.27604
6.2445	69.69	0.27498
6.2997	69.685	0.27467
6.355	69.718	0.27518
6.4103	69.789	0.27474
6.4655	69.839	0.2743
6.5208	69.8	0.27453
6.576	69.78	0.27481
6.6313	69.854	0.27443
6.6866	69.832	0.2748
6.7418	69.888	0.27498
6.7971	69.986	0.27549
6.8523	69.95	0.27483
6.9076	69.991	0.27493
6.9629	70.107	0.2739
7.0181	70.143	0.27346
7.0734	70.245	0.2737
7.1286	70.257	0.27367
7.1839	70.209	0.27371
7.2392	70.259	0.27333
7.2944	70.295	0.27363
7.3497	70.388	0.27332
7.405	70.355	0.27324
7.4602	70.374	0.27255
7.5155	70.392	0.27227
7.5707	70.435	0.27188
7.626	70.386	0.27201
7.6813	70.432	0.27169
7.7365	70.503	0.27147
7.7918	70.467	0.27098
7.847	70.484	0.27093
7.9023	70.424	0.27144
7.9576	70.517	0.27087
8.0128	70.497	0.27056
8.0681	70.493	0.26961
8.1233	70.561	0.26847
8.1786	70.546	0.2678
8.2339	70.544	0.26741
8.2891	70.56	0.26685
8.3444	70.58	0.26673
8.3996	70.597	0.26622
8.4549	70.528	0.26615
8.5102	70.486	0.2667
8.5654	70.534	0.26635
8.6207	70.556	0.26635
8.676	70.495	0.26702
8.7312	70.371	0.26715
8.7865	70.373	0.2675
8.8417	70.341	0.26713
8.897	70.361	0.26712
8.9523	70.348	0.26701
9.0075	70.243	0.26687
9.0628	70.214	0.26758
9.118	70.217	0.26733
9.1733	70.168	0.2676
9.2286	70.092	0.26707
9.2838	70.043	0.26682
9.3391	70.054	0.26754
9.3943	69.969	0.26737
9.4496	70.011	0.26697
9.5049	70.015	0.26678
9.5601	69.941	0.26684
9.6154	69.945	0.26674
9.6706	70.004	0.2667
9.7259	69.977	0.26692
9.7812	69.981	0.26669
9.8364	69.945	0.2668
9.8917	69.939	0.2668
9.9469	69.91	0.2668
10.002	69.963	0.26611
10.057	69.954	0.26605
10.113	69.891	0.26618
10.168	69.794	0.26631
10.223	69.72	0.26606
10.279	69.618	0.26618
10.334	69.57	0.26637
10.389	69.633	0.26561
10.444	69.546	0.26627
10.5	69.506	0.26629
10.555	69.544	0.26614
10.61	69.422	0.26699
10.665	69.337	0.2677
10.721	69.329	0.26745
10.776	69.218	0.26852
10.831	69.157	0.26891
10.886	69.185	0.26799
10.942	69.152	0.26841
10.997	69.083	0.26917
11.052	69.017	0.26979
11.107	68.963	0.27001
11.163	68.946	0.27036
11.218	68.931	0.27049
11.273	68.902	0.27072
11.328	68.998	0.27003
11.384	68.875	0.27064
11.439	68.861	0.27087
11.494	68.841	0.2721
11.55	68.689	0.27372
11.605	68.533	0.27466
11.66	68.492	0.27409
11.715	68.471	0.27385
11.771	68.534	0.27359
11.826	68.461	0.27393
11.881	68.427	0.27399
11.936	68.387	0.27387
11.992	68.434	0.27398
12.047	68.338	0.2718
12.102	68.318	0.27202
12.157	68.328	0.27263
12.213	68.295	0.27235
12.268	68.27	0.27332
12.323	68.289	0.27273
12.378	68.31	0.27121
12.434	68.284	0.2709
12.489	68.222	0.27194
12.544	68.256	0.27232
12.599	68.281	0.27236
12.655	68.198	0.27172
12.71	68.228	0.27397
12.765	68.276	0.2743
12.821	68.259	0.27379
12.876	68.242	0.27369
12.931	68.202	0.273
12.986	68.239	0.27381
13.042	68.19	0.27452
13.097	68.148	0.27643
13.152	68.085	0.27673
13.207	68.063	0.276
13.263	68.133	0.27484
13.318	68.132	0.27492
13.373	68.089	0.27455
13.428	68.036	0.27324
13.484	68.091	0.27262
13.539	68.026	0.27322
13.594	67.9	0.27396
13.649	67.85	0.27277
13.705	67.953	0.27276
13.76	67.754	0.27543
13.815	67.745	0.2761
13.87	67.748	0.27633
13.926	67.641	0.27857
13.981	67.498	0.27792
14.036	67.401	0.2796
14.092	67.397	0.27843
14.147	67.253	0.27935
14.202	67.127	0.2814
14.257	67.054	0.28164
14.313	66.939	0.28149
14.368	66.862	0.28254
14.423	66.814	0.28217
14.478	66.839	0.28106
14.534	66.697	0.28081
14.589	66.573	0.27869
14.644	66.334	0.2789
14.699	66.265	0.28039
14.755	66.223	0.28098
14.81	66.129	0.28103
14.865	66.014	0.28062
14.92	65.971	0.27922
14.976	66.053	0.2774
15.031	65.897	0.27689
15.086	65.835	0.27696
15.141	65.875	0.27725
15.197	65.719	0.27653
15.252	65.744	0.27614
15.307	65.772	0.2754
15.363	65.785	0.27541
15.418	65.716	0.275
15.473	65.627	0.27565
15.528	65.481	0.27705
15.584	65.384	0.2765
15.639	65.298	0.27542
15.694	65.35	0.27604
15.749	65.211	0.27652
15.805	65.199	0.27657
15.86	65.203	0.27756
15.915	65.007	0.27758
15.97	64.927	0.27816
16.026	64.776	0.27845
16.081	64.55	0.27948
16.136	64.381	0.28093
16.191	64.211	0.2818
16.247	64.173	0.28214
16.302	64.235	0.28151
16.357	64.257	0.2811
16.412	64.404	0.28111
16.468	64.34	0.28259
16.523	64.232	0.28214
16.578	64.233	0.28266
16.634	64.149	0.28295
16.689	64.079	0.28319
16.744	64.081	0.28341
16.799	64.203	0.28367
16.855	64.253	0.28434
16.91	64.22	0.2848
16.965	64.083	0.28486
17.02	64.154	0.286
17.076	63.918	0.2861
17.131	63.985	0.28603
17.186	63.974	0.28623
17.241	63.967	0.28675
17.297	63.824	0.28616
17.352	63.897	0.28582
17.407	63.841	0.28465
17.462	63.814	0.28545
17.518	63.687	0.28635
17.573	63.539	0.28634
17.628	63.567	0.28633
17.683	63.558	0.28581
17.739	63.522	0.28498
17.794	63.635	0.28403
17.849	63.71	0.28546
17.905	63.609	0.28585
17.96	63.631	0.28499
18.015	63.584	0.28665
18.07	63.665	0.28575
18.126	63.614	0.2854
18.181	63.742	0.28584
18.236	63.599	0.28593
18.291	63.545	0.28635
18.347	63.463	0.28599
18.402	63.459	0.28639
18.457	63.374	0.28661
18.512	63.323	0.28746
18.568	63.308	0.28633
18.623	63.241	0.28656
18.678	63.209	0.28771
18.733	63.173	0.28737
18.789	63.09	0.28846
18.844	63.089	0.28742
18.899	63.033	0.28802
18.954	62.978	0.28783
19.01	63.004	0.2881
19.065	62.967	0.28855
19.12	62.852	0.28878
19.176	62.914	0.28926
19.231	62.924	0.28869
19.286	62.916	0.28873
19.341	62.909	0.28865
19.397	62.885	0.28852
19.452	62.991	0.28764
19.507	63.038	0.2894
19.562	62.97	0.28982
19.618	63.023	0.28908
19.673	63.026	0.28888
19.728	63.004	0.28939
19.783	62.922	0.28971
19.839	62.894	0.28982
19.894	62.986	0.28904
19.949	63.009	0.28944
20.004	63.106	0.28873
20.06	63.092	0.28923
20.115	62.928	0.29046
20.17	62.971	0.28993
20.225	62.906	0.29081
20.281	62.79	0.29034
20.336	62.725	0.29036
20.391	62.724	0.28991
20.447	62.765	0.28969
20.502	62.856	0.29034
20.557	62.822	0.29015
20.612	62.788	0.28988
20.668	62.935	0.29023
20.723	62.916	0.28967
20.778	62.873	0.29082
20.833	62.905	0.29043
20.889	62.989	0.29045
20.944	63.058	0.29023
20.999	63.045	0.29076
21.054	62.998	0.29119
21.11	62.948	0.29151
21.165	63.054	0.29076
21.22	63.044	0.29113
21.275	63.024	0.29111
21.331	63.062	0.29121
21.386	63.043	0.29081
21.441	63.029	0.29068
21.496	62.982	0.29178
21.552	63.059	0.29148
21.607	63.062	0.2915
21.662	63.065	0.29092
21.718	63.032	0.29139
21.773	63.012	0.29088
21.828	62.949	0.29182
