Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	
0.055261	60.253	0.29777	62.769	0.27751
0.11052	60.232	0.29836	62.746	0.27805
0.16578	60.276	0.30069	62.788	0.28031
0.22104	60.22	0.30447	62.721	0.28404
0.2763	60.199	0.30604	62.699	0.28558
0.33156	60.115	0.30663	62.608	0.28613
0.38683	60.157	0.30835	62.65	0.28786
0.44209	60.192	0.30793	62.688	0.28744
0.49735	60.238	0.3088	62.735	0.28833
0.55261	60.115	0.30824	62.603	0.28778
0.60787	60.08	0.30856	62.566	0.28808
0.66313	60.123	0.31272	62.602	0.29228
0.71839	60.03	0.31192	62.503	0.2915
0.77365	60.052	0.31166	62.527	0.29124
0.82891	60.028	0.31175	62.503	0.29133
0.88417	59.989	0.31084	62.463	0.29046
0.93943	59.972	0.31148	62.443	0.29108
0.99469	60.02	0.31272	62.488	0.29234
1.05	59.97	0.31362	62.432	0.29321
1.1052	60.068	0.3148	62.53	0.2944
1.1605	60.094	0.31542	62.553	0.29504
1.2157	60.136	0.3158	62.594	0.29541
1.271	60.128	0.31636	62.584	0.29593
1.3263	60.153	0.31735	62.605	0.29696
1.3815	60.196	0.317	62.647	0.29666
1.4368	60.242	0.31632	62.693	0.29601
1.492	60.263	0.31709	62.71	0.2968
1.5473	60.357	0.31735	62.805	0.29708
1.6026	60.312	0.31793	62.754	0.29767
1.6578	60.315	0.31717	62.757	0.29694
1.7131	60.318	0.31824	62.758	0.29799
1.7683	60.337	0.31862	62.773	0.29837
1.8236	60.316	0.31814	62.749	0.29786
1.8789	60.363	0.31904	62.794	0.29882
1.9341	60.245	0.31862	62.669	0.29842
1.9894	60.297	0.3169	62.72	0.29675
2.0447	60.325	0.31798	62.745	0.29782
2.0999	60.375	0.31748	62.796	0.29731
2.1552	60.321	0.31752	62.739	0.29734
2.2104	60.34	0.31582	62.756	0.29571
2.2657	60.29	0.31399	62.704	0.29394
2.321	60.339	0.3127	62.753	0.29272
2.3762	60.506	0.31242	62.921	0.2925
2.4315	60.466	0.31329	62.877	0.29334
2.4867	60.51	0.31459	62.918	0.29469
2.542	60.512	0.315	62.917	0.29511
2.5973	60.522	0.31477	62.924	0.29489
2.6525	60.506	0.31452	62.906	0.29462
2.7078	60.606	0.31455	63.005	0.29467
2.763	60.554	0.31453	62.949	0.29466
2.8183	60.63	0.31436	63.022	0.29452
2.8736	60.682	0.31468	63.074	0.29483
2.9288	60.679	0.31491	63.066	0.2951
2.9841	60.657	0.31489	63.04	0.29511
3.0393	60.67	0.31554	63.053	0.29575
3.0946	60.669	0.31553	63.05	0.29578
3.1499	60.708	0.31553	63.086	0.29579
3.2051	60.715	0.31543	63.09	0.29572
3.2604	60.754	0.31554	63.127	0.29587
3.3156	60.726	0.31579	63.095	0.29613
3.3709	60.755	0.31574	63.122	0.29608
3.4262	60.786	0.31592	63.149	0.29632
3.4814	60.759	0.31548	63.116	0.2959
3.5367	60.85	0.31608	63.207	0.29651
3.592	60.871	0.31638	63.225	0.29684
3.6472	60.876	0.31628	63.228	0.29675
3.7025	60.913	0.31574	63.264	0.29626
3.7577	60.999	0.31491	63.349	0.29547
3.813	60.95	0.31507	63.294	0.29564
3.8683	60.983	0.31535	63.328	0.29593
3.9235	61.017	0.31552	63.359	0.2961
3.9788	61.042	0.31501	63.383	0.29564
4.034	61.075	0.31475	63.415	0.29545
4.0893	61.085	0.31382	63.421	0.29453
4.1446	61.113	0.314	63.446	0.29472
4.1998	61.05	0.3146	63.373	0.29533
4.2551	61.07	0.31489	63.392	0.29562
4.3103	61.208	0.31319	63.528	0.29406
4.3656	61.21	0.30818	63.532	0.28912
4.4209	61.291	0.3085	63.61	0.28949
4.4761	61.4	0.30755	63.721	0.2886
4.5314	61.282	0.30794	63.597	0.28898
4.5866	61.316	0.30708	63.628	0.28816
4.6419	61.349	0.30772	63.655	0.2888
4.6972	61.346	0.3078	63.649	0.28892
4.7524	61.292	0.30775	63.595	0.28888
4.8077	61.384	0.30636	63.689	0.28754
4.863	61.385	0.30702	63.689	0.28822
4.9182	61.369	0.3067	63.67	0.28791
4.9735	61.373	0.30572	63.669	0.28694
5.0287	61.378	0.30515	63.671	0.28639
5.084	61.324	0.30505	63.611	0.28629
5.1393	61.404	0.30326	63.693	0.28457
5.1945	61.295	0.30339	63.575	0.2847
5.2498	61.289	0.30249	63.565	0.28384
5.305	61.215	0.30196	63.487	0.28331
5.3603	61.203	0.30223	63.47	0.28359
5.4156	61.178	0.30122	63.443	0.2826
5.4708	61.198	0.30008	63.461	0.2815
5.5261	61.2	0.29992	63.459	0.28137
5.5813	61.148	0.29912	63.404	0.28057
5.6366	61.225	0.2988	63.482	0.28029
5.6919	61.272	0.29863	63.527	0.28015
5.7471	61.257	0.29944	63.508	0.28096
5.8024	61.25	0.2996	63.499	0.28112
5.8576	61.258	0.29901	63.506	0.28056
5.9129	61.193	0.29914	63.437	0.28067
5.9682	61.076	0.30067	63.309	0.2822
6.0234	61.04	0.30078	63.269	0.28235
6.0787	61.044	0.30032	63.272	0.28192
6.134	61.044	0.30057	63.267	0.28216
6.1892	61.057	0.2999	63.277	0.28154
6.2445	61.072	0.29933	63.292	0.28101
6.2997	61.022	0.29925	63.236	0.28092
6.355	61.052	0.29984	63.262	0.28152
6.4103	61.113	0.29943	63.324	0.28116
6.4655	61.158	0.2992	63.368	0.28095
6.5208	61.114	0.29947	63.32	0.28121
6.576	61.137	0.29962	63.341	0.28139
6.6313	61.118	0.29961	63.321	0.28138
6.6866	61.136	0.29993	63.336	0.28171
6.7418	61.157	0.3002	63.355	0.28198
6.7971	61.182	0.30099	63.376	0.28279
6.8523	61.117	0.30055	63.308	0.28235
6.9076	61.088	0.30077	63.272	0.28257
6.9629	61.141	0.29965	63.326	0.28149
7.0181	61.137	0.29933	63.317	0.28118
7.0734	61.198	0.29983	63.376	0.2817
7.1286	61.212	0.29991	63.389	0.28179
7.1839	61.141	0.30025	63.312	0.28213
7.2392	61.132	0.30015	63.3	0.28205
7.2944	61.179	0.30042	63.347	0.28233
7.3497	61.196	0.30043	63.363	0.28236
7.405	61.116	0.30074	63.277	0.28266
7.4602	61.092	0.30012	63.251	0.28205
7.5155	61.084	0.29978	63.243	0.28172
7.5707	61.079	0.29953	63.237	0.28148
7.626	61.082	0.29938	63.241	0.28132
7.6813	61.037	0.29926	63.19	0.28119
7.7365	61.111	0.29912	63.266	0.28108
7.7918	61.078	0.29861	63.233	0.28056
7.847	61.044	0.29855	63.197	0.28048
7.9023	61.067	0.29885	63.222	0.28078
7.9576	61.043	0.29874	63.195	0.28067
8.0128	60.983	0.29875	63.132	0.28071
8.0681	60.956	0.2976	63.105	0.2796
8.1233	60.974	0.29661	63.125	0.27864
8.1786	60.941	0.29588	63.092	0.27792
8.2339	60.947	0.29551	63.097	0.27757
8.2891	60.941	0.29527	63.089	0.27734
8.3444	60.971	0.29478	63.12	0.27687
8.3996	60.983	0.29438	63.131	0.27649
8.4549	60.945	0.29442	63.094	0.27651
8.5102	60.904	0.29491	63.051	0.27696
8.5654	60.923	0.29472	63.071	0.27679
8.6207	60.939	0.29468	63.087	0.27676
8.676	60.882	0.29545	63.028	0.2775
8.7312	60.752	0.29553	62.894	0.27754
8.7865	60.775	0.29587	62.918	0.2779
8.8417	60.758	0.29546	62.901	0.27749
8.897	60.764	0.29558	62.909	0.27758
8.9523	60.791	0.295	62.939	0.27699
9.0075	60.688	0.29458	62.836	0.27653
9.0628	60.66	0.29518	62.808	0.27709
9.118	60.692	0.29483	62.842	0.27672
9.1733	60.651	0.29497	62.801	0.27687
9.2286	60.602	0.29424	62.753	0.27612
9.2838	60.587	0.29394	62.739	0.27578
9.3391	60.587	0.29473	62.738	0.27658
9.3943	60.511	0.29438	62.662	0.27621
9.4496	60.55	0.29393	62.705	0.27579
9.5049	60.554	0.29362	62.711	0.2755
9.5601	60.502	0.29364	62.659	0.27549
9.6154	60.513	0.29341	62.67	0.27528
9.6706	60.538	0.29343	62.698	0.2753
9.7259	60.542	0.29344	62.702	0.27533
9.7812	60.544	0.29323	62.705	0.27511
