Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	Fascicle Length R2_F2	Pennation Angle R2_F2
0.053591	57.966	0.36686	0.053591	31.946	0.44585	31.292	0.49394
0.10718	57.877	0.36811	0.10718	31.944	0.44509	31.292	0.4931
0.16077	57.907	0.36762	0.16077	31.977	0.44379	31.328	0.49167
0.21436	57.938	0.36775	0.21436	31.999	0.44223	31.35	0.48998
0.26795	57.957	0.36726	0.26795	32.033	0.44112	31.384	0.48871
0.32154	57.988	0.36727	0.32154	32.028	0.44066	31.382	0.48816
0.37513	58.016	0.36728	0.37513	32.036	0.43995	31.392	0.48738
0.42872	58.064	0.36649	0.42872	32.037	0.43998	31.395	0.48743
0.48232	58.053	0.36653	0.48232	32.044	0.43949	31.405	0.48686
0.53591	58.144	0.36574	0.53591	32.072	0.43867	31.434	0.48594
0.5895	58.135	0.36547	0.5895	32.057	0.43855	31.421	0.48582
0.64309	58.197	0.36511	0.64309	32.057	0.43844	31.424	0.48562
0.69668	58.217	0.36514	0.69668	32.062	0.43744	31.431	0.48454
0.75027	58.24	0.36448	0.75027	32.084	0.43776	31.456	0.48472
0.80386	58.236	0.36502	0.80386	32.08	0.43686	31.454	0.48377
0.85745	58.257	0.36472	0.85745	32.076	0.43674	31.451	0.48363
0.91104	58.273	0.3647	0.91104	32.078	0.43641	31.456	0.48323
0.96463	58.232	0.36488	0.96463	32.093	0.4357	31.471	0.48243
1.0182	58.229	0.36455	1.0182	32.117	0.43519	31.496	0.48182
1.0718	58.214	0.36516	1.0718	32.14	0.43424	31.521	0.4808
1.1254	58.188	0.36487	1.1254	32.135	0.43416	31.518	0.48071
1.179	58.169	0.36514	1.179	32.102	0.43428	31.489	0.48086
1.2326	58.255	0.36508	1.2326	32.084	0.43426	31.471	0.4809
1.2862	58.222	0.36552	1.2862	32.097	0.43328	31.486	0.47983
1.3398	58.215	0.36504	1.3398	32.103	0.43351	31.493	0.48003
1.3934	58.218	0.36459	1.3934	32.129	0.4329	31.522	0.47928
1.4469	58.207	0.36452	1.4469	32.163	0.43274	31.56	0.47897
1.5005	58.173	0.36448	1.5005	32.187	0.43221	31.585	0.47838
1.5541	58.147	0.36441	1.5541	32.202	0.43234	31.604	0.47844
1.6077	58.108	0.36459	1.6077	32.187	0.43173	31.59	0.47782
1.6613	58.105	0.36417	1.6613	32.21	0.43153	31.616	0.47754
1.7149	58.055	0.36397	1.7149	32.228	0.43141	31.637	0.4773
