"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
43.8593	-1.46222	0.502649	-1.56086	-8.76325	0.898119	0.89348	20.4785	-1.29395	-1.42807	-1839.31	-199.262	58.7449	-88.0432	-3.75359e-005	-80.1167
43.8600	-2.69949	-0.108415	-0.951485	-9.37582	0.898119	0.282747	26.2802	-0.378102	-1.40983	-1839.43	-200.011	59.0547	-88.0432	-0.000190115	-42.5705
43.8607	-2.3808	-0.108415	-1.25083	-10.9013	0.598746	-0.32673	29.943	-0.378102	-1.38524	-1839.61	-200.215	59.2022	-87.5854	-0.000190115	-49.5863
43.8613	-2.08085	0.197117	-1.8709	-10.9013	0.898119	0.282747	32.9911	-0.378102	-1.36105	-1839.91	-200.829	58.8998	-87.5854	0.000115043	-54.6332
43.8620	-1.46222	0.197117	-1.8709	-10.2917	2.43241	0.282747	36.6539	0.231529	-1.34241	-1840.34	-202.055	57.8302	-88.1958	0.000115043	-50.1974
43.8627	-0.562393	-0.108415	-1.8709	-10.595	2.73178	-0.32673	38.7927	0.231529	-1.32417	-1839.91	-201.578	57.9851	-87.4329	0.000267621	-51.2611
43.8633	-0.243704	-0.717507	-0.951485	-11.2046	1.83366	-0.632097	35.1299	0.231529	-1.29998	-1837.92	-199.262	59.512	-85.6018	0.000115043	-50.8085
43.8640	-0.243704	-2.2432	-0.342107	-11.5109	1.53429	-0.0213631	22.9247	-0.683385	-1.28134	-1837.13	-198.24	60.1168	-84.5337	-0.000342693	-50.8085
43.8647	0.356182	-3.46532	-0.342107	-11.5109	1.83366	-0.632097	11.3215	-1.90452	-1.2631	-1837.8	-198.853	59.2022	-85.4492	-0.000495272	-50.8085
43.8653	0.974814	-3.15979	-0.0320725	-11.5109	1.53429	-0.32673	7.05671	-1.90452	-1.2389	-1839.31	-199.875	57.3729	-86.9751	-0.000190115	-50.65
43.8660	0.974814	-2.2432	-0.342107	-12.4267	0.299373	-0.0213631	6.74934	-1.59923	-1.21432	-1841.42	-201.442	55.6911	-88.501	-3.75359e-005	-51.1253
43.8667	0.974814	-1.6341	-0.0320725	-12.1205	0.598746	-0.632097	6.44197	-0.988668	-1.19607	-1842.81	-202.191	54.7764	-89.7217	-0.000342693	-51.5779
43.8673	1.5747	-0.717507	0.876649	-11.2046	0.299373	-0.0213631	-0.576319	-0.683385	-1.17783	-1842.93	-201.578	54.6289	-89.5691	-0.000342693	-51.5779
43.8680	1.5747	0.808181	1.18668	-11.2046	-2.13303	0.282747	-16.7517	-0.378102	-1.15324	-1842.63	-200.011	55.0862	-88.9587	-0.000190115	-51.2611
43.8687	0.974814	1.11371	1.18668	-10.2917	-3.36795	-0.0213631	-28.0475	0.536812	-1.12905	-1842.03	-199.262	55.5435	-88.3484	-0.000190115	-50.8085
43.8693	0.656125	0.197117	1.48603	-8.45994	-3.06857	-0.32673	-27.7402	1.14738	-1.11041	-1842.21	-198.512	55.5435	-88.1958	-3.75359e-005	-51.1253
43.8700	0.0562393	0.197117	1.79606	-6.93448	-3.06857	-0.0213631	-17.9684	1.45266	-1.08622	-1842.63	-197.422	55.5435	-88.3484	-0.000342693	-51.2611
43.8707	-0.862336	0.502649	2.1061	-5.71232	-2.43241	0.282747	-6.6853	1.45266	-1.05569	-1842.63	-196.673	55.846	-87.8906	-0.000190115	-51.1253
43.8713	-1.46222	-0.108415	2.71548	-5.71232	-1.83366	0.282747	-3.02247	0.842095	-1.03744	-1842.63	-196.06	56.0009	-87.8906	-3.75359e-005	-51.2611
43.8720	-1.46222	-0.108415	3.93423	-4.79644	-1.83366	0.282747	-2.10036	0.842095	-1.0192	-1843.12	-196.196	55.846	-88.1958	0.000267621	-50.9669
43.8727	-1.78091	0.502649	3.6242	-3.57726	-0.935541	-0.0213631	-0.268949	0.842095	-0.994613	-1844.2	-197.286	55.0862	-88.9587	0.000115043	-50.8085
43.8733	-2.3808	0.502649	2.40544	-3.57726	0.299373	-0.32673	1.86984	0.842095	-0.976371	-1845.53	-198.24	54.3191	-90.6372	-0.000800489	-51.8722
43.8740	-2.08085	0.502649	2.1061	-4.18685	0.598746	-0.0213631	6.1346	1.14738	-0.958128	-1846.14	-199.466	54.1715	-91.2476	-0.000342693	-52.189
43.8747	-1.78091	0.502649	1.48603	-3.88057	0.299373	-0.0213631	13.4603	1.14738	-0.927592	-1846.02	-200.215	54.7764	-90.6372	0.000267621	-51.5779
43.8753	-1.16228	-0.108415	0.577306	-4.18685	0.598746	-0.32673	23.2321	1.45266	-0.903004	-1845.23	-199.262	56.0009	-89.4165	-3.75359e-005	-51.8722
43.8760	-1.16228	0.197117	-0.0320725	-4.79644	0.898119	-0.32673	21.4007	1.75794	-0.89071	-1844.32	-198.512	57.3729	-88.0432	0.000572838	-51.7364
43.8767	-1.16228	0.502649	-0.641451	-5.40901	0.299373	-1.24283	-2.10036	1.45266	-0.866519	-1843.24	-197.899	58.2875	-87.4329	0.000725417	-50.5142
43.8773	-1.16228	0.197117	-1.56086	-5.10273	0	-1.24283	-24.6921	1.14738	-0.841932	-1842.93	-197.899	58.8998	-87.2803	0.000572838	-50.5142
43.8780	-0.243704	-0.108415	-2.17024	-5.10273	-0.598746	-0.32673	-30.7883	1.14738	-0.830034	-1843.72	-198.649	58.4424	-87.738	0.0004202	-50.8085
43.8787	1.27476	-1.02304	-2.77962	-5.71232	-1.53429	-0.32673	-25.9088	0.842095	-0.805447	-1844.2	-198.376	57.9851	-88.3484	-0.000190115	-51.1253
43.8793	1.89339	-1.32857	-3.08965	-6.0186	-1.23491	0.282747	-15.2276	0.842095	-0.780859	-1844.32	-198.512	58.4424	-88.0432	0.000115043	-51.4195
43.8800	1.5747	-0.413946	-3.08965	-6.62819	-2.73178	0.588114	-4.85389	1.45266	-0.768961	-1844.81	-199.262	58.7449	-87.5854	0.000115043	-51.1253
43.8807	0.356182	0.502649	-2.17024	-6.93448	-5.80035	0.282747	0.332984	2.06323	-0.744374	-1845.11	-199.739	58.5973	-87.5854	-3.75359e-005	-51.2611
43.8813	-0.862336	0.808181	-1.56086	-6.93448	-7.63401	0.588114	3.39388	1.75794	-0.719786	-1845.11	-199.739	58.2875	-87.8906	0.000115043	-51.2611
43.8820	-1.16228	1.11371	-1.56086	-7.85035	-7.63401	-0.0213631	5.22529	1.14738	-0.701544	-1844.81	-199.466	58.4424	-87.2803	0.0004202	-50.8085
43.8827	-1.46222	1.11371	-1.8709	-8.45994	-6.69847	-0.32673	4.91792	1.14738	-0.683301	-1844.2	-198.649	59.0547	-85.907	0.000267621	-50.8085
43.8833	-1.16228	0.502649	-1.8709	-8.45994	-4.90223	-0.632097	3.70125	1.45266	-0.665058	-1843.42	-197.763	59.6595	-85.4492	-3.75359e-005	-50.9669
43.8840	0.0562393	-0.413946	-1.25083	-7.85035	-2.43241	-0.0213631	1.86984	1.14738	-0.646816	-1842.33	-196.809	59.512	-84.8389	-0.000190115	-50.5142
43.8847	0.0562393	-1.02304	-0.951485	-8.15366	-0.598746	-0.0213631	-0.268949	0.842095	-0.628573	-1843.42	-197.286	58.7449	-85.144	-0.000190115	-50.65
43.8853	0.0562393	-1.32857	-0.641451	-8.76325	0.898119	0.282747	-0.88369	0.536812	-0.603986	-1846.32	-199.262	56.4582	-87.4329	0.000267621	-51.2611
43.8860	0.656125	-1.02304	-0.342107	-9.06953	2.13303	0.282747	-0.576319	0.536812	-0.585743	-1847.83	-200.215	54.9313	-88.9587	-0.000342693	-51.5779
43.8867	0.0562393	-1.02304	-0.951485	-9.37582	0.898119	-0.0213631	-1.19106	0.536812	-0.567501	-1848.74	-200.624	54.3191	-89.5691	-0.000953068	-51.7364
43.8873	-0.562393	-0.717507	-1.25083	-9.98541	0	-0.0213631	-1.19106	-0.378102	-0.542913	-1849.34	-200.965	54.1715	-89.7217	-3.75359e-005	-51.1253
43.8880	0.356182	0.197117	-1.56086	-9.98541	0.598746	0.282747	-1.49843	-1.29395	-0.518722	-1848.74	-199.739	55.2337	-89.1113	0.000267621	-50.9669
43.8887	0.974814	0.808181	-1.8709	-10.2917	0.898119	0.282747	-1.19106	-1.59923	-0.500083	-1848.43	-198.649	56.0009	-88.501	-0.000190115	-51.2611
43.8893	0.656125	0.197117	-1.8709	-10.9013	0.898119	-0.0213631	-0.268949	-1.90452	-0.48184	-1848.31	-198.649	56.6131	-88.0432	-3.75359e-005	-50.9669
43.8900	0.0562393	-0.413946	-1.56086	-10.595	0.898119	-0.32673	-1.19106	-2.51508	-0.457649	-1847.83	-198.989	57.3729	-87.738	0.000267621	-50.8085
43.8907	-0.243704	-0.413946	-1.8709	-10.2917	0.598746	0.282747	-4.23915	-2.51508	-0.445355	-1848.13	-199.466	57.6753	-87.8906	0.0004202	-51.1253
43.8913	-0.243704	-0.717507	-1.8709	-10.2917	0.299373	0.89348	-6.97987	-3.12471	-0.427113	-1848.61	-199.602	57.6753	-88.0432	0.000115043	-50.9669
43.8920	-0.562393	-1.02304	-0.951485	-9.98541	0.598746	0.89348	-7.59461	-2.51508	-0.396576	-1849.04	-200.624	56.7606	-88.1958	0.000267621	-50.5142
43.8927	-0.862336	-1.93963	-0.342107	-9.98541	0.898119	0.588114	-7.90198	-2.2098	-0.371989	-1849.82	-202.191	55.3886	-88.9587	0.000572838	-50.65
43.8933	-0.243704	-2.54873	-0.0320725	-10.595	0.898119	0.282747	-8.51672	-2.2098	-0.359695	-1851.33	-203.826	53.5593	-90.7898	0.000267621	-51.4195
43.8940	-0.243704	-2.2432	1.18668	-10.2917	1.53429	-0.32673	-8.51672	-1.59923	-0.341452	-1852.42	-204.916	52.6446	-91.7053	-3.75359e-005	-51.4195
43.8947	-1.46222	-1.93963	1.48603	-10.595	2.73178	-0.32673	-8.20935	-1.59923	-0.317261	-1852.12	-204.303	53.5593	-90.1794	0.000115043	-51.1253
