"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
13.9493	48.377	0.103766	-7.33622	-1.0488	1.35683	0.0398843	-2.33663	-0.438152	-11.2366	1805.11	-240.032	-89.2652	-22.2778	0.000448326	-75.9794
13.9500	64.2567	0.408577	-2.75326	-1.35471	-2.9265	0.345664	-2.64065	-1.04591	-11.2428	1806.78	-238.479	-87.893	-32.5012	0.00060094	-56.6021
13.9507	86.5204	0.408577	0.906136	-2.27241	5.02826	0.0398843	-2.64065	-1.96462	-11.2366	1808.17	-237.729	-86.2193	-129.7	0.000448326	-36.471
13.9513	50.8151	-0.201046	1.2198	-1.96651	16.6278	-0.265895	0.408258	-1.04591	-11.2366	1809.09	-237.3	-85.6011	-70.0378	-9.41573e-006	-55.0945
13.9520	-0.769926	-0.201046	3.0495	-1.35471	14.1802	-0.571675	4.37792	-0.127205	-11.2366	1808.8	-237.3	-86.0534	-82.55	-9.41573e-006	-48.8201
13.9527	37.3735	0.103766	3.95563	-1.35471	4.0971	-0.874131	4.37792	-0.438152	-11.2366	1807.7	-237.89	-86.8224	-85.2966	-9.41573e-006	-48.8201
13.9533	59.6693	0.713389	3.65939	-1.35471	2.26139	-1.48569	2.24108	-0.734964	-11.2366	1807.7	-238.639	-87.124	-85.144	-9.41573e-006	-49.4409
13.9540	-8.08422	0.408577	5.19286	-1.66061	5.32091	-1.17991	1.32032	-0.127205	-11.2366	1807.53	-239.122	-87.4256	-85.7544	0.000295713	-49.2857
13.9547	-38.3038	-0.201046	6.41265	-2.27241	6.25206	-0.265895	0.71228	0.169607	-11.2305	1806.95	-239.55	-87.5914	-86.0596	0.0001431	-49.5961
13.9553	-1.37945	-0.201046	4.87919	-1.96651	8.38043	-0.265895	0.104236	-0.127205	-11.2305	1806.95	-239.389	-87.2748	-85.7544	-9.41573e-006	-49.2857
13.9560	8.69375	-0.201046	-0.609899	-1.66061	10.5088	-0.874131	-2.64065	-0.438152	-11.2305	1806.95	-239.389	-87.4256	-85.7544	-9.41573e-006	-49.2857
13.9567	0.160401	-0.505857	-5.80275	-2.27241	8.67308	-0.874131	-5.08151	0.480553	-11.2305	1807.53	-239.282	-87.124	-85.144	-0.000314643	-49.4409
