"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
15.4987	0.828147	0.0526039	0.123444	0.580657	-1.5254	0.382565	0.569522	-2.32896	12.1975	1557.75	120.276	-49.2881	4999.69	0.000592662	-28.2155
15.4993	-0.090409	0.0526039	-0.181918	0.870985	-1.83312	0.071731	0.264334	-1.71482	12.2039	1557.02	119.288	-49.8983	4999.69	0.000287545	-35.414
15.5000	-0.090409	-0.263019	-0.181918	0.870985	-1.83312	0.071731	0.264334	-0.494506	12.2039	1557.02	118.984	-49.8983	4999.69	0.000440015	-33.2798
15.5007	0.520756	-0.263019	-0.181918	0.870985	-1.22208	0.071731	0.264334	-0.494506	12.1975	1557.33	119.44	-49.5932	4999.69	0.000440015	-34.3288
15.5013	0.216982	-0.578643	-0.487281	1.18771	-0.914363	-0.526027	-0.651233	-1.71482	12.1975	1557.49	119.744	-49.2881	4999.69	0.000440015	-34.1841
15.5020	-0.090409	0.0526039	-0.181918	0.870985	-0.303322	-0.526027	-0.956013	-1.41173	12.1975	1557.18	119.44	-49.4406	4999.69	0.000440015	-34.0394
15.5027	0.520756	0.368227	0.123444	0.263935	0.611041	-0.215193	-0.0408553	0.119638	12.2039	1557.18	119.136	-49.7457	4999.69	0.000440015	-34.1841
15.5033	0.520756	0.0526039	0.428807	0.263935	0.914363	-0.215193	0.569522	0.725807	12.2039	1557.59	119.972	-49.1355	4999.69	0.000592662	-34.0394
15.5040	0.216982	0.0526039	0.428807	0.263935	0.914363	-0.526027	0.569522	0.422723	12.2039	1558.36	120.884	-48.0676	4999.69	0.000592662	-33.8586
15.5047	0.216982	0.0526039	0.123444	-0.343115	0.611041	-0.215193	0.264334	-0.191422	12.2039	1558.52	121.187	-47.9151	4999.69	0.000287545	-34.1841
15.5053	0.520756	-0.578643	0.428807	-0.343115	0	-0.215193	0.264334	-1.10865	12.2039	1558.67	121.036	-48.0676	4999.69	0.000287545	-34.1841
15.5060	0.216982	-0.894266	0.428807	-0.343115	0.303322	-0.526027	0.264334	-1.10865	12.2097	1558.21	119.972	-48.5253	4999.69	0.000440015	-34.0394
15.5067	-0.697958	-0.263019	-0.487281	0.263935	0	-0.215193	-0.0408553	-0.191422	12.2097	1556.72	118.072	-50.0508	4999.69	0.000134898	-34.0394
15.5073	-0.697958	0.631247	-0.792643	0.870985	-0.303322	0.382565	-0.346044	-0.494506	12.2039	1555.63	117.313	-51.1187	4999.69	0.000287545	-34.4735
15.5080	-0.090409	0.631247	-0.792643	-0.0263935	0.303322	0.071731	-0.346044	-0.191422	12.1975	1555.32	117.161	-51.4238	4999.69	0.000287545	-34.4735
15.5087	-0.394183	0.368227	-0.792643	-0.343115	0.611041	0.071731	-0.651233	-0.191422	12.2039	1555.48	117.464	-51.4238	4999.69	0.000134898	-34.4735
