"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
10.2300	0.841095	0.464592	1.69883	1.14871	2.43158	-1.26628	-0.994337	1.87986	-14.0955	-1608.3	-192.761	92.6187	-52.4902	-0.000578822	-38.1408
10.2307	1.15261	0.464592	3.83407	1.45503	2.12935	-0.657925	-0.383139	2.18569	-14.0837	-1607.35	-192.246	93.5352	-51.2695	-0.00042628	-40.1447
10.2313	1.46413	0.158231	3.83407	1.14871	0.90669	-0.657925	0.529097	2.18569	-14.0713	-1606.93	-191.473	94.9099	-50.2014	-0.00042628	-20.4397
10.2320	0.529579	-0.144764	0.467569	0.233773	-0.0137377	-1.87914	0.529097	1.5781	-14.053	-1607.35	-191.988	94.6066	-50.8118	-0.000578822	-34.801
10.2327	-2.21177	-0.451126	-2.57163	-0.0725502	-0.920428	-2.18107	0.529097	1.5781	-14.0411	-1609.19	-193.962	92.4702	-52.948	-0.00118918	-31.8953
10.2333	-2.80365	-0.451126	-1.66766	0.540096	-1.53863	-1.26628	0.834696	2.18569	-14.0287	-1609.79	-194.22	92.1604	-52.948	-0.000731364	-30.526
10.2340	-0.37382	-0.144764	-0.140271	1.14871	-0.315968	0.261367	1.14029	2.79736	-14.0163	-1609.19	-193.361	92.7736	-52.4902	3.15341e-005	-30.526
10.2347	3.30208	-0.451126	-1.66766	1.14871	-0.920428	2.6993	1.75149	2.79736	-13.998	-1609.79	-193.962	92.1604	-53.1006	-0.00042628	-30.6596
10.2353	4.82851	-0.754121	-3.8029	0.233773	-4.5884	5.14173	2.05709	2.18569	-13.9861	-1610.09	-193.962	91.5537	-52.948	-0.000121007	-30.526
10.2360	4.20548	-1.06048	-3.49118	-2.51104	-3.98394	6.05652	2.05709	1.87986	-13.9737	-1609.79	-193.447	91.3988	-52.6428	0.000336617	-30.359
10.2367	1.77565	-1.06048	-3.49118	-3.43001	-0.618198	5.44816	1.75149	0.966433	-13.9554	-1609.67	-193.19	91.8571	-52.3376	0.000336617	-30.526
10.2373	-1.90025	-0.144764	-5.93813	-2.20875	-0.315968	3.92051	1.44589	0.6606	-13.943	-1609.37	-192.761	92.3153	-51.5747	0.00064189	-30.526
10.2380	-2.21177	0.158231	-5.33029	-1.5961	-0.0137377	-0.0450634	0.529097	0.6606	-13.9311	-1608.72	-192.074	92.4702	-50.6592	0.000946973	-30.2254
10.2387	0.841095	0.464592	-2.2755	-1.29381	0.60446	-5.23186	-0.383139	0.354767	-13.9188	-1609.19	-192.589	91.8571	-51.2695	0.000336617	-30.2254
10.2393	1.77565	0.158231	-0.748111	-1.90243	0.90669	-4.92993	1.14029	0.0489333	-13.9004	-1610.39	-193.447	91.0955	-52.3376	-0.000121007	-30.6596
10.2400	0.841095	-0.451126	0.467569	-1.90243	2.12935	-2.79393	2.66829	-0.558656	-13.8821	-1610.86	-193.447	90.6372	-52.6428	0.000184076	-30.8266
10.2407	0.529579	-0.754121	1.38712	-0.987488	-3.06351	-3.09585	2.97389	0.354767	-13.8762	-1611.16	-193.19	90.6372	-52.948	0.000336617	-30.359
10.2413	1.77565	-0.451126	1.38712	-0.374842	-14.6582	-2.18107	3.88613	2.18569	-13.8638	-1612.41	-193.962	90.179	-53.8635	0.000184076	-30.0584
10.2420	2.99056	-0.754121	1.38712	-0.681165	-18.6284	-1.57271	4.19172	2.18569	-13.8455	-1613.6	-195.335	88.9591	-54.7791	-0.000273549	-30.9602
10.2427	1.77565	-1.06048	1.09099	-1.29381	-10.3857	-1.87914	2.97389	1.27227	-13.8395	-1613.3	-195.164	89.2625	-54.3213	-0.000273549	-31.5947
10.2433	-1.27722	-1.36684	-0.748111	-0.987488	0.288492	-0.351494	1.75149	0.6606	-13.8212	-1611.81	-193.619	91.5537	-52.1851	3.15341e-005	-30.9602
10.2440	-1.58874	-1.9762	-1.04424	-0.681165	4.87689	0.563292	0.834696	0.354767	-13.8029	-1609.97	-192.417	93.3867	-50.354	0.000336617	-30.2254
10.2447	0.529579	-1.66984	0.467569	-0.681165	5.48135	-1.26628	1.44589	0.966433	-13.7905	-1609.37	-192.074	94.2968	-49.8962	0.000489349	-30.526
10.2453	0.249213	-1.06048	0.467569	0.233773	7.62444	-2.18107	1.44589	1.27227	-13.7786	-1610.56	-193.19	94.1483	-50.2014	0.000184076	-30.6596
10.2460	-1.27722	-1.06048	0.467569	0.540096	5.17912	-1.26628	0.834696	1.5781	-13.7603	-1610.86	-194.134	94.1483	-50.5066	0.000336617	-30.526
10.2467	-0.996854	-0.451126	1.09099	0.233773	1.82712	0.869723	0.529097	1.87986	-13.7479	-1610.86	-194.563	94.755	-50.6592	0.00064189	-30.526
10.2473	-0.37382	-0.754121	0.779282	0.540096	8.83336	2.39737	0.834696	1.87986	-13.7355	-1611.34	-195.593	95.3682	-50.6592	0.00064189	-30.2254
10.2480	-0.0623034	-1.66984	-0.748111	-0.0725502	15.2489	2.09094	0.834696	0.6606	-13.7236	-1611.16	-196.966	95.5231	-50.6592	0.000489349	-30.0584
10.2487	-1.90025	-1.9762	-1.96379	-0.681165	13.1058	1.17615	0.529097	-0.558656	-13.7113	-1611.34	-198.339	95.2133	-50.6592	0.000489349	-30.359
10.2493	-4.95312	-1.9762	-1.66766	-1.29381	10.372	0.261367	0.223498	-1.17032	-13.6929	-1612.11	-199.112	95.2133	-50.9644	0.000336617	-30.359
10.2500	-5.85652	-2.89192	-1.04424	-0.681165	8.53113	0.261367	0.529097	-2.08374	-13.6805	-1611.81	-199.455	95.6715	-50.5066	0.00064189	-30.526
10.2507	-3.7382	-3.19828	1.09099	-0.0725502	4.56093	0.869723	0.529097	-1.47616	-13.6746	-1611.04	-199.455	95.3682	-49.4385	0.00064189	-30.6596
10.2513	-0.37382	-3.19828	4.44191	-0.0725502	-2.14309	-0.351494	0.223498	-0.252822	-13.6563	-1613	-200.828	93.0769	-51.4221	-0.000731364	-31.8953
10.2520	1.46413	-3.50127	6.88885	0.233773	-12.2128	-2.4875	-0.383139	0.6606	-13.638	-1614.25	-201.601	92.3153	-52.1851	-0.000883905	-31.8953
10.2527	2.67904	-3.80764	9.02408	1.14871	-17.1035	-2.79393	-1.29994	1.27227	-13.632	-1612.41	-199.712	94.1483	-50.2014	0.000489349	-30.2254
10.2533	3.30208	-3.19828	7.18498	1.14871	-6.71775	-1.87914	-1.29994	1.5781	-13.6196	-1612.53	-199.455	93.9934	-50.354	0.00064189	-30.526
10.2540	2.05601	-3.19828	0.171442	0.233773	4.2587	-1.87914	-0.0821012	1.27227	-13.6013	-1613.9	-200.227	92.6187	-51.5747	0.00064189	-31.1272
10.2547	-0.685337	-3.19828	-2.57163	-0.0725502	1.51115	-1.87914	0.529097	0.6606	-13.583	-1614.37	-200.313	91.8571	-51.8799	0.00064189	-30.526
10.2553	-2.49213	-3.19828	-0.436398	0.540096	-2.76128	-1.26628	0.834696	0.354767	-13.577	-1615.44	-201	90.4823	-52.7954	0.000336617	-30.8266
10.2560	-2.21177	-3.80764	-0.436398	1.14871	-3.66797	-0.959849	1.44589	0.354767	-13.5647	-1615.44	-200.485	90.7921	-52.3376	0.000336617	-31.1272
10.2567	-0.996854	-4.41699	-1.66766	0.233773	-3.98394	-1.57271	0.834696	-0.252822	-13.5463	-1614.08	-199.112	92.3153	-50.6592	0.00064189	-30.526
10.2573	-0.0623034	-4.72335	0.467569	0.540096	0.60446	-1.57271	0.223498	-0.864489	-13.528	-1614.25	-198.94	91.8571	-50.9644	0.000336617	-30.8266
10.2580	-0.0623034	-3.80764	1.09099	0.842388	4.56093	-0.351494	-0.0821012	-1.78199	-13.5161	-1615.62	-199.283	90.6372	-51.8799	3.15341e-005	-30.9602
10.2587	-0.685337	-2.89192	-0.140271	0.540096	4.2587	0.563292	-0.383139	-1.78199	-13.5037	-1614.97	-198.253	91.0955	-51.1169	0.000336617	-30.526
10.2593	-0.996854	-1.9762	-0.140271	0.842388	2.43158	0.261367	-0.994337	-1.17032	-13.4914	-1615.15	-197.738	91.2504	-50.9644	0.000336617	-30.6596
10.2600	0.841095	-1.36684	0.467569	0.842388	-0.618198	0.869723	-1.29994	-0.864489	-13.473	-1616.52	-198.683	90.179	-52.3376	3.15341e-005	-30.9602
10.2607	2.67904	-1.36684	1.99496	0.540096	1.51115	1.78451	-0.994337	-2.08374	-13.4612	-1617.77	-199.884	88.9591	-53.4058	-0.000273549	-31.2942
10.2613	1.46413	-1.36684	2.61839	-0.0725502	8.2289	2.09094	-0.688738	-3.00124	-13.4428	-1618.96	-201.257	88.0426	-54.4739	3.15341e-005	-31.7283
10.2620	-0.685337	-1.36684	1.38712	-0.374842	9.14933	0.563292	-0.688738	-1.78199	-13.4304	-1619.25	-201.601	88.0426	-54.7791	0.000184076	-31.5947
10.2627	-0.685337	-1.06048	0.779282	0.540096	6.40178	-0.657925	-0.383139	-1.17032	-13.4181	-1618.66	-201	89.5723	-53.8635	3.15341e-005	-31.2942
10.2633	0.841095	-0.144764	0.779282	0.540096	5.78359	-0.0450634	1.44589	-1.47616	-13.4062	-1616.99	-199.712	92.012	-51.8799	0.000489349	-30.9602
10.2640	1.46413	1.07395	0.467569	0.233773	4.87689	-0.0450634	2.36269	-2.08374	-13.3938	-1615.74	-199.112	93.9934	-50.2014	0.000794432	-30.526
10.2647	0.529579	2.29603	-0.748111	1.14871	1.20892	-0.657925	1.75149	-2.38958	-13.3819	-1615.15	-199.283	95.0648	-49.2859	0.000794432	-30.359
10.2653	0.249213	2.90538	-1.66766	0.842388	-4.28617	-0.959849	1.14029	-2.08374	-13.3695	-1614.97	-199.884	95.6715	-49.1333	0.00064189	-30.526
10.2660	2.36753	0.158231	-2.88334	0.233773	-9.16307	-1.87914	1.75149	-2.08374	-13.3572	-1615.74	-201.257	95.5231	-49.7437	0.000946973	-30.6596
10.2667	3.58244	-2.28256	-2.88334	0.233773	-12.2128	0.261367	2.36269	-2.38958	-13.3388	-1616.99	-203.403	94.4517	-50.2014	0.000946973	-30.8266
10.2673	1.77565	-1.66984	-0.748111	0.233773	-13.4355	5.44816	2.66829	-1.47616	-13.327	-1617.29	-204.948	93.5352	-50.8118	0.000184076	-30.9602
10.2680	1.46413	-0.754121	1.99496	-0.0725502	-12.831	7.58416	3.88613	-0.252822	-13.3205	-1617.41	-205.119	93.5352	-50.8118	0.000184076	-30.8266
10.2687	2.05601	-0.451126	1.69883	-0.987488	-7.03372	6.36295	4.19172	-0.864489	-13.3086	-1617.77	-205.548	93.6901	-50.5066	0.00064189	-30.359
10.2693	2.36753	-0.451126	-1.66766	-0.987488	2.73381	4.8353	4.19172	-1.78199	-13.2839	-1617.29	-205.806	94.1483	-50.354	0.00064189	-30.6596
10.2700	1.77565	-2.58556	-3.17947	-0.681165	8.53113	2.6993	3.88613	-1.78199	-13.272	-1618.06	-206.75	93.3867	-51.5747	-0.000121007	-31.8953
10.2707	0.249213	-4.41699	-1.66766	-0.374842	11.2787	-0.351494	2.66829	-2.08374	-13.2655	-1619.85	-208.295	92.1604	-52.3376	-0.000883905	-32.6635
10.2713	-0.996854	-3.50127	-0.748111	-0.374842	11.2787	-0.959849	2.05709	-2.69541	-13.2537	-1618.48	-206.75	94.1483	-50.0488	-0.000121007	-31.4278
10.2720	-0.37382	-2.58556	-0.748111	-0.374842	5.78359	-0.351494	2.97389	-3.00124	-13.2353	-1616.69	-205.119	96.2847	-48.8281	0.000794432	-30.526
10.2727	0.249213	-2.89192	-1.04424	-0.681165	0.90669	-1.26628	3.88613	-2.69541	-13.2229	-1617.41	-205.978	95.8264	-49.5911	0.000946973	-30.8266
10.2733	0.249213	-3.80764	-1.35595	-0.681165	-2.14309	-0.657925	3.27493	-2.08374	-13.2046	-1618.36	-206.922	94.4517	-50.5066	0.000336617	-31.1272
