"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
25.2440	0.311072	-0.0584277	-0.244185	-0.0350213	-0.169003	0.280824	-0.331542	0.328342	-0.511788	-1817.46	-444.191	59.0521	-82.3975	-1.04675e-005	-40.8986
25.2447	0	-0.0584277	0.048837	-0.350213	-0.169003	0.280824	-0.0265233	0.328342	-0.499808	-1818.52	-444.937	58.2874	-83.0078	-0.000163037	-56.6092
25.2453	-0.311072	-0.0584277	0.048837	-0.647894	-0.169003	-0.0264929	0.278495	0.0247139	-0.475184	-1819.29	-445.434	57.6771	-83.4656	-1.04675e-005	-31.12
25.2460	0.622144	-0.0584277	-0.244185	-0.0350213	0.169003	0.280824	-0.0265233	0.0247139	-0.457215	-1820.06	-445.807	57.2212	-83.6182	0.000142102	-46.2282
25.2467	0.311072	-0.0584277	0.048837	-0.0350213	-0.169003	0.280824	-0.0265233	0.0247139	-0.43858	-1820.23	-445.31	57.8315	-83.0078	-0.000163037	-43.4939
25.2473	-0.622144	-0.0584277	0.048837	-0.0350213	-0.464757	-0.0264929	-0.63656	0.0247139	-0.420611	-1819.76	-444.813	57.6771	-83.1604	-0.000773439	-41.8023
25.2480	-0.311072	-0.36726	-0.244185	-0.0350213	-0.169003	0.280824	-0.63656	0.0247139	-0.395987	-1819	-444.813	57.5226	-83.1604	-0.000620808	-42.2658
25.2487	-0.311072	-0.36726	0.048837	-0.0350213	-0.464757	0.280824	-0.331542	-0.282445	-0.378018	-1818.23	-444.44	58.2874	-82.2449	-0.000163037	-42.2658
25.2493	-0.311072	0.242058	0.048837	-0.647894	-0.760512	-0.0264929	-0.0265233	-0.282445	-0.359383	-1818.11	-443.694	59.0521	-81.3293	-1.04675e-005	-41.9645
25.2500	0.311072	0.550889	0.048837	-0.350213	-0.169003	0.280824	0.278495	0.0247139	-0.347403	-1818.52	-443.819	59.3535	-81.0242	-0.000163037	-42.2658
