"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
39.4933	0.6972	0.526959	0.767737	0.70391	0.196669	-0.0456847	1.27495	-1.69928	9.58613	-1919.42	68.3896	-220.489	4990.39	0.000369167	-53.4047
39.4940	0.387334	-0.0619952	0.461958	0.70391	0.196669	-0.365477	0.665191	-1.69928	9.56764	-1919.54	67.9174	-220.645	4990.08	6.39866e-005	-49.4453
39.4947	0.0903778	-1.3019	0.461958	-0.829609	-0.108965	-0.959378	0.360312	-1.69928	9.55531	-1919.24	68.0748	-220.339	4990.23	-0.000241194	-25.6418
39.4953	0.387334	-1.3019	0.157822	-0.829609	0.196669	-0.959378	0.360312	-1.09379	9.53729	-1918.51	69.4127	-219.267	4991.61	6.39866e-005	-44.8496
39.4960	0.387334	-0.991924	0.157822	0.377095	0.499646	-0.365477	0.0554326	-0.175788	9.5188	-1916.32	71.3801	-217.13	4993.13	0.00021656	-39.2169
39.4967	0.0903778	-0.0619952	0.461958	0.70391	-0.108965	-0.365477	0.0554326	1.65045	9.50031	-1914.2	72.6393	-215.298	4994.35	0.00021656	-38.4627
39.4973	0.0903778	0.526959	0.767737	0.70391	-0.108965	-0.959378	-0.249447	1.34771	9.48845	-1914.07	72.7967	-214.694	4994.81	0.00021656	-39.2169
39.4980	-0.219489	0.216983	0.461958	0.075419	0.499646	-0.959378	-0.554326	0.742215	9.46996	-1914.8	72.0097	-215.149	4994.05	-8.85862e-005	-39.0519
39.4987	-0.219489	0.216983	0.461958	0.377095	0.196669	-0.0456847	0.0554326	1.04496	9.45147	-1914.68	70.9866	-215.604	4993.74	0.00021656	-39.2169
39.4993	-0.219489	-0.0619952	0.461958	1.30726	0.196669	0.548216	0.0554326	2.26571	9.43345	-1914.8	69.8848	-216.065	4993.29	6.39866e-005	-39.3583
39.5000	-0.219489	-0.0619952	-0.147958	1.91061	0.196669	0.228423	-0.554326	1.65045	9.41496	-1915.11	69.4127	-216.37	4992.98	-0.000241194	-39.2169
39.5007	0.0903778	-0.371971	-0.453738	1.30726	-0.4146	-0.0456847	-0.554326	0.429704	9.39694	-1914.98	69.8848	-216.37	4993.59	-8.85862e-005	-38.9105
39.5013	0.387334	-0.371971	0.461958	1.91061	-0.108965	0.228423	0.0554326	0.126958	9.38461	-1914.68	69.5701	-216.519	4993.44	6.39866e-005	-39.2169
39.5020	0.387334	-0.681947	0.767737	1.91061	0.196669	0.228423	0.360312	-0.175788	9.36612	-1914.07	69.5701	-216.214	4993.29	6.39866e-005	-39.3583
39.5027	0.387334	-1.3019	0.461958	0.377095	0.196669	-1.27917	0.665191	-2.01179	9.3481	-1913.28	70.5144	-214.844	4994.81	0.00021656	-39.0519
39.5033	0.387334	-1.61188	0.461958	-0.829609	0.196669	-2.19286	0.665191	-4.45329	9.32961	-1912.07	71.3801	-213.778	4996.03	6.39866e-005	-38.9105
39.5040	0.0903778	-0.991924	0.157822	-1.13128	0.196669	-1.27917	0.360312	-6.27953	9.31728	-1910.85	72.0097	-213.317	4996.19	-8.85862e-005	-38.7691
39.5047	0.0903778	-0.371971	-0.147958	-0.226257	0.196669	0.548216	0.360312	-5.36153	9.30495	-1910.85	71.5375	-214.233	4995.12	-0.000241194	-38.9105
39.5053	0.0903778	-0.0619952	0.157822	0.377095	-0.108965	0.548216	0.665191	-4.75604	9.27461	-1912.37	70.0423	-216.065	4993.13	-0.000546374	-39.3583
39.5060	0.0903778	-0.991924	0.157822	-0.829609	-0.108965	-0.0456847	1.27495	-7.50028	9.25612	-1913.89	69.0979	-217.741	4991.91	-0.000393767	-39.3583
39.5067	0.6972	-1.89085	-0.147958	-1.13128	0.196669	-0.0456847	0.97007	-10.2445	9.24426	-1914.5	68.3896	-218.962	4991.61	-0.000393767	-39.3583
39.5073	0.387334	-1.61188	-0.147958	0.377095	-0.4146	-0.365477	0.360312	-9.02378	9.23193	-1914.8	68.7831	-219.423	4991	-0.000393767	-39.6647
39.5080	0.0903778	-0.371971	-0.147958	1.30726	-0.4146	-0.68527	0.0554326	-5.67404	9.21344	-1914.2	70.0423	-219.118	4991.3	-8.85862e-005	-39.5233
39.5087	0.0903778	-0.681947	0.461958	1.91061	0.499646	-0.365477	0.360312	-4.14078	9.19542	-1913.47	70.9866	-218.202	4992.37	6.39866e-005	-39.5233
39.5093	-0.219489	-0.991924	1.37765	1.30726	-0.108965	-0.0456847	0.0554326	-5.36153	9.18309	-1912.98	71.5375	-217.286	4992.68	0.00021656	-39.6647
39.5100	0.0903778	-0.991924	0.767737	-0.226257	-0.108965	-0.0456847	-0.249447	-5.97679	9.1646	-1912.98	71.8523	-216.981	4992.37	-0.000241194	-39.5233
39.5107	-0.219489	-0.681947	-0.147958	-1.43296	0.196669	-0.68527	-0.554326	-4.75604	9.14658	-1912.98	72.0097	-217.286	4992.22	-0.000546374	-39.3583
39.5113	-0.219489	0.836935	0.157822	-1.43296	0.196669	-0.0456847	-0.554326	1.04496	9.13426	-1912.37	72.7967	-216.981	4992.52	6.39866e-005	-39.0519
39.5120	0.387334	2.66579	0.157822	0.377095	0.196669	1.14212	0.0554326	8.36945	9.12193	-1911.95	72.7967	-216.825	4992.37	0.00052174	-39.0519
39.5127	0.387334	3.28575	-0.453738	1.60894	-0.108965	1.14212	0.0554326	10.811	9.10391	-1912.86	71.144	-218.202	4991.3	6.39866e-005	-39.5233
39.5133	0.0903778	2.97577	-0.147958	1.30726	-0.4146	1.14212	-0.249447	8.97495	9.08542	-1914.07	69.4127	-219.573	4989.93	-0.000241194	-39.3583
39.5140	-0.219489	2.35582	-0.453738	1.30726	-0.108965	0.868009	-0.249447	5.92796	9.06124	-1914.5	68.6257	-220.034	4989.32	0.000369167	-39.3583
39.5147	-0.219489	1.45689	-0.757874	1.00559	0.196669	1.14212	-0.249447	4.70721	9.04891	-1914.07	68.9405	-219.573	4990.08	0.000369167	-39.8296
39.5153	0.0903778	1.45689	-0.453738	0.075419	0.196669	1.46191	0.0554326	2.26571	9.03041	-1912.25	71.144	-218.202	4991.76	6.39866e-005	-39.2169
