"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
44.0547	0.0491794	-1.13969	0.692808	3.61934	0.542911	1.56831	-0.0294115	22.9431	3.3518	1635.59	-83.4638	-147.86	4999.54	-8.43279e-005	-3.20954
44.0553	0.0491794	0.0844218	-0.230936	2.09922	0.235262	1.88197	-0.323527	14.3694	3.34611	1635.43	-83.7764	-148.626	4999.39	6.82861e-005	-39.6879
44.0560	-0.26229	1.30854	0.086601	-0.0361934	0.235262	1.25465	0.588231	-1.48483	3.33402	1635.43	-84.6621	-149.083	4999.54	0.000373514	-36.789
44.0567	-0.26229	1.60401	0.692808	-1.55632	-0.0678639	1.25465	0.911758	-18.8718	3.32762	1636.96	-83.9327	-148.317	4999.69	0.000526128	-34.6493
44.0573	0.0491794	0.970851	0.086601	-1.55632	-0.0678639	0.672132	-0.0294115	-20.4045	3.31554	1637.4	-83.3075	-148.626	4999.69	6.82861e-005	-36.4784
44.0580	0.0491794	0.379898	0.086601	0.253354	0.235262	0.0448088	0.294115	-9.1006	3.31554	1636.8	-83.7764	-149.379	4999.69	-0.000236725	-35.9952
44.0587	0.0491794	0.0844218	0.389705	1.19438	-0.375514	0.0448088	0.911758	20.7877	3.30914	1636.96	-83.9327	-149.836	4999.54	-8.43279e-005	-36.1678
44.0593	0.0491794	-0.253266	0.389705	1.80967	-0.986289	0.672132	0.588231	56.5195	3.29136	1636.36	-84.8184	-151.059	4999.54	-0.000541953	-36.789
44.0600	0.344256	-0.253266	0.389705	3.00405	-0.375514	2.19563	-0.0294115	66.2907	3.27856	1635.16	-86.2251	-153.048	4999.08	-0.00115241	-37.3756
44.0607	0.655726	-0.548742	0.086601	3.32979	-0.375514	3.40547	-0.323527	63.8479	3.27856	1634.83	-87.1108	-154.566	4998.32	-0.00115241	-37.6862
44.0613	0.0491794	-0.844218	-0.230936	4.23463	-1.28941	3.40547	-0.0294115	61.4051	3.27287	1634.5	-88.0486	-155.48	4998.02	-0.00115241	-37.8588
44.0620	-0.26229	-1.47738	0.086601	5.75475	-0.678639	4.03279	-0.0294115	60.495	3.26647	1634.99	-87.4234	-155.185	4998.63	-0.000847181	-37.065
44.0627	-0.26229	-1.77286	0.389705	6.08049	-0.0678639	4.6153	0.588231	62.3152	3.24799	1636.36	-86.2251	-154.728	4998.93	-8.43279e-005	-36.3058
44.0633	-0.26229	-1.77286	-0.230936	4.84992	-0.375514	4.6153	0.588231	36.9772	3.2359	1637.13	-85.4436	-154.876	4999.08	0.000373514	-36.3058
44.0640	0.0491794	-0.844218	-0.53404	2.09922	-0.678639	5.55629	0.294115	-22.512	3.2359	1637.4	-84.8184	-155.333	4999.54	0.0002209	-36.6164
44.0647	0.0491794	0.970851	0.086601	0.253354	0.235262	7.39345	0.588231	-100.969	3.22381	1638.17	-84.2453	-155.333	4999.69	-0.000236725	-36.4784
44.0653	-0.26229	2.82813	0.389705	-1.55632	0.846037	8.91695	1.20587	-189.149	3.21173	1639.54	-83.4638	-155.185	4999.69	6.82861e-005	-35.8572
44.0660	-0.26229	3.41908	-0.230936	-3.07644	0.235262	8.28963	1.20587	-200.453	3.20533	1640.3	-82.8386	-155.48	4999.69	0.000831356	-35.4085
44.0667	0.655726	3.12361	0.086601	-1.88206	-0.0678639	6.1388	0.911758	-111.027	3.19324	1640.03	-83.1512	-156.556	4999.69	0.000831356	-35.8572
44.0673	0.0491794	2.19497	-0.230936	-0.0361934	0.542911	5.82514	0.294115	-29.8404	3.18755	1640.03	-82.9949	-157.469	4999.69	0.0002209	-35.9952
44.0680	-0.26229	1.60401	-0.230936	0.579095	1.15369	6.45247	0.588231	23.8532	3.17475	1640.14	-82.4218	-157.617	4999.69	0.0002209	-35.8572
44.0687	0.344256	1.30854	0.086601	2.09922	0.846037	6.76613	0.911758	73.6191	3.16266	1640.3	-82.4218	-158.383	4999.54	0.000526128	-35.8572
44.0693	0.0491794	0.0844218	-0.230936	4.52418	0.235262	4.6153	0.911758	87.6532	3.15058	1640.03	-82.4218	-159.297	4999.54	0.000526128	-35.9952
44.0700	0.0491794	-1.77286	-0.230936	6.08049	0.542911	1.56831	0.588231	91.2934	3.14418	1640.3	-81.9529	-159.606	4999.69	0.000373514	-35.7191
44.0707	0.344256	-1.77286	0.389705	6.08049	0.542911	1.56831	-0.0294115	124.582	3.13849	1641.07	-81.7966	-159.915	4999.69	0.000373514	-35.7191
44.0713	0.344256	0.0844218	0.692808	3.00405	0.542911	2.50929	-0.0294115	147.43	3.1264	1640.03	-82.526	-161.286	4999.39	-0.000694567	-37.6862
44.0720	0.0491794	0.379898	-0.230936	1.80967	0.235262	2.50929	0.911758	143.167	3.12	1639.1	-82.6823	-162.052	4999.54	-0.00130502	-38.1349
44.0727	-0.26229	-0.844218	-0.837143	2.71451	0.235262	2.50929	0.588231	133.108	3.11431	1641.67	-79.9732	-160.372	4999.69	0.0002209	-35.9952
44.0733	-0.26229	0.675375	0.086601	-0.325741	0.542911	3.71913	-0.323527	109.59	3.10791	1643.04	-78.8791	-160.372	4999.69	0.00098397	-35.4085
44.0740	-0.26229	3.12361	0.389705	-4.30702	0.542911	4.6153	-0.617642	83.3423	3.09583	1640.91	-81.1714	-162.966	4999.54	6.82861e-005	-36.4784
44.0747	-0.26229	3.41908	-0.230936	-4.9223	-0.0678639	2.50929	-0.323527	78.4568	3.07734	1639.43	-82.526	-164.794	4999.24	-0.000694567	-36.789
44.0753	0.0491794	2.49044	0.086601	-3.69173	-0.0678639	0.985793	1.20587	72.0863	3.06525	1638.94	-82.9949	-165.399	4998.93	-0.000694567	-36.789
44.0760	0.655726	1.60401	0.995912	-1.88206	-0.0678639	0.35847	1.20587	37.2646	3.06525	1639.1	-83.1512	-165.103	4999.08	-0.000389339	-36.789
44.0767	0.344256	0.0844218	0.692808	-0.651482	-0.0678639	-1.79235	-0.0294115	-19.1592	3.05885	1640.47	-81.7966	-164.337	4999.54	0.0002209	-35.9952
44.0773	0.0491794	0.0844218	0.086601	-1.26677	0.542911	-2.37487	-0.323527	-90.5749	3.04108	1642	-80.1295	-163.571	4999.69	0.000831356	-35.7191
44.0780	-0.26229	1.30854	-0.230936	-1.55632	0.542911	-1.47869	-0.0294115	-145.849	3.02828	1642	-80.1295	-163.88	4999.54	0.000526128	-36.3058
44.0787	0.0491794	2.49044	0.086601	-3.07644	-0.0678639	-0.582514	0.294115	-146.424	3.02259	1641.07	-80.8588	-164.646	4999.69	0.0002209	-36.4784
44.0793	-0.26229	2.49044	-0.53404	-5.53759	-0.375514	-1.47869	0.294115	-113.805	3.01619	1641.4	-80.5462	-164.794	4999.69	6.82861e-005	-36.3058
44.0800	0.0491794	1.30854	-0.53404	-4.30702	0.235262	-4.52569	-0.323527	-90.5749	3.0041	1642.28	-79.9732	-165.251	4999.54	6.82861e-005	-36.4784
44.0807	0.344256	-0.844218	0.389705	-0.325741	0.846037	-7.88635	0.294115	-77.4509	2.99202	1642	-80.5462	-166.165	4999.54	0.000373514	-36.3058
44.0813	0.0491794	-1.47738	0.692808	-0.0361934	0.846037	-9.09618	0.911758	-59.4413	2.97993	1641.07	-81.1714	-166.931	4999.39	0.0002209	-36.1678
44.0820	-0.26229	0.379898	0.086601	-3.69173	0.542911	-7.88635	-0.0294115	-34.726	2.97353	1640.63	-81.6404	-167.535	4999.08	6.82861e-005	-36.1678
44.0827	-0.26229	1.60401	-0.53404	-4.9223	0.542911	-6.67651	-0.617642	-22.512	2.95504	1640.8	-81.7966	-167.845	4999.24	-8.43279e-005	-36.3058
44.0833	-0.26229	0.379898	-0.837143	-3.69173	-0.0678639	-6.67651	-0.323527	-13.0761	2.94935	1641.24	-81.1714	-168.006	4999.54	-0.000236725	-36.4784
44.0840	-0.26229	0.0844218	-0.53404	-3.40218	-0.0678639	-6.04919	-0.323527	26.5833	2.94935	1641.4	-81.0152	-168.463	4999.69	-0.000541953	-36.789
44.0847	-0.26229	0.675375	-0.53404	-3.40218	0.542911	-4.83935	-0.0294115	57.0943	2.93087	1641.4	-81.1714	-169.377	4999.69	-0.000694567	-37.3756
44.0853	-0.26229	-0.253266	-0.53404	-1.55632	0.235262	-5.15301	-0.0294115	46.1257	2.91878	1641.84	-81.0152	-169.525	4999.69	-0.000847181	-37.5482
