"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
23.2853	-0.0665933	6.50912	-1.37841	6.57356	0.226117	14.223	5.06961	10.092	0.759807	-1874.88	-100.578	-171.665	4975.59	-0.000246594	-1.82304
23.2860	-0.374587	7.41737	-1.37841	6.88659	-0.0811702	13.9189	5.37572	-24.7538	0.741593	-1873.31	-99.0114	-170.746	4977.72	0.000211199	-59.0617
23.2867	-0.682581	6.81187	-1.37841	5.03688	-0.385558	13.6149	5.37572	-45.7629	0.72945	-1871.61	-97.3283	-169.214	4979.25	5.85896e-005	-45.1552
23.2873	-0.374587	5.90362	-0.769112	4.12626	-0.689947	14.527	2.93306	-30.2124	0.711235	-1870.11	-96.1095	-168.311	4980.32	-9.39845e-005	-45.7862
23.2880	0.233076	3.1486	-0.469458	1.39439	-0.689947	14.223	4.76662	-26.2772	0.698225	-1869.06	-95.355	-167.537	4981.23	5.85896e-005	-48.217
23.2887	0.233076	-0.514674	-0.159815	-2.58958	0.226117	13.3108	10.8701	-53.6968	0.68001	-1869.2	-95.8193	-167.698	4981.08	-9.39845e-005	-46.5342
23.2893	-0.0665933	-1.12017	0.139839	-3.50021	-0.0811702	12.7027	8.73359	-28.6891	0.667867	-1870.11	-96.7479	-168.617	4979.86	5.85896e-005	-47.4457
23.2900	0.233076	-0.211925	0.449481	-3.50021	-0.0811702	9.66216	-6.5252	78.7045	0.655724	-1870.57	-97.5024	-169.214	4979.1	0.000211199	-47.9131
23.2907	-0.0665933	1.9376	0.449481	-1.05291	0.226117	6.28378	-17.2079	160.837	0.631438	-1870.24	-97.6765	-169.375	4979.25	5.85896e-005	-47.3054
23.2913	-0.682581	5.29812	0.139839	3.84169	0.530505	5.67567	-11.7135	128.783	0.613223	-1869.98	-97.2122	-169.52	4979.55	0.000211199	-47.1418
23.2920	-0.982251	8.65864	-0.159815	8.11024	0.834893	5.97973	-6.83132	64.36	0.607152	-1870.24	-97.6765	-170.133	4978.94	5.85896e-005	-47.7495
23.2927	-1.29024	12.3219	0.139839	12.9764	1.44657	5.97973	-6.22222	50.6502	0.582866	-1870.89	-98.7212	-170.601	4978.94	-0.000246594	-47.4457
23.2933	-1.29024	15.3797	1.05878	18.184	1.44657	5.37162	-0.421686	14.3445	0.570723	-1869.2	-97.5024	-169.52	4980.62	-9.39845e-005	-47.0016
23.2940	-0.374587	18.7099	1.66807	23.0502	1.44657	3.85135	4.4605	-40.3043	0.55858	-1866.78	-95.2389	-167.698	4981.84	5.85896e-005	-47.0016
23.2947	0.233076	23.009	1.97772	29.1684	0.530505	2.02703	2.63007	-56.4895	0.533426	-1866.78	-95.5291	-167.391	4982.15	-0.000246594	-47.1418
23.2953	-0.0665933	23.6145	2.27737	30.079	-0.994335	-2.56757	-0.727799	-86.0672	0.521283	-1867.5	-96.5738	-168.456	4981.69	-0.000246594	-47.1418
23.2960	0.233076	16.8934	2.27737	23.0502	-1.30162	-11.4189	-3.17046	-74.452	0.50914	-1868.28	-97.5024	-169.52	4980.01	-0.000399168	-47.3054
23.2967	0.54107	7.41737	2.58701	12.9764	-0.385558	-20.2703	-1.03391	3.04663	0.484854	-1869.52	-99.3596	-171.052	4978.33	-0.000551742	-47.4457
23.2973	-0.374587	0.423849	2.27737	5.03688	-0.0811702	-26.0473	3.54529	-5.52201	0.472711	-1870.44	-100.869	-172.584	4977.72	-0.000246594	-47.4457
23.2980	-0.374587	-6.59994	1.66807	-1.96353	-0.0811702	-30.6419	5.06961	-92.1605	0.454497	-1870.7	-101.913	-173.181	4977.11	-9.39845e-005	-47.7495
23.2987	-0.0665933	-13.6237	1.36842	-9.59	-0.385558	-33.6824	4.15439	-137.669	0.436282	-1870.44	-102.261	-172.729	4977.11	-9.39845e-005	-47.4457
23.2993	-0.0665933	-21.5558	1.97772	-19.0662	-0.385558	-37.0608	3.23918	-87.5905	0.418068	-1869.78	-102.087	-172.423	4978.18	5.85896e-005	-47.0016
23.3000	-0.374587	-33.1511	1.97772	-32.1848	-0.0811702	-39.7973	2.63007	128.466	0.405924	-1869.65	-102.261	-172.423	4978.64	-9.39845e-005	-47.0016
23.3007	-0.374587	-40.1749	1.05878	-41.035	-0.689947	-34.2905	4.4605	350.045	0.38771	-1869.52	-103.306	-172.584	4978.64	-0.000399168	-47.3054
23.3013	-0.0665933	-35.3006	1.05878	-37.677	-1.30162	-23.0067	8.42748	316.468	0.368628	-1869.33	-105.279	-173.036	4978.79	-9.39845e-005	-47.3054
23.3020	0.233076	-28.2768	0.449481	-30.9612	-1.60601	-15.3716	9.64881	164.201	0.350413	-1868.87	-108.181	-173.648	4979.1	0.000211199	-47.3054
23.3027	-0.0665933	-23.0998	-0.159815	-27.0057	-0.689947	-8.98648	7.20615	108.028	0.332199	-1868.41	-111.547	-174.261	4979.1	-9.39845e-005	-47.1418
23.3033	0.54107	-12.4127	0.139839	-18.1556	0.530505	5.97973	5.06961	9.13988	0.320056	-1869.2	-116.132	-175.777	4977.88	5.85896e-005	-47.4457
23.3040	1.14873	0.423849	0.139839	-7.76875	0.834893	26.723	4.4605	-169.405	0.301841	-1870.7	-121.182	-177.454	4976.35	0.000363773	-47.6093
23.3047	0.54107	5.60087	0.139839	-3.18718	0.226117	40.473	5.06961	-225.197	0.283627	-1871.61	-124.954	-178.68	4974.98	5.85896e-005	-47.9131
23.3053	-0.0665933	7.41737	0.749135	-0.455312	0.226117	42.6013	4.4605	-162.36	0.259341	-1871.35	-127.74	-178.825	4975.43	5.85896e-005	-48.0767
23.3060	0.233076	9.86964	1.36842	2.61804	-0.385558	37.4324	2.63007	-94.8897	0.241126	-1869.98	-128.784	-177.454	4977.57	0.000363773	-47.6093
23.3067	0.54107	10.1724	1.36842	3.52867	-1.30162	31.0135	1.10263	-61.9481	0.228983	-1868.15	-128.61	-176.084	4979.25	0.000363773	-47.1418
23.3073	0.54107	8.96139	0.139839	3.21564	-2.21479	24.8986	-0.727799	-60.4248	0.210768	-1866.58	-128.61	-175.471	4980.47	-9.39845e-005	-47.3054
23.3080	0.233076	7.11462	-1.07875	2.61804	-0.994335	20.9459	-6.5252	-58.9015	0.197758	-1865.86	-128.784	-175.019	4981.38	5.85896e-005	-47.3054
23.3087	-0.682581	6.50912	-0.469458	2.90261	-0.0811702	20.3378	-11.7135	-43.0336	0.179544	-1865.54	-129.829	-175.471	4980.93	0.000211199	-47.1418
23.3093	-0.682581	5.60087	0.449481	2.61804	-0.0811702	20.0338	-11.1044	-23.8018	0.1674	-1865.86	-131.222	-176.696	4980.01	5.85896e-005	-47.1418
23.3100	-0.682581	3.7541	0.449481	1.08137	-0.385558	18.7838	-11.1044	-10.4093	0.149186	-1866.45	-131.048	-177.616	4979.4	-9.39845e-005	-47.0016
23.3107	-0.982251	2.84585	0.749135	0.170742	-0.385558	17.8716	-8.66175	-1.84067	0.130971	-1866	-130.003	-178.067	4979.55	5.85896e-005	-46.6978
23.3113	-0.374587	2.84585	0.749135	-0.142285	-0.0811702	15.4392	-1.64301	4.56994	0.118828	-1865.86	-129.423	-178.535	4979.86	0.000211199	-46.6978
23.3120	-0.374587	2.24035	-0.469458	-0.142285	-0.0811702	13.0068	3.54529	4.8873	0.100614	-1866.91	-129.539	-179.905	4979.25	5.85896e-005	-47.4457
23.3127	-0.682581	2.5431	-1.07875	1.08137	-0.0811702	11.4865	7.81838	14.3445	0.0823992	-1867.37	-129.075	-180.825	4978.33	-9.39845e-005	-47.6093
23.3133	-0.682581	4.38987	-0.769112	2.90261	0.530505	9.02027	12.3945	44.2396	0.0702562	-1866	-126.173	-180.357	4979.4	5.85896e-005	-47.1418
23.3140	-0.374587	6.50912	-1.07875	6.57356	0.834893	5.37162	14.531	50.9675	0.0581131	-1864.17	-122.4	-179.438	4981.38	0.000211199	-46.838
23.3147	-0.682581	10.1724	-1.37841	12.3788	1.14218	1.72297	13.3097	22.9132	0.0329597	-1863.25	-119.615	-179.293	4982.3	0.000211199	-46.6978
23.3153	-0.374587	14.4412	-1.9877	19.4077	0.530505	-1.6554	11.4792	-2.72927	0.0208166	-1863.12	-117.641	-180.212	4981.84	0.000211199	-46.5342
23.3160	0.233076	18.7099	-2.29735	25.4975	0.226117	-5	0.187416	-46.3976	0.0086736	-1864.04	-116.422	-182.034	4980.62	0.000363773	-46.6978
23.3167	-0.0665933	22.0704	-1.9877	30.079	0.834893	-7.43243	-19.0384	-116.914	-0.00346944	-1865.86	-116.248	-184.179	4979.1	5.85896e-005	-47.1418
23.3173	-0.374587	22.3732	-1.9877	30.9896	0.834893	-9.89865	-26.3632	-155.315	-0.00954096	-1866.78	-115.378	-186.308	4977.88	-9.39845e-005	-47.3054
23.3180	-0.0665933	18.4072	-2.90664	26.7211	0.226117	-13.5473	-20.8688	-155.632	-0.0277555	-1867.04	-113.695	-187.533	4977.11	5.85896e-005	-47.1418
23.3187	-0.0665933	8.35589	-3.21629	16.0497	-0.689947	-19.054	-15.0714	-165.724	-0.0459701	-1867.5	-112.012	-188.452	4977.26	0.000211199	-47.1418
23.3193	0.233076	-7.84122	-2.90664	-3.50021	-0.994335	-23.6149	-9.57696	-77.8159	-0.0581131	-1866.78	-110.038	-188.598	4978.49	-9.39845e-005	-47.3054
23.3200	0.849064	-25.8245	-2.29735	-26.0666	-0.994335	-28.2094	-4.38866	165.724	-0.0763277	-1865.67	-108.181	-188.291	4978.79	-0.000246594	-47.1418
23.3207	0.54107	-36.8144	-1.07875	-39.2137	-0.689947	-30.9459	-1.94913	309.423	-0.0884707	-1864.95	-106.962	-188.598	4979.25	-0.000246594	-46.838
23.3213	-0.0665933	-37.4199	-0.159815	-40.1243	-0.689947	-30.9459	0.493529	261.248	-0.100614	-1864.95	-105.918	-189.662	4979.4	-9.39845e-005	-47.0016
23.3220	-0.374587	-31.3346	-0.769112	-33.0955	-1.60601	-29.1216	2.63007	155.632	-0.112757	-1865.21	-105.279	-190.581	4978.64	-9.39845e-005	-47.1418
23.3227	-0.374587	-21.5558	-1.07875	-22.1111	-1.30162	-26.6554	2.32396	64.9947	-0.131839	-1864.95	-104.351	-190.581	4978.49	5.85896e-005	-47.0016
23.3233	-0.374587	-12.4127	-0.769112	-12.6634	-0.385558	-21.1824	1.10263	26.531	-0.143982	-1865.41	-104.525	-191.645	4978.18	0.000363773	-47.1418
23.3240	-0.0665933	-6.59994	-0.159815	-7.45573	-0.689947	-11.1149	1.10263	-43.9222	-0.162196	-1866.78	-105.57	-193.935	4976.65	5.85896e-005	-47.4457
23.3247	-0.374587	-2.63392	0.749135	-3.50021	-0.385558	-2.56757	0.493529	-169.088	-0.174339	-1867.24	-105.453	-195.467	4975.59	-0.000399168	-47.7495
23.3253	-0.374587	0.726599	0.449481	-0.739881	0.530505	-0.135135	-0.421686	-191.366	-0.192554	-1866.58	-104.699	-195.919	4975.74	-0.000246594	-47.9131
23.3260	0.233076	2.84585	-0.159815	0.483769	0.530505	-1.95946	-0.118697	-114.756	-0.210768	-1865.54	-103.77	-195.306	4977.26	0.000211199	-47.6093
23.3267	0.233076	5.90362	0.139839	3.84169	-0.0811702	-2.26351	1.10263	-89.4312	-0.228983	-1863.84	-102.087	-194.242	4979.1	0.000211199	-47.1418
23.3273	-0.0665933	10.1724	0.139839	8.70784	-0.0811702	2.02703	1.40874	-100.729	-0.235055	-1862.21	-99.9399	-193.323	4980.47	5.85896e-005	-46.6978
