"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
82.7840	-0.513777	0.344867	-1.1401	-0.551201	0.131716	0.285501	-0.101223	1.23046	13.4711	-1965.78	84.56	-79.1898	4976.5	-0.00082874	-66.8408
82.7847	0.0986453	1.2563	-0.837626	-0.236229	-0.477691	-0.0317224	0.204148	1.53427	13.4711	-1965.78	84.8522	-78.7319	4977.26	-0.000676189	-46.5392
82.7853	0.0986453	1.2563	-0.53515	0.367467	-1.08885	-0.0317224	0.204148	0.319007	13.4711	-1964.73	86.4109	-77.365	4979.1	-6.57988e-005	-44.5605
82.7860	-0.513777	0.936066	-0.837626	-0.236229	-0.477691	-0.0317224	-0.711114	-0.288626	13.4769	-1962.71	88.6516	-75.5332	4981.23	-6.57988e-005	-50.6613
82.7867	0.0986453	1.2563	-0.224918	0.078743	0.74288	0.602725	-0.101223	0.319007	13.4769	-1961.33	89.7232	-74.1594	4982.15	8.67519e-005	-47.3018
82.7873	1.01111	2.16773	-0.53515	0.078743	0.437298	0.602725	1.11941	0.622824	13.4769	-1961.33	88.9438	-74.312	4981.69	-6.57988e-005	-47.4461
82.7880	0.706958	1.5519	-1.1401	-0.236229	0.131716	-0.0317224	0.509519	1.23046	13.4711	-1961.66	88.1645	-74.9226	4981.08	-0.000218412	-47.7552
82.7887	0.402802	0.936066	-0.224918	0.078743	-0.172109	0.285501	-0.101223	1.23046	13.4711	-1962.12	87.8722	-75.3806	4980.77	-0.000218412	-48.2087
82.7893	0.402802	0.936066	0.380034	0.078743	-0.172109	0.285501	-0.101223	0.92664	13.4769	-1962.9	87.58	-75.8385	4980.62	-0.000218412	-48.3735
82.7900	0.0986453	1.2563	-0.224918	0.078743	0.131716	-0.0317224	-0.711114	0.622824	13.4711	-1962.57	87.58	-75.6859	4980.62	-0.000370963	-48.0644
82.7907	-0.513777	0.936066	-0.224918	0.078743	0.131716	-0.0317224	-0.101223	0.319007	13.4711	-1961.99	87.8722	-75.3806	4980.77	8.67519e-005	-47.7552
82.7913	0.0986453	0.640466	0.380034	0.078743	-0.172109	-0.317224	0.814039	0.319007	13.4769	-1962.71	87.8722	-75.6859	4980.47	8.67519e-005	-47.9201
82.7920	0.706958	0.640466	0.0775579	-0.551201	-0.172109	-0.317224	0.814039	0.622824	13.4769	-1962.71	88.1645	-75.6859	4980.16	-0.000218412	-47.9201
82.7927	0.402802	0.936066	-0.53515	-0.236229	-0.172109	-0.0317224	0.814039	0.0151908	13.4769	-1961.99	88.8464	-75.2279	4981.23	-0.000218412	-48.2087
82.7933	0.0986453	1.5519	-0.53515	-0.236229	-0.172109	-0.317224	0.509519	-0.896258	13.4711	-1961.07	89.2361	-74.77	4982.6	-0.000218412	-48.0644
82.7940	0.706958	1.87213	-0.53515	-0.551201	-0.477691	-0.317224	0.204148	-0.592442	13.4769	-1960.74	89.918	-74.312	4982.76	-0.000218412	-47.7552
82.7947	0.706958	1.87213	-0.53515	-0.551201	-0.783273	-0.0317224	-0.101223	0.319007	13.4769	-1961.07	89.5284	-74.312	4982.15	-0.000370963	-47.9201
82.7953	-0.209621	1.2563	0.380034	-0.551201	-0.172109	0.285501	-0.101223	0.319007	13.4769	-1961.66	88.4567	-75.0753	4981.08	-6.57988e-005	-48.2087
82.7960	-0.513777	1.2563	0.380034	-0.551201	0.437298	-0.0317224	0.204148	-0.288626	13.4769	-1962.9	87.2877	-76.2965	4979.55	-0.000218412	-48.3735
82.7967	-0.209621	1.5519	-0.53515	-0.236229	0.131716	-0.0317224	0.204148	-0.592442	13.4711	-1963.82	86.5084	-77.2123	4978.94	-0.000676189	-48.5178
82.7973	0.402802	0.936066	-1.1401	-0.236229	-0.172109	0.285501	0.204148	-0.288626	13.4769	-1963.82	86.4109	-77.5176	4979.1	-0.000676189	-48.6827
82.7980	0.402802	0.640466	-0.837626	-0.236229	-0.783273	-0.0317224	0.509519	0.319007	13.4769	-1963.49	86.5084	-76.9071	4979.1	-0.000218412	-48.5178
82.7987	0.706958	1.2563	-0.53515	0.078743	-0.172109	-0.317224	0.204148	0.319007	13.4769	-1963.36	87.0929	-76.1438	4979.4	-6.57988e-005	-48.0644
82.7993	0.706958	0.936066	0.380034	0.367467	0.131716	-0.317224	-0.101223	0.0151908	13.4769	-1963.49	87.2877	-76.2965	4979.71	-0.000523576	-48.2087
82.8000	0.402802	0.0246333	0.380034	0.078743	-0.172109	-0.0317224	0.204148	-0.288626	13.4769	-1963.49	86.7032	-76.6018	4979.55	-0.000676189	-48.827
82.8007	0.402802	0.0246333	-0.224918	0.078743	0.131716	0.602725	0.204148	-0.288626	13.4711	-1963.16	86.9954	-76.2965	4979.86	-0.000370963	-48.827
82.8013	-0.817934	-0.270967	-0.53515	-0.236229	0.74288	-0.317224	0.204148	0.0151908	13.4769	-1962.9	87.3851	-76.1438	4980.47	-0.000218412	-48.0644
82.8020	-0.513777	-0.270967	-0.224918	-0.236229	0.131716	-0.919948	-0.101223	0.319007	13.4769	-1962.57	86.9954	-76.1438	4980.32	-0.000218412	-47.9201
82.8027	0.0986453	-0.270967	-0.53515	0.367467	0.131716	-0.317224	-0.711114	0.319007	13.4711	-1963.49	85.729	-76.7544	4978.94	-0.000218412	-48.5178
