"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
15.7547	-1.35309	0.580723	0.631856	0.438483	-0.797178	0.01241	-62.1805	0.57575	-1.94445	1681.04	-106.177	-29.1456	-88.0432	-1.76356e-005	-86.5086
15.7553	-2.86671	0.580723	1.85044	0.438483	-1.09612	-0.292669	-57.5777	0.280493	-1.93837	1681.64	-105.262	-29.6024	-87.2803	-1.76356e-005	-48.516
15.7560	-3.18778	0.580723	3.36238	0.438483	-1.694	-0.292669	-38.3852	-0.339545	-1.93837	1682.12	-104.5	-29.7547	-86.5173	0.000135006	-48.516
15.7567	-2.56857	0.580723	3.6783	-0.170838	-2.92299	-0.292669	-15.8057	-0.339545	-1.93228	1682.12	-104.5	-29.907	-86.5173	0.00044014	-57.8222
15.7573	-2.56857	0.274638	3.36238	-0.170838	-3.22193	-0.292669	3.12639	0.280493	-1.92619	1681.34	-105.415	-31.2775	-87.5854	-1.76356e-005	-52.804
15.7580	-2.56857	0.580723	3.36238	0.438483	-1.39506	-0.292669	22.3624	-0.339545	-1.9201	1680.75	-106.482	-32.351	-88.501	-0.000322769	-53.8713
15.7587	-1.65123	1.1908	3.06902	0.740297	-0.498237	-0.292669	47.9814	-0.634801	-1.9201	1680.33	-106.329	-32.6556	-88.3484	-0.000322769	-53.8713
15.7593	-0.43574	-0.0314471	2.75309	0.740297	1.32863	0.317489	60.8344	-0.339545	-1.91402	1679.67	-106.177	-33.2647	-88.3484	-0.000475336	-53.8713
15.7600	-0.114668	-0.335435	3.36238	0.740297	5.91241	0.927647	56.8396	0.280493	-1.90793	1679.67	-106.634	-34.026	-88.9587	-0.000170202	-53.8713
15.7607	-0.733878	0.884711	3.06902	0.130976	8.07143	0.317489	58.6633	0.57575	-1.90793	1679.97	-106.177	-34.6352	-88.8062	-1.76356e-005	-53.8713
15.7613	0.18347	0.884711	2.75309	-0.785854	8.37037	-0.292669	46.1577	-0.339545	-1.90184	1680.63	-105.11	-34.1783	-87.4329	-0.000170202	-53.7028
15.7620	1.69709	0.274638	2.1438	-0.785854	8.37037	-0.292669	13.2003	-0.634801	-1.89575	1681.64	-104.043	-33.5692	-86.6699	0.00044014	-53.553
15.7627	1.39896	0.884711	0.631856	-0.170838	8.07143	0.01241	-4.5159	-0.339545	-1.88967	1681.64	-104.195	-34.1783	-86.6699	0.00044014	-53.8713
15.7633	1.10082	1.1908	0.315928	0.740297	8.07143	0.317489	-4.81986	-0.0295256	-1.88358	1680.75	-104.652	-34.9397	-87.1277	-0.000170202	-53.7028
15.7640	2.01817	0.580723	0.631856	0.740297	9.8983	0.01241	15.0241	-0.339545	-1.87749	1680.45	-104.957	-35.7087	-87.738	-0.000170202	-53.553
