"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
39.2527	0.364613	-0.084163	-0.156485	-0.0481165	0.43273	0	0.172998	-0.018935	13.9409	1541.42	237.25	-113.674	4972.84	-0.000470686	-55.533
39.2533	0.0588086	-0.084163	-0.156485	0.264641	0.128649	-0.610356	0.782611	-0.321895	13.9409	1541.27	236.368	-114.746	4972.53	-0.000470686	-66.0699
39.2540	-0.245927	0.504978	0.452808	0.264641	0.43273	0.287226	0.782611	-0.018935	13.9409	1540.85	236.074	-115.964	4971.92	-0.000318092	-35.7097
39.2547	0.0588086	-0.084163	0.149826	-0.0481165	0.43273	1.22071	0.172998	-0.018935	13.9349	1540.85	237.152	-116.118	4972.38	-0.000318092	-55.6951
39.2553	0.364613	-0.084163	-0.156485	0.264641	0.43273	0.610356	0.477805	-0.321895	13.9349	1541.42	238.034	-115.509	4972.99	-0.000470686	-50.6698
39.2560	0.0588086	0.210407	0.149826	0.264641	0.73681	-0.32313	0.477805	-0.018935	13.9282	1541.9	238.328	-115.054	4973.3	0.000139649	-49.4424
39.2567	-0.245927	-0.084163	-0.156485	0.264641	0.43273	0	0.172998	-0.018935	13.9282	1541.74	238.916	-115.054	4973.45	0.000444838	-50.2066
39.2573	0.0588086	-0.084163	-0.156485	0.553339	0.128649	0.287226	0.172998	-0.018935	13.9282	1541.74	239.7	-114.746	4973.6	-0.000165497	-49.9056
39.2580	0.0588086	0.210407	0.452808	0.264641	0.128649	0	0.172998	-0.018935	13.9222	1542.21	239.896	-114.438	4973.45	-0.000470686	-50.3456
39.2587	-0.245927	0.504978	0.452808	-0.360873	0.43273	0	0.477805	-0.018935	13.9162	1541.58	238.818	-115.201	4972.99	-0.000470686	-50.6698
39.2593	-0.245927	0.504978	-0.462797	-0.649572	0.128649	0.287226	0.477805	-0.321895	13.9222	1539.9	236.956	-116.882	4971.47	-0.000165497	-50.6698
39.2600	0.0588086	0.504978	-0.156485	-0.360873	0.128649	0	0.477805	-0.018935	13.9162	1539.33	236.172	-118.254	4970.25	-1.2903e-005	-50.8087
39.2607	0.364613	0.504978	0.149826	-0.360873	-0.17933	0	0.477805	-0.018935	13.9043	1539.9	236.466	-118.562	4970.86	-0.000165497	-50.8087
39.2613	0.0588086	-0.084163	-0.156485	-0.0481165	-0.17933	-0.32313	0.477805	-0.321895	13.9043	1540.69	237.74	-117.645	4972.23	-0.000165497	-50.6698
39.2620	0.0588086	-0.084163	-0.462797	-0.0481165	-0.17933	0.287226	0.477805	-0.018935	13.9043	1542.05	240.288	-115.964	4973.6	0.000139649	-50.3456
39.2627	0.364613	0.504978	-0.462797	-0.0481165	-0.17933	1.22071	0.172998	0.284025	13.8983	1543.58	242.15	-114.746	4974.82	-1.2903e-005	-50.5077
39.2633	0.0588086	0.504978	0.149826	-0.360873	-0.17933	0.897582	0.477805	-0.018935	13.8983	1544.05	242.346	-114.291	4974.98	-1.2903e-005	-50.3456
39.2640	0.0588086	0.210407	-0.462797	-0.360873	-0.17933	0.287226	0.477805	-0.321895	13.8916	1543.89	241.856	-114.291	4974.52	0.000139649	-50.2066
39.2647	0.0588086	-0.084163	-0.765779	-0.360873	-0.17933	0	0.477805	-0.321895	13.8856	1543.26	240.974	-114.9	4974.06	0.000139649	-50.6698
39.2653	0.0588086	0.210407	-0.156485	-0.0481165	0.128649	-0.610356	0.477805	-0.321895	13.8856	1542.84	239.994	-115.817	4973.6	0.000139649	-50.8087
39.2660	0.364613	0.210407	-0.156485	0.553339	-0.17933	-0.933486	0.172998	-0.321895	13.8856	1542.68	239.406	-116.118	4973.6	-1.2903e-005	-50.5077
39.2667	0.0588086	0.210407	-0.462797	-0.0481165	-0.17933	0	0.172998	-0.018935	13.8797	1542.84	239.406	-115.817	4974.06	-1.2903e-005	-50.5077
39.2673	-0.245927	0.210407	-0.156485	-0.360873	-0.17933	0.610356	0.172998	-0.018935	13.8737	1543.1	239.112	-115.509	4973.91	-0.000165497	-50.5077
39.2680	-0.550662	-0.420815	-0.156485	-0.360873	-0.48341	0	-0.132838	-0.624855	13.8677	1543.42	239.21	-115.509	4973.75	-1.2903e-005	-50.3456
39.2687	-0.245927	-0.715385	-0.156485	-0.0481165	-0.48341	-0.32313	-0.437644	-0.624855	13.8677	1543.58	240.484	-114.9	4974.52	0.000139649	-50.5077
39.2693	0.364613	0.210407	0.149826	0.264641	0.128649	-0.32313	-0.132838	-0.321895	13.8677	1544.52	242.15	-113.528	4975.89	-1.2903e-005	-50.5077
39.2700	0.364613	0.504978	0.149826	0.866096	0.43273	-0.32313	0.172998	-0.018935	13.8677	1545.57	243.424	-112.764	4976.65	-0.000165497	-50.0445
39.2707	0.0588086	0.210407	-0.462797	0.866096	0.128649	-0.32313	0.477805	-0.018935	13.8617	1545.25	243.032	-113.374	4976.04	-0.000165497	-49.9056
