"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
40.3413	-1.00138	0.105402	2.476	0.566015	-1.17538	0.055966	14.8097	-1.73469	-6.93416	1745.78	-69.5813	-75.5233	4987.49	0.000236699	-47.9015
40.3420	-0.0883568	0.105402	1.88099	0.566015	-1.49183	0.358182	35.5763	-1.73469	-6.93416	1746.38	-68.6544	-75.2313	4988.4	-6.84531e-005	-52.178
40.3427	0.500689	0.72464	0.345488	0.2623	-2.39597	0.358182	64.8647	-1.13652	-6.93416	1746.8	-67.9129	-74.4688	4989.17	-0.000373645	-28.9826
40.3433	1.11919	0.72464	-0.863721	0.2623	-2.12473	0.660399	70.6562	-0.508444	-6.93416	1747.77	-67.1095	-73.7062	4989.47	-6.84531e-005	-45.9259
40.3440	1.44316	0.421608	-1.78502	0.2623	-1.49183	0.660399	50.5514	-1.13652	-6.9396	1747.89	-66.9859	-73.544	4989.78	-6.84531e-005	-41.0451
40.3447	1.44316	0.421608	-3.01343	-0.655749	-1.49183	0.055966	21.8422	-2.36277	-6.9396	1746.5	-67.7275	-74.6148	4988.56	-0.000373645	-40.4408
40.3453	2.03221	0.421608	-3.32053	-0.345131	0.045207	0.055966	-3.14395	-1.73469	-6.93416	1745.18	-69.4577	-75.9939	4986.42	-0.000221049	-41.6494
40.3460	2.03221	-0.197629	-3.62763	-0.345131	2.16994	0.055966	-35.8245	-0.209359	-6.93416	1743.91	-70.6318	-76.9024	4985.5	-6.84531e-005	-41.51
40.3467	2.94523	-0.197629	-3.91554	-0.345131	1.85349	-0.24625	-53.8609	1.61506	-6.9396	1743.19	-71.2498	-77.8272	4985.5	-0.000221049	-41.3473
40.3473	3.2692	-0.197629	-4.83684	-0.345131	0.316449	0.055966	-40.7059	3.43947	-6.92765	1743.61	-71.1262	-77.5189	4985.5	-0.000221049	-41.3473
40.3480	2.94523	-0.197629	-6.06524	-0.0414157	0.045207	0.358182	-33.4252	4.9648	-6.92765	1744.51	-70.3229	-76.4481	4986.42	-6.84531e-005	-41.2078
40.3487	3.85825	-0.197629	-7.58155	-0.0414157	0.949348	0.055966	-38.3066	4.66572	-6.92765	1745.18	-69.8903	-75.9939	4987.33	0.000236699	-41.2078
40.3493	4.18222	-0.197629	-8.50285	-0.345131	2.75763	-0.55966	-30.9431	2.8413	-6.92765	1744.81	-69.5813	-76.2859	4987.03	8.41428e-005	-41.3473
40.3500	4.77127	0.105402	-9.11706	-0.0414157	3.97822	-0.55966	-11.9967	1.61506	-6.92765	1744.39	-69.5813	-76.4481	4986.57	-6.84531e-005	-41.51
40.3507	5.71374	0.421608	-9.42416	0.86973	3.39053	-0.24625	-1.07556	1.91414	-6.92113	1744.81	-69.4577	-76.2859	4987.03	8.41428e-005	-41.3473
40.3513	5.09524	0.105402	-8.19575	0.566015	3.07408	-0.55966	0.165471	1.91414	-6.92765	1744.99	-69.5813	-76.5941	4987.18	-6.84531e-005	-41.3473
40.3520	3.85825	0.105402	-5.75814	-0.0414157	3.70698	0.055966	19.4429	1.61506	-6.93416	1743.79	-70.9408	-77.3567	4985.96	8.41428e-005	-41.0451
