"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
12.2207	-0.580947	28.8383	-1.74255	25.1064	1.38753	-13.3288	40.2592	414.404	1.35534	-1811.4	-17.6853	-243.227	4999.69	0.00061922	-4.87675
12.2213	-0.888019	23.6494	-0.822873	20.2292	0.479514	-13.6336	52.4737	575.188	1.32503	-1811.53	-18.1747	-243.378	4999.69	-0.000143721	-50.0485
12.2220	-1.80094	18.4605	1.31902	15.3519	0.479514	-14.2433	54.9166	350.3	1.29368	-1811.66	-18.7339	-243.529	4999.69	-0.00029635	-19.8441
12.2227	-2.41508	12.0492	1.92407	9.54556	1.08146	-10.5855	24.0871	3.00597	1.26965	-1811.85	-18.7339	-243.076	4999.69	-0.00029635	-32.8113
12.2233	-1.49386	3.49253	0.701862	2.22962	1.08146	0.41566	-23.8428	-161.483	1.23935	-1812.11	-18.9436	-242.925	4999.69	-0.000448928	-32.2045
12.2240	-0.888019	-5.96224	0.0968085	-4.78439	0.775384	20.5336	-32.051	-181.616	1.21427	-1811.85	-18.9436	-242.613	4999.69	-0.000143721	-30.0695
12.2247	-1.19509	-12.3735	0.0968085	-9.38298	1.08146	39.1552	-12.8497	-185.251	1.18396	-1811.53	-18.7339	-241.847	4999.69	8.85704e-006	-31.2831
12.2253	-0.888019	-13.5959	0.399335	-9.98684	1.99967	46.4708	0.586299	-139.533	1.15366	-1811.53	-18.5941	-241.545	4999.69	-0.000143721	-31.1258
12.2260	-1.19509	-12.9722	0.399335	-9.05783	1.38753	47.0804	5.47212	-43.6914	1.12335	-1810.44	-17.6853	-240.78	4999.69	8.85704e-006	-30.9685
12.2267	-2.10801	-12.9722	0.399335	-8.7559	1.38753	48.0226	-1.85661	38.4484	1.09827	-1808.96	-16.3572	-238.796	4999.69	0.000314013	-30.3617
12.2273	-1.49386	-12.0742	-0.217819	-7.85012	1.99967	48.937	-8.55019	87.8721	1.06797	-1807.68	-15.099	-237.125	4999.69	0.000314013	-30.0695
12.2280	-0.273875	-10.8518	-0.520346	-6.31726	1.6936	48.3274	-8.84334	122.615	1.03766	-1807.55	-15.099	-236.36	4999.69	-0.000143721	-30.3617
12.2287	0.639042	-10.2281	-1.42793	-6.31726	2.30575	46.7756	-1.22146	145.265	1.0199	-1808.19	-15.8679	-236.662	4999.69	-0.00029635	-30.519
12.2293	1.55196	-9.33003	-2.04508	-6.61918	2.30575	44.0322	-2.14976	145.824	0.988551	-1809.22	-16.6368	-237.729	4999.69	-0.000143721	-30.8336
12.2300	1.55196	-8.40701	-2.04508	-5.7134	1.6936	39.7648	-42.1158	131.773	0.958246	-1810.31	-18.3145	-238.495	4999.69	-0.00029635	-31.4404
12.2307	1.55196	-9.33003	-2.65013	-6.61918	2.30575	38.2407	-69.9161	118.351	0.934212	-1811.4	-19.9921	-238.645	4999.69	-0.000143721	-31.4404
12.2313	1.85903	-11.1511	-2.34761	-8.15205	2.30575	40.6792	-42.4578	108.005	0.903908	-1811.08	-19.8523	-238.042	4999.69	-0.00029635	-31.4404
12.2320	1.85903	-11.7499	-1.74255	-8.7559	1.6936	39.1552	-10.4068	104.929	0.872558	-1810.18	-19.0834	-236.662	4999.69	-0.000601506	-31.4404
12.2327	1.85903	-11.1511	-0.822873	-8.45397	0.775384	31.8395	5.47212	98.8474	0.848524	-1809.67	-18.9436	-235.746	4999.69	-0.000601506	-31.5753
