"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
0.0000	0.301809	0.96219	0.0378353	0.0944467	-0.159832	0.338682	0.0602592	-0.0613998	24.7904	-2046.37	44.0733	-56.4549	4999.69	-0.000125852	-47.6188
0.0007	0.914574	0.96219	0.342701	0.377787	0.143183	0.0307893	0.0602592	-0.671786	24.7904	-2046.18	43.9854	-56.4549	4999.69	2.6772e-005	-27.6081
0.0013	0.301809	1.27425	-0.572623	0.377787	0.449527	-0.277104	-0.246515	-0.671786	24.7843	-2047	42.8418	-57.6808	4999.69	2.6772e-005	-31.4419
0.0020	0	0.364072	-0.267758	0.377787	0.143183	-0.277104	-0.553289	-0.671786	24.7782	-2048.62	41.6981	-59.0528	4999.69	2.6772e-005	-34.7848
0.0027	0	0.364072	0.0378353	0.0944467	0.449527	-0.584997	0.0602592	-0.368399	24.7843	-2049.25	41.0823	-59.5101	4999.69	2.6772e-005	-32.7978
0.0033	0.608192	0.676133	0.0378353	-0.220376	-0.159832	-0.584997	0.0602592	-0.0613998	24.7904	-2048.31	41.5222	-58.443	4999.69	0.000179349	-32.6575
0.0040	1.21638	0.676133	0.0378353	0.0944467	-0.159832	-0.277104	-0.246515	-0.0613998	24.7843	-2046.68	42.8418	-56.9123	4999.69	0.000331925	-32.4939
0.0047	0.914574	0.364072	0.0378353	0.692609	0.755871	-0.277104	0.0602592	-0.0613998	24.7843	-2045.31	44.5132	-55.5403	4999.69	0.000331925	-32.0497
0.0053	0.914574	0.0520103	-0.267758	0.0944467	0.755871	-0.584997	0.0602592	-0.368399	24.7904	-2044.06	45.6568	-54.4732	4999.69	0.000179349	-31.7458
0.0060	1.21638	-0.234046	-0.267758	-0.535198	0.755871	0.0307893	0.361555	-0.0613998	24.7843	-2043.93	45.4809	-54.4732	4999.69	2.6772e-005	-31.8861
0.0067	0.914574	0.0520103	-0.267758	-0.220376	0.755871	0.646575	0.361555	0.241988	24.7782	-2044.81	45.041	-55.0829	4999.69	2.6772e-005	-31.8861
0.0073	0.301809	0.676133	0.342701	0.0944467	0.143183	0.0307893	0.361555	0.241988	24.7782	-2044.99	44.8651	-55.3878	4999.69	2.6772e-005	-31.7458
0.0080	-0.306382	0.676133	0.0378353	-0.220376	-1.38188	-0.584997	0.66833	-0.0613998	24.7782	-2045.12	44.4252	-55.3878	4999.69	0.000179349	-31.8861
0.0087	-0.306382	0.364072	-0.572623	-0.220376	-1.68822	-0.584997	0.66833	-0.0613998	24.7782	-2045.62	43.8094	-55.3878	4999.69	0.000179349	-31.7458
0.0093	0.301809	0.96219	0.0378353	-0.220376	-0.159832	0.0307893	0.361555	0.241988	24.7843	-2045.43	44.2493	-55.3878	4999.69	-0.000278429	-31.8861
0.0100	0.608192	0.676133	0.648294	-0.220376	0.449527	0.646575	0.0602592	0.241988	24.7782	-2045.62	43.9854	-55.9976	4999.69	-0.000431005	-32.19
0.0107	0	0.0520103	0.648294	-0.220376	0.755871	0.338682	0.361555	-0.0613998	24.7782	-2045.74	43.4576	-55.8451	4999.69	-0.000125852	-32.0497
