"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
0.0000	-0.277846	-0.174114	0.879981	2.89477	0.0944909	-0.283899	-0.534245	-6.80963	9.57294	1540.21	-57.6766	8.70002	-78.2776	-0.000207028	-77.8177
0.0007	-0.583477	0.435284	0.572874	-0.138949	-0.512951	-2.11505	-0.839936	-6.51031	9.58472	1539.29	-58.7419	8.38905	-78.8879	9.81824e-005	-40.5895
0.0013	-0.277846	0.435284	0.265766	0.463163	-0.816672	-0.283899	0.077137	-6.80963	9.59723	1538.86	-59.3549	7.93344	-79.1931	0.000403353	-50.052
0.0020	-0.277846	1.95878	-0.0354355	-0.76422	-0.816672	1.54725	0.379971	-0.67348	9.60312	1538.1	-59.5154	7.93344	-79.6509	9.81824e-005	-52.9529
0.0027	-0.277846	3.17757	0.265766	-1.96844	-1.43086	-0.283899	-0.228554	6.95929	9.60901	1537.78	-59.3549	8.38905	-79.9561	-0.000207028	-49.5915
0.0033	-0.277846	2.56818	0.265766	-1.36633	-1.12714	-0.283899	0.077137	12.1226	9.61564	1537.78	-59.3549	8.8519	-79.8035	9.81824e-005	-50.6506
0.0040	0.0277846	2.26348	0.265766	-1.66739	-1.12714	1.54725	0.379971	8.15659	9.62742	1537.18	-59.9679	9.00377	-80.2612	9.81824e-005	-50.6506
0.0047	0.0277846	3.48227	0.879981	-1.36633	-1.73458	-0.894281	0.379971	-4.63953	9.63993	1537.45	-59.6614	9.61125	-80.1086	-0.000207028	-50.1901
0.0053	0.0277846	3.78697	0.572874	-0.76422	0.0944909	-7.3033	0.077137	-6.51031	9.64582	1538.7	-58.2895	11.4409	-78.7354	-5.4442e-005	-50.3513
0.0060	-0.583477	2.87287	-0.0354355	-1.06528	2.84148	-10.9656	-0.534245	0.523818	9.65834	1539.29	-57.6766	12.6631	-77.6672	9.81824e-005	-50.6506
0.0067	-0.885634	0.739983	0.572874	0.76422	1.93031	-12.1864	-0.228554	-4.63953	9.66423	1539.62	-57.2241	12.815	-77.5146	-5.4442e-005	-50.6506
0.0073	-0.277846	-1.39291	1.18118	2.59371	0.404961	-13.4071	0.379971	-19.0071	9.67012	1539.13	-57.2241	12.3594	-78.125	-5.4442e-005	-50.5125
0.0080	-0.583477	-2.01319	1.48829	4.12215	0.708682	-10.6604	-0.228554	-26.9392	9.68264	1537.61	-58.4355	11.1372	-79.1931	-5.4442e-005	-50.1901
0.0087	-1.19127	-2.31789	1.18118	4.12215	0.708682	-2.72543	-0.839936	-24.5446	9.69441	1536.1	-59.6614	9.91499	-80.5664	-0.000359613	-50.052
0.0093	-0.583477	0.435284	0.879981	-0.76422	0.0944909	4.29397	-0.534245	-10.177	9.70104	1534.91	-60.1138	9.00377	-81.6345	-0.000512199	-50.5125
0.0100	-0.583477	5.93074	0.879981	-8.68431	0.404961	6.12512	-0.534245	18.8574	9.70693	1534.42	-60.1138	8.8519	-81.9397	-0.000512199	-50.8118
0.0107	-0.583477	9.58713	-0.649651	-13.2696	0.708682	7.65107	-0.228554	39.5857	9.71945	1535.18	-59.5154	9.76312	-81.4819	-0.000359613	-50.6506
0.0113	1.8581	8.97773	-3.08879	-12.3665	0.404961	12.5341	0.077137	30.7556	9.72534	1535.5	-58.4355	10.5297	-80.8716	-0.000207028	-50.6506
0.0120	2.46936	6.54014	-1.86627	-7.17903	0.404961	18.9432	-0.228554	7.55794	9.73123	1535.34	-57.5306	11.1372	-80.4138	-0.000207028	-50.6506
0.0127	0.333415	3.17757	0.265766	-3.49688	0.404961	23.8191	0.077137	-14.7417	9.73711	1535.67	-56.6112	11.9038	-80.1086	0.000250768	-50.052
