"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
0.0000	22.8731	6.05387	55.5951	0.00759898	17.2466	0.173948	10.6993	0.633147	-7.42924	-1774.88	-330.644	-234.372	4969.79	0.00154716	-78.7277
0.0007	-27.4736	5.1408	35.1481	0.311558	-14.4901	-0.130129	-0.591668	-0.282163	-7.44696	-1775.35	-330.333	-235.287	4969.02	0.00124197	-53.859
0.0013	-16.4893	4.22006	29.9492	0.00759898	-21.493	-0.740938	-7.64238	-0.894664	-7.46561	-1776.6	-330.8	-236.352	4967.8	0.00124197	-46.7002
0.0020	-13.1294	3.61391	25.6957	0.00759898	1.37824	-0.740938	-6.1139	-0.894664	-7.48426	-1776.9	-330.955	-236.668	4967.35	0.00124197	-57.9808
0.0027	18.6086	4.52697	12.8603	0.311558	14.8254	-0.435533	-6.70557	-0.591855	-7.50198	-1775.53	-329.918	-235.753	4968.41	0.00139452	-52.9518
0.0033	46.9868	5.44771	-2.68648	0.00759898	17.5446	-0.435533	-8.23405	0.0206461	-7.52063	-1774.29	-328.207	-233.757	4969.94	0.00154716	-53.2477
0.0040	29.903	5.1408	-14.303	0.311558	23.3555	-0.130129	-10.0584	0.0206461	-7.53928	-1772.92	-327.325	-232.243	4971.01	0.00185235	-53.5632
0.0047	-3.67003	4.22006	-17.9596	0.617417	35.5734	-0.130129	-13.1153	0.0206461	-7.55699	-1771.55	-327.429	-231.178	4971.92	0.0023101	-52.7941
0.0053	-16.7994	3.92082	-20.3973	0.617417	22.7595	0.173948	-13.1153	0.633147	-7.56912	-1771.26	-328.518	-230.862	4972.08	0.00200491	-52.9518
0.0060	11.8888	4.22006	-25.2728	0.311558	-20.3011	-0.130129	-7.00141	0.323456	-7.58777	-1771.85	-330.489	-231.012	4971.16	0.00154716	-53.7013
0.0067	41.1974	4.22006	-31.6905	0.00759898	-34.6422	-0.130129	-2.76112	-0.282163	-7.61201	-1772.03	-332.355	-231.328	4970.4	0.00169971	-53.7013
0.0073	33.2629	4.22006	-36.2674	-0.29826	-24.5475	-0.435533	-3.35279	-0.591855	-7.63066	-1772.44	-333.548	-231.478	4969.94	0.00169971	-53.7013
0.0080	14.3441	4.83389	-41.7648	0.00759898	-27.9	-0.435533	-1.82431	-0.591855	-7.64838	-1772.33	-334.015	-231.178	4970.25	0.00154716	-53.5632
0.0087	29.903	5.1408	-62.2118	0.311558	-28.8312	0.479352	-0.591668	-0.591855	-7.66143	-1771.67	-334.637	-230.713	4970.4	0.00139452	-53.4054
0.0093	49.1319	4.83389	-71.9628	0.00759898	-21.195	0.479352	0.936808	-0.591855	-7.67915	-1771.55	-335.104	-230.563	4970.7	0.00154716	-53.5632
0.0100	23.1832	3.30699	-49.9983	0.617417	-16.0173	0.479352	6.40974	-0.282163	-7.6978	-1771.08	-334.637	-229.947	4971.47	0.00169971	-53.5632
0.0107	13.4137	2.39392	-32.9093	0.311558	-13.8941	0.173948	11.291	-0.894664	-7.71552	-1770.78	-334.637	-229.498	4971.77	0.00154716	-53.5632
0.0113	42.102	2.70084	-1.79098	-0.604119	-12.3669	-0.435533	10.6993	-1.19747	-7.73417	-1770.6	-334.948	-229.947	4971.47	0.00108942	-54.1746
0.0120	49.4162	3.00008	47.9586	0.00759898	-4.09746	0.173948	9.17086	-0.894664	-7.74629	-1769.89	-334.171	-229.798	4971.47	0.00124197	-54.0168
0.0127	23.4934	2.70084	49.5008	0.617417	12.6649	0.173948	9.46669	-0.894664	-7.76494	-1769.89	-334.015	-229.798	4971.16	0.00154716	-53.5632
0.0133	-12.535	3.30699	36.0684	0.617417	20.897	-0.130129	8.87502	-0.591855	-7.78266	-1770.31	-333.859	-230.563	4970.4	0.00185235	-53.7013
0.0140	-8.55479	3.30699	53.4559	0.617417	6.89118	0.173948	8.87502	-0.591855	-7.80784	-1770.78	-333.548	-231.478	4969.63	0.00154716	-54.0168
0.0147	47.2969	2.39392	48.879	0.617417	-2.27223	0.479352	7.64238	-1.50716	-7.82555	-1771.26	-333.237	-232.842	4968.72	0.000936777	-54.0168
0.0153	82.9893	1.7801	22.9346	0.617417	11.4356	0.173948	2.12014	-1.19747	-7.83768	-1771.26	-332.355	-233.607	4968.72	0.00124197	-53.859
0.0160	67.1202	2.08701	19.5765	0.923276	23.9515	0.479352	-1.52848	-0.282163	-7.86285	-1770.6	-330.177	-233.607	4969.33	0.00169971	-53.5632
0.0167	38.7421	1.7801	20.7953	0.311558	23.6535	0.479352	-2.12014	-0.282163	-7.87498	-1770.19	-327.74	-233.607	4969.94	0.00139452	-53.859
0.0173	21.6584	1.7801	12.8603	0.00759898	17.5446	0.479352	-2.41598	-0.591855	-7.8871	-1770.19	-326.236	-234.372	4970.25	0.00124197	-54.6282
0.0180	15.2487	2.08701	9.50217	0.00759898	11.1376	0.479352	-1.52848	-0.591855	-7.91135	-1770.78	-325.614	-235.437	4969.48	0.00124197	-54.7859
0.0187	20.4436	1.7801	10.7459	-0.29826	10.2436	0.479352	2.12014	0.0206461	-7.93	-1770.78	-324.836	-236.202	4968.41	0.000784223	-54.4704
0.0193	28.6883	1.7801	14.0791	-0.604119	4.43271	0.784757	2.46528	0.0206461	-7.94771	-1770.31	-324.11	-236.352	4968.41	0.000479032	-54.6282
0.0200	31.1177	2.39392	7.68631	-0.604119	-17.5446	0.784757	-1.23264	0.0206461	-7.96636	-1770.31	-323.332	-236.518	4968.57	0.000936777	-54.924
0.0207	26.233	2.70084	-6.96494	0.00759898	-41.6451	-0.130129	-3.35279	0.323456	-7.98408	-1770.48	-322.866	-236.668	4967.96	0.00108942	-54.6282
0.0213	8.21881	2.08701	-3.60684	0.617417	-51.1065	-0.130129	-4.28959	0.323456	-8.00273	-1770.96	-323.177	-236.967	4967.5	0.00108942	-54.4704
0.0220	-6.40963	1.17394	3.70634	0.00759898	-40.1179	0.173948	-4.88126	0.935956	-8.02138	-1771.26	-323.488	-236.668	4967.35	0.00108942	-54.4704
0.0227	3.95433	0.867031	0.348247	0.00759898	-16.0173	-0.130129	-4.58543	0.935956	-8.0391	-1769.89	-322.71	-235.137	4968.41	0.00139452	-54.1746
0.0233	10.364	0.867031	5.84557	0.00759898	1.97423	-0.435533	-5.47293	0.0206461	-8.05775	-1767.75	-321.673	-233.158	4970.09	0.00154716	-53.859
0.0240	-8.24465	0.253204	14.9995	-0.29826	6.25794	-0.130129	-6.1139	-0.282163	-8.0764	-1766.68	-321.206	-231.627	4971.31	0.00169971	-53.7013
0.0247	-20.1593	-0.046037	7.38781	-0.29826	8.08317	-0.130129	-5.1771	0.0206461	-8.09412	-1765.91	-321.517	-230.862	4971.92	0.00185235	-53.859
0.0253	-12.8193	-0.046037	-9.10417	-0.29826	13.5961	-0.130129	-1.82431	-0.591855	-8.11277	-1765.91	-322.399	-231.012	4971.92	0.00154716	-53.859
0.0260	-10.0797	-0.966777	-19.1785	-0.29826	15.4213	-0.130129	4.58543	-0.282163	-8.13142	-1766.03	-323.799	-231.012	4971.47	0.00154716	-54.0168
0.0267	-24.734	-1.57293	-15.5219	-0.29826	6.25794	-0.130129	6.70557	0.0206461	-8.14913	-1765.91	-324.836	-230.713	4970.86	0.00169971	-54.0168
0.0273	-43.9629	-1.26602	6.14407	-0.29826	-1.04299	-0.130129	4.88126	-0.591855	-8.16778	-1766.03	-325.458	-230.713	4970.4	0.00169971	-54.1746
0.0280	-47.0126	-2.18676	22.9346	0.00759898	7.18918	-0.130129	3.64862	-0.282163	-8.1855	-1765.91	-325.77	-230.413	4970.4	0.00185235	-54.1746
0.0287	-34.1933	-3.09983	18.0591	0.00759898	19.0718	-0.435533	0.936808	-0.282163	-8.20415	-1765.91	-326.392	-230.247	4970.25	0.00169971	-54.1746
