"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
0.0000	0.166141	0.0582472	0.238327	-0.107789	-0.300396	-4.85014	0.171401	4.90675	0.0168658	-1854.22	-92.7714	-86.2113	4969.94	0.00198349	-66.5241
0.0007	0.166141	1.28144	-0.0663911	-1.64379	0.00417217	-4.55718	0.171401	-9.14904	0.0227321	-1853.04	-91.2367	-84.6898	4971.92	0.00259384	-57.0601
0.0013	-0.137776	1.58432	-0.67753	-2.56	-0.300396	-2.40879	0.171401	-3.01561	0.0227321	-1851.8	-89.7404	-83.7671	4973.14	0.00289902	-48.2271
0.0020	-0.443718	1.58432	-0.982248	-2.56	-0.604964	-0.292961	0.171401	3.06672	0.0227321	-1850.88	-88.9731	-83.3139	4973.3	0.00259384	-56.6066
0.0027	-0.137776	1.58432	-0.67753	-2.85642	0.00417217	-0.585923	0.171401	0.920016	0.0285985	-1851.01	-89.28	-83.4596	4972.53	0.00228867	-53.4125
0.0033	0.166141	1.58432	-0.0663911	-1.94021	0.615395	-1.2044	0.477735	5.52009	0.0227321	-1851.93	-89.8555	-83.929	4972.08	0.00213603	-53.7083
0.0040	0.472084	0.978552	0.238327	-0.40421	0.310826	0.325513	0.477735	8.28014	0.0227321	-1852.85	-90.3159	-84.5279	4971.62	0.00228867	-54.1618
0.0047	-0.443718	0.664018	-0.0663911	0.188631	0.615395	1.85542	0.477735	3.68006	0.0285985	-1853.3	-90.7763	-84.9973	4971.01	0.00228867	-54.0238
0.0053	-0.137776	0.0582472	0.238327	0.188631	0.919963	1.85542	0.171401	0.613344	0.0285985	-1853.5	-91.2367	-85.143	4970.86	0.00213603	-53.7083
0.0060	0.166141	-1.16494	0.238327	0.188631	0.310826	1.85542	0.477735	0.306672	0.0227321	-1853.96	-91.3902	-85.4505	4970.4	0.00198349	-54.1618
0.0067	-0.443718	-2.0736	-0.371109	0.512	0.00417217	3.05982	0.171401	-17.0714	0.0227321	-1854.09	-91.2367	-85.7581	4970.25	0.00183085	-54.635
0.0073	0.776	-1.77071	-0.371109	0.80842	0.00417217	3.97125	0.171401	-47.2786	0.0285985	-1852.72	-90.9298	-84.8354	4971.47	0.00167831	-54.4772
0.0080	1.38789	-2.0736	-0.0663911	0.80842	0.00417217	3.97125	0.477735	-45.4386	0.0285985	-1851.93	-90.3159	-83.7671	4972.53	0.00183085	-54.1618
0.0087	1.08194	-2.9939	-0.0663911	1.10484	-0.300396	3.38533	0.477735	-17.9914	0.0285985	-1851.8	-89.4335	-83.4596	4973.14	0.00228867	-53.7083
0.0093	0.776	-3.29679	-0.0663911	1.72463	0.310826	2.14838	0.171401	-4.24229	0.0285985	-1850.88	-88.6661	-82.8606	4973.3	0.00259384	-53.5506
0.0100	0.776	-3.59967	0.543045	1.72463	0.615395	1.23695	0.171401	-6.69567	0.0227321	-1851.34	-89.587	-83.6214	4972.23	0.00228867	-53.7083
0.0107	1.08194	-4.21709	0.543045	1.72463	0.00417217	1.85542	0.171401	-12.1647	0.0285985	-1853.04	-91.3902	-85.4505	4970.25	0.00167831	-54.1618
0.0113	0.776	-4.21709	0.238327	1.72463	-0.300396	2.4739	0.784068	-13.3913	0.0168658	-1853.96	-92.1575	-86.0656	4969.33	0.00198349	-54.4772
0.0120	1.08194	-4.82286	0.543045	2.02105	0.00417217	1.52991	1.08676	-17.6847	0.0227321	-1853.96	-91.8506	-85.7581	4969.79	0.00228867	-54.0238
0.0127	1.38789	-4.82286	0.543045	2.34442	0.00417217	-0.585923	0.784068	-25.9138	0.0285985	-1854.55	-92.311	-86.357	4969.94	0.00167831	-54.1618
0.0133	1.38789	-4.21709	0.238327	2.34442	-0.300396	-1.2044	0.477735	-26.5271	0.0285985	-1854.68	-92.6179	-86.6646	4970.09	0.0012205	-54.3195
0.0140	1.08194	-3.59967	-0.0663911	2.34442	0.00417217	-0.585923	0.171401	-21.9782	0.0285985	-1853.3	-91.5437	-85.4505	4970.86	0.00198349	-53.4125
0.0147	0.776	-2.69102	-0.371109	2.02105	0.00417217	-0.585923	-0.134933	-19.2181	0.0285985	-1853.04	-91.0833	-84.9973	4971.16	0.00228867	-53.2548
0.0153	0.166141	-2.0736	-0.67753	2.02105	-0.300396	-0.292961	-0.743953	-14.0047	0.0285985	-1853.5	-91.0833	-85.143	4971.01	0.00213603	-53.7083
0.0160	0.166141	-1.46783	-0.371109	2.02105	-0.300396	0.943986	-0.743953	-7.92236	0.0285985	-1853.63	-91.2367	-85.143	4970.86	0.0024412	-53.866
0.0167	-0.137776	-0.547523	-0.0663911	1.10484	0.00417217	-0.292961	-0.134933	-6.08233	0.0227321	-1854.22	-92.4645	-86.0656	4970.09	0.00198349	-54.4772
