Joint_angle	INT_16_STR_PRE_L	INT_20_STR_PRE_L	INT_16_CON_PRE_R	INT_20_CON_PRE_R	INT_16_STR_POST_L	INT_20_STR_POST_L	INT_16_CON_POST_R	INT_20_CON_POST_R
0	332.526633562572	353.478273765248	294.564271106044	302.714355165998	305.438162127781	558.175082720302	319.587985738614	485.994513701378
0.5	339.637278345491	357.708872131589	297.755177871747	306.270208964722	310.143853601548	584.344288756678	323.306935768003	494.493142519307
1	346.950191602785	362.171737379002	301.151277350374	310.034636672877	314.554269392924	606.435768207002	326.921111052918	502.663790309215
1.5	354.398063828345	366.964256759188	304.81377931351	314.015042461485	318.584786868068	626.47002544302	330.407578449387	510.468655585127
2	361.848493137594	372.098571409302	308.793383994335	318.19373130264	322.241627100953	644.819814052958	333.736735511148	517.881027137882
2.5	369.399613603694	377.459052107741	313.041592472788	322.615515511212	325.801777776679	661.586678011272	336.979361522964	524.918710168228
3	377.213150675801	382.919552692047	317.521042821076	327.278857960691	329.361347354717	677.464015178507	340.209381780954	531.692552454412
3.5	385.371109478747	388.447040320884	322.219030219903	332.273637472459	333.079869486779	693.163561032383	343.493021356887	538.349263809181
4	394.040697460683	394.120925872367	327.130361936647	337.615486648549	336.898176080988	708.876016147872	346.879075439656	544.994435284405
4.5	403.087927183199	400.020759496534	332.251564297763	343.342635086763	340.763542184255	724.4800629954	350.371225749836	551.741746987487
5	412.323866948794	406.20243479796	337.614681947782	349.395721531718	344.646417396192	739.975244366992	353.971285324512	558.5354428655
5.5	421.448890711705	412.697783051101	343.211711574035	355.7033856557	348.629074203488	755.402764621495	357.602965291095	565.306054522347
6	430.347344022055	419.369374259432	349.046970480073	362.182714369889	352.778241755462	771.199111412051	361.265110354324	571.986482284799
6.5	438.950166028978	426.039289478404	355.140857430718	368.700900235699	357.189486879108	787.364596514511	364.945043371028	578.571644502725
