Joint_angle	INT_1_STR_PRE_L	INT_2_STR_PRE_R	INT_3_STR_PRE_R	INT_4_STR_PRE_R	INT_5_STR_PRE_R	INT_6_STR_PRE_R	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_9_STR_PRE_R	INT_10_STR_PRE_R	INT_11_STR_PRE_R	INT_13_STR_PRE_L	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_18_STR_PRE_R	INT_19_STR_PRE_R	INT_20_STR_PRE_L	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_1_CON_PRE_R	INT_2_CON_PRE_L	INT_3_CON_PRE_L	INT_4_CON_PRE_L	INT_5_CON_PRE_L	INT_6_CON_PRE_L	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_9_CON_PRE_L	INT_10_CON_PRE_L	INT_11_CON_PRE_L	INT_13_CON_PRE_R	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_18_CON_PRE_L	INT_19_CON_PRE_L	INT_20_CON_PRE_R	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_1_STR_POST_L	INT_2_STR_POST_R	INT_3_STR_POST_R	INT_4_STR_POST_R	INT_5_STR_POST_R	INT_6_STR_POST_R	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_9_STR_POST_R	INT_10_STR_POST_R	INT_11_STR_POST_R	INT_13_STR_POST_L	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_18_STR_POST_R	INT_19_STR_POST_R	INT_20_STR_POST_L	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_1_CON_POST_R	INT_2_CON_POST_L	INT_3_CON_POST_L	INT_4_CON_POST_L	INT_5_CON_POST_L	INT_6_CON_POST_L	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_9_CON_POST_L	INT_10_CON_POST_L	INT_11_CON_POST_L	INT_13_CON_POST_R	INT_15_CON_POST_L	INT_16_CON_POST_R	INT_18_CON_POST_L	INT_19_CON_POST_L	INT_20_CON_POST_R	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L	INT_30_CON_POST_R	INT_31_CON_POST_L
0	4.08604459868987	4.15600769204419	12.122936873951	14.1714431034951	3.62480042614849	9.22826046044138	-0.716774448192695	3.70171128210015	12.433417433001	18.7202293602884	12.7880877176288	-3.0151500275775	7.3940075517282	-6.25287263514889	10.4834231760147	5.92286347408482	-2.80714457835407	15.0445395085595	14.5270973905318	8.63920850148813	11.2119452877105	-1.80001770758264	-2.61898436513706	16.5175427935847	9.83811470005585	12.435472446553	10.5380209213251	15.5460176218508	18.4233819352118	11.6398432342809	8.12138062473533	4.57607182944374	3.84650145133016	10.7128905920764	14.0542071397347	12.8393008209974	7.43541459722515	5.846994541636	-8.56727787582346	14.2725660191472	2.51467442613778	9.54055963380522	24.6537230148116	11.6072688367191	11.1208102444494	7.90764506510341	2.39325231284808	3.06202399710799	5.95098705030818	19.5735806773308	3.85649034011079	4.35312328517623	6.68527684671256	17.4646817691188	6.20433356303655	6.05605611592483	5.65463298717827	12.8479591841675	9.88822834395584	2.81375854763193	0.80766248912569	1.14644254592477	9.33195902833817	NaN	14.5928321195077	0.20182489703658	-5.65729625903236	NaN	12.908669972695	0.113814433831074	6.81278059921362	-9.60879744886815	1.79952440979815	13.9982975986717	7.96022343511618	11.418705087277	7.59611774720963	0.0515530370410886	16.7111078035633	6.73955213378671	9.62097922624378	9.06975238512548	10.6734840195238	8.59643271569817	6.02581012430267	8.48243311242575	-1.35957649300867	9.10367658437629	NaN	18.0417615331851	14.1964295858979	NaN	21.0122583543925	14.2211134228007	6.50129338649228	5.71794295100379	-0.0426154069219464	2.46517504167667	12.5527454424117	17.3880173326534
0.5	4.12275398943795	4.25733520685331	12.237516385013	14.7891643865769	3.75665208208298	9.44527798018777	-0.619164197064386	3.74712314614018	12.48008385403	18.8126781059328	12.8955225813536	-2.85306539872538	7.52948598618058	-6.01677850459257	10.6220842268523	5.99984024895817	-2.58648129003139	15.2303139220755	14.6985826960387	8.83708791570274	11.5043709618952	-1.68684932222324	-2.53291356352117	16.7978465872423	10.1521220589712	12.6539460864716	10.7037449731917	15.6777710346795	18.6431435247538	11.8768641733871	8.37220770875596	4.70858805553316	3.96818381100805	10.9823383597429	14.3558814441772	13.057968957243	7.64212868318168	6.06911189337269	-8.38629308418612	14.6354469649772	2.82465857118383	9.65017262276507	24.9465287351548	11.8864200943458	11.3069358661249	7.84006766998575	2.68728818151394	3.2431653283281	6.08436251477334	19.8137176307639	3.83956578296775	4.5400400017496	6.88007765854467	17.5880060911268	6.33764488807824	6.22421798310954	5.69418544800477	12.8648577716956	9.94721897177538	2.87674374404406	0.836392767910972	1.42664841191068	9.3795526682603	NaN	14.5638410404078	0.250475985214564	-5.51141962396615	NaN	12.9142136395481	0.253553550780588	6.97896951439086	-9.35701312273893	1.88718343595818	14.1967861797892	8.27923544061177	11.6432706305301	7.95448528611384	0.235824866506697	16.9663324302709	6.9193885576734	9.82256797772638	9.2393390533218	10.946073433391	8.84750367861412	6.19189209676669	8.61677936292335	-1.25161470675096	9.35800095488319	NaN	18.2651953715923	14.4793668333114	NaN	21.261974958993	14.5000330202762	6.76000469791276	5.95871120476711	0.223637635721254	2.70435686579974	12.8298531225143	17.6336679886416
1	4.13149199844897	4.36663904607187	12.3600653734672	15.6138379192516	3.85081096747995	9.54660064270781	-0.519683453209488	3.77678572258888	12.6098678790998	18.8561142554814	13.0244379078695	-2.63796303790991	7.6478772663177	-5.78990326138472	10.8007725327087	6.06290957943547	-2.39532359081789	15.430673192873	14.8192547907678	8.93811971683244	11.4811604278752	-1.63728889365355	-2.38687689172785	17.1228837690561	10.4955078891413	12.9003118935115	10.8776528854369	15.768683181722	18.9088024176318	12.100851347627	8.64743982852796	4.86774771617086	4.11036178286725	11.1964782810645	14.6521529578803	13.2416667118157	7.84750731786353	6.35043033851303	-8.21381504526992	14.984347161713	3.05673322133676	9.72127960801108	25.1838732178988	12.0843647792628	11.4610433391993	8.04983577818452	2.85829000711426	3.40877440372191	6.21646307157437	20.1167267986593	3.8171964335751	4.6687407872526	7.14542514094242	17.6921882512998	6.35604376242066	6.47928485361158	5.6867860257073	13.0027847465636	10.1297329055722	2.9463620558404	0.859013820335683	1.581458886608	9.41953305979413	NaN	14.5545445708026	0.293952356575318	-5.39356088169903	NaN	13.1373641405396	0.396349954914669	7.28638228476815	-9.27966155092287	2.0121457777906	14.3279703428725	8.58804450734755	11.9027260718984	8.32511423713514	0.363986263214343	17.193191412021	7.08752533832337	9.98616252231622	9.44537957201337	11.1642247434572	9.17665782039234	6.39892737605172	8.73720950812417	-1.1381653181207	9.59350051102813	NaN	18.460880725107	14.7420098428231	NaN	21.4964264391171	14.6032818358528	7.07520679613354	6.08443474736203	0.487489677826623	2.95045987090487	13.0392188116662	17.8745048097797
1.5	4.16936603774143	4.46693728205833	12.4303490439466	16.3983506265718	3.95521094436612	9.66067447836335	-0.429374051210409	3.82693654949017	12.7654383975437	18.9557239998425	13.1418070774469	-2.49549969779125	7.78828556270182	-5.46937118962879	11.0411985712693	6.14852785480335	-2.20736240317402	15.651671912319	14.9865388933105	9.0590186150616	11.5541226977617	-1.5344940882248	-2.25717585966996	17.4343860746945	10.7710887228131	13.0495598836881	11.1035820548985	15.953401453972	19.1809162666763	12.2941477910529	8.87143084566316	5.01089718777835	4.22131029935151	11.4542976383312	14.9094204868249	13.4266735060426	8.04748561264469	6.65054838879384	-8.04404618182414	15.3335553912545	3.29888395788227	9.81727670000483	25.2636330833944	12.3465866925762	11.6165200171213	7.93418107918968	2.98096300087288	3.54463646302529	6.35504324912917	20.4119402330426	3.8691801181503	4.62292291771372	7.32766769112322	17.8168175985862	6.53526532608058	6.69710063404268	5.69950149822899	13.1074289156824	10.2362456972565	3.05977548333065	0.945872928428429	1.85734101547585	9.5435728108603	NaN	14.573673505806	0.353246952113153	-5.2198086013678	NaN	13.2593188193418	0.559743881292078	7.54118518695351	-9.21335768959487	2.22174634648528	14.4811693344673	8.9047908941056	12.1733585096218	8.61901054098713	0.475475302057788	17.3712818286652	7.21766944348006	10.161235473047	9.62455561338542	11.3941407567026	9.45616142481835	6.5457029978198	8.73915185896898	-1.038889815909	9.83022063260584	NaN	18.599001965008	14.9403002317799	NaN	21.5575100369354	14.5641909473618	7.36487247476265	6.02530743417932	0.731321295861434	3.21563539011196	13.255603488462	18.1407487476468
2	4.15990940150514	4.5887983727515	12.5243136540799	16.9278429667769	4.0372795226019	9.76463812685817	-0.314283694928008	3.83784683555433	12.8728415665449	19.0987029993637	13.2651107417831	-2.37832427729808	7.9185845922911	-5.25001873030887	11.2965180772311	6.17833659296432	-2.0352842326405	15.9023364979929	15.1854561735536	9.24590898107314	11.6928396341409	-1.45266082485892	-2.16419828342359	17.6945015323612	11.0703478705957	13.2882015094069	11.3075403840656	16.051261208955	19.4014954566403	12.5125994058752	9.12320436920568	5.17620783044363	4.35777824880292	11.6642042851703	15.1078415741586	13.5885114330752	8.28287390261075	6.89369323847929	-7.82166305700164	15.6613938515564	3.50769593264081	9.85961461655705	25.5091209430525	12.5436339821369	11.7988850243156	7.9199128374815	3.10285293162674	3.68059019954698	6.45297820417733	20.6391590116014	3.88688472174962	4.64874933359927	7.53808538203601	17.9408828876126	6.6585433529981	6.77595697568676	5.77272323989539	13.2074258532384	10.285542890692	3.1547545816199	0.967211242137594	2.06188475756022	9.6590807547877	NaN	14.620718731912	0.393617076516875	-5.02901191605574	NaN	13.3382187997101	0.719289724365005	7.76799538835775	-9.1016772826117	2.27242959333636	14.691454981101	9.18764590286173	12.397861458289	9.02282403952692	0.614875423963923	17.6869339163836	7.35325970905454	10.3614097360691	9.79037310759556	11.6324466837095	9.83325177831247	6.71384414394606	8.82724479191537	-0.917183092544278	10.0811773446329	NaN	18.8270029128348	15.1393039147029	NaN	21.8033799271699	14.6758408012282	7.61762513865612	6.00354199769021	0.91920064745441	3.46648677586983	13.4991518140249	18.3991185820719
2.5	4.2763001070761	4.71578153285039	12.680652434052	17.276252421693	4.13452100969513	9.92766381708326	-0.226903231948263	3.88642276451132	13.0218942038276	19.2712171270165	13.3733275269802	-2.21251251744148	8.03149210372945	-4.97084086626322	11.5185306643503	6.21786211677336	-1.88599737299098	16.2218503746073	15.4004103531165	9.39941461199903	11.7055944038567	-1.38430181466388	-2.05549718140976	17.9558484832542	11.3649076208018	13.5498774919268	11.5663304411807	16.1366806959097	19.6491892493121	12.6876057248425	9.40138484277996	5.33296767803591	4.47721441385018	11.869132046489	15.369857976898	13.7415725739479	8.42389181274537	7.17243524123923	-7.62332889367305	15.9931046811762	3.75758220140332	9.94786033146367	25.658414123459	12.7281614140352	11.9826221774548	8.14209188279185	3.29347604268921	3.82720857762238	6.60362671675978	20.8868320599087	3.96651001206465	4.73807004370028	7.67150057584743	18.0554240606766	6.73318998176843	6.87591760217629	5.83480585656035	13.2289303361092	10.3550015005896	3.22002618432531	1.08056382357903	2.13549153849665	9.72333690487037	NaN	14.7012841788826	0.496936231906474	-4.86090893846063	NaN	13.5166595446975	0.858015382657918	7.99719636330026	-8.98974516502928	2.24736826789623	14.8763305969254	9.45810012917354	12.6439993335592	9.36212825129411	0.774945835565113	18.0166415707171	7.46172721861026	10.6089049700722	9.95463391449083	11.9194768538067	10.1516718317826	6.89941904410792	8.90560439261021	-0.801712408439613	10.2956000461048	NaN	19.1437504451756	15.3300598798459	NaN	21.9469495482324	14.7851263555874	7.89129418775741	6.19459517910812	1.1391477106365	3.65616038533098	13.7707971831954	18.5792606699826
3	4.42167074005473	4.87497119646294	12.8578490334884	18.6185028551779	4.20898412033885	10.0775900066576	-0.102746807703888	3.98585145258001	13.1908493222555	19.5308566496263	13.4894874845721	-2.0123060445445	8.15007604370051	-4.85069266313354	11.7332505395742	6.28510318160011	-1.70882896487259	16.3395902064208	15.5567513140928	9.57080030600159	11.9001705665225	-1.25546410494196	-1.94707728930192	18.2561394664871	11.6699342245404	13.8189025935127	11.759470054472	16.2822183736778	19.8964526525667	12.8483865727896	9.66543160586724	5.49134538427609	4.61799868181075	12.0592644262986	15.6296984064396	13.8830581083587	8.64283342832725	7.43349838676711	-7.48117772918377	16.3807549960924	3.97059631734817	10.0241705552281	25.875891381064	12.9408409849393	12.2081843563108	8.29853464066272	3.51674421361322	3.97065304434192	6.75490650793172	21.1745040744546	4.04457534566966	4.7599783955507	7.83351145985735	18.1430085983176	6.88189374248924	7.03612396196699	5.85803331963566	13.3278274356506	10.418404386849	3.29150633902347	1.13546652419258	2.17310293078208	9.81609594136128	NaN	14.6448312246041	0.634106667967046	-4.68559482779787	NaN	13.686260551667	1.03116729023444	8.0303119386334	-8.83599910413115	2.28906195301894	15.0834023236997	9.72456211593352	12.9034857002899	9.62660909163195	0.998345167331208	18.3205154779891	7.57206436642409	10.9347657982823	10.1704620635736	12.1787247153593	10.4540954025673	7.05366648215743	9.0150018036287	-0.763478769901582	10.4819563026386	NaN	19.3861758715962	15.4619036852797	NaN	22.0587822321391	14.8555610061591	8.14447136158373	6.21904050535603	1.38344150384346	3.93365398225063	14.0097033168702	18.7803868054092
3.5	4.57436386803172	5.01416224394492	13.041204778021	19.7626433384791	4.29726268794457	10.2903157605899	0.0412499154077322	4.05306002155566	13.4006571913717	19.5881404148821	13.5975208077115	-1.86352497295897	8.2811674448033	-4.7407253371942	11.9616380922805	6.34025350249703	-1.53698363926004	16.2655409293192	15.7366249219819	9.75708876758012	11.9810938564422	-1.13438146421466	-1.80153798037028	18.5245748482008	11.9156208156384	13.9638393044767	12.0088110023146	16.4502741236502	20.1082862569199	13.0359113696942	9.92891128095715	5.60137623546746	4.75930243749297	12.3005806106705	15.8697541906391	14.0517495899033	8.84559453027479	7.71988047100945	-7.30540182721226	16.8473908312144	4.19080905402284	10.1082247438315	25.9407271224231	13.1149683833006	12.3983118206704	8.60158615062621	3.74836840116441	4.09905257539031	6.84627385968046	21.4591274898827	4.07348514699158	4.76656905470517	8.08674214671294	18.2428207705173	7.03044645540339	7.12198806252943	5.85437427886983	13.3777326109852	10.5107313841649	3.36471292509667	1.2274657354418	2.44202871430292	9.89996316668576	NaN	14.6280130943062	0.663185520098999	-4.48532322393534	NaN	13.9922526755403	1.1685571524194	8.22953093116477	-8.65992879739077	2.28302186271588	15.2503969832473	9.99534979519436	13.2287231483487	9.98123457451958	1.25284579427937	18.6491868035334	7.71487582213927	11.0407740936288	10.3552301251214	12.4314176395361	10.7378875116869	7.25993537557635	9.14614098790955	-0.675936535466846	10.7411036106136	NaN	19.504348523115	15.665570415745	NaN	22.1825473584367	15.0003818460932	8.38095798918567	6.35168732832022	1.62532775956603	4.15541666557858	14.1978955836262	19.0358270465058
4	4.66012390784369	5.18082113807598	13.2912448752097	20.2179594479971	4.40825651559044	10.4370498467185	0.13186263178175	4.10630995842754	13.601126675439	19.7199216693642	13.7286569256624	-1.74848001710286	8.41921322563434	-4.22060468497249	12.192092010187	6.40865870627265	-1.35368376434369	16.2683165383261	15.8571511928794	9.9143970492599	12.0325056190039	-1.04583653250869	-1.67689588225365	18.7629539500079	12.1609874940147	14.2445801414243	12.3096448819728	16.6136792358285	20.3507200482679	13.1994572741313	10.1978124470314	5.7028520245463	4.90214993425324	12.6158468186099	16.0953991890251	14.2706192103826	9.05748508270558	8.00742036883064	-7.09482494702885	17.2659486243363	4.44145117827771	10.2057736062664	26.0835166146859	13.305053135694	12.5845679422777	8.71157617366439	3.96069537831497	4.26342001055446	6.93546203507576	21.772942720319	4.1842752011544	4.83664952041483	8.26780717808149	18.3890674021786	7.22246416405821	7.26083827002843	5.89263526219104	13.582845964771	10.6552507213047	3.49475899559137	1.32006031986533	2.53017470578619	9.98989769187284	NaN	14.54227055332	0.745150395628457	-4.22942352460174	NaN	14.0614322286922	1.33560236611899	8.19980591320658	-8.50289642337947	2.37663814058408	15.4274209704945	10.2245088084708	13.5299765871349	10.3088473542209	1.49290481844996	18.8565501768146	7.83199968764573	11.142393609114	10.5371279423924	12.6418795836163	11.034445354877	7.54883931315815	9.30824322195485	-0.55257942072592	10.9676588994647	NaN	19.5264865228673	15.8691940390861	NaN	22.2416659649753	15.0880438776811	8.64615119627125	6.7076123402941	1.94384625324594	4.36268077861677	14.4118782671581	19.2460205475459
4.5	4.76424397378218	5.3322838332607	13.5338627639755	20.4343537336206	4.50981808883758	10.5096635960731	0.235933607695543	4.18829451604335	13.6711831913537	19.7709812046063	13.8720568628749	-1.72432467475804	8.56850859299718	-3.77163637442155	12.4745884316969	6.48636373119128	-1.14927765155297	16.3689349182725	15.9925624379157	10.0072265869568	12.2454065524461	-0.906657277438185	-1.53723960507103	18.9894672388901	12.4220409060682	14.4861069400266	12.6347408673223	16.7175406231514	20.5145194290593	13.3612372397935	10.483307783754	5.82214836563536	5.03200831880475	12.9079737100898	16.303890673169	14.4848523908929	9.34932010937155	8.33284791907186	-6.92788637748804	17.6458577160846	4.70547151983531	10.3182531128896	26.1511204884227	13.4927635066782	12.8328858741021	8.83124804294124	4.19526044119289	4.43633542650227	7.06450642974646	22.0587954569557	4.25688777298213	4.906719732041	8.47989747447975	18.5063689674291	7.4320881430091	7.3663245183216	5.98376489023065	13.6557085547313	10.7935859727426	3.59878350733626	1.40988823187886	2.5478753368504	10.0366909309335	NaN	14.528925429878	0.839781723932767	-3.97539861691078	NaN	13.977277310324	1.51442765600735	8.19180037479085	-8.35657661133992	2.47815530386074	15.5842783868365	10.4852907096857	13.7870612549427	10.6137660758962	1.68422937118185	19.1951125147902	7.95196211513473	11.3122666405143	10.701556464509	12.8468410276312	11.3223838574366	7.68946646591113	9.4360518911128	-0.492973110818113	11.1630847352258	NaN	19.6018580193762	16.1044877128658	NaN	22.3848611558857	15.2974440063302	8.92346869213358	6.86829939973994	2.24459412739456	4.61908941042456	14.6238850162863	19.4424093774465
