Joint_angle	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L	INT_30_CON_POST_R	INT_31_CON_POST_L
0	71.8623264863671	61.4221697003581	60.1065576593086	52.4748714172333	46.4545371487768	48.3801393816668	66.2567285808159	62.4232450639931	81.9247321126683	56.6328883770063	61.2522226597667	51.6196581756722	45.7726658548163	51.0893492499815	56.5991220775333	70.1995526408057	77.5867949350245	60.8449951409277	56.2400033787123	46.7049775522297	39.9159693616027	54.3768182163908	58.177643676863	56.6329687972075	80.1038772885199	62.8206679452788	63.4092452819447	54.3822099090916	45.7273419195546	50.8641251058848	61.9778355680649	62.630409392337
0.5	72.0481008998831	61.5936550058651	60.3044370735233	52.5947380961154	46.5677055341362	48.4662101832827	66.5370323744735	62.7372524229085	82.2175378330115	56.912039634633	61.4383482814421	51.6167243782986	46.0667017234821	51.2704905812016	56.7324975419985	70.4396895942388	77.5441616307332	61.1889390339377	56.3797424956618	46.7209780842362	40.1677536877319	54.4644772425509	58.3761322579805	56.951980802703	80.3535938931203	63.0995875427543	63.6679565933652	54.5391539694134	45.9935949621978	51.1033069300078	62.2549432481675	62.8760600483253
1	72.2484601706806	61.7143271005941	60.405468874653	52.7020688763061	46.6172659627059	48.612246855076	66.8620695562873	63.0806382530785	82.4548823157555	57.10998431955	61.5924557545166	51.7482616471875	46.2377035490824	51.4360996565955	56.8645980987995	70.7426987621342	77.442460658153	61.4942882290198	56.5225388997959	46.8734945896518	40.245105259548	54.5894395843833	58.5073164210638	57.2607898694388	80.5880453732444	63.2028363583309	63.9831586915859	54.679219574214	46.2574470043032	51.3494099351129	62.4643089373194	63.1168968694633
1.5	72.4694588901266	61.8816112031368	60.5263677728821	52.7986987425825	46.7200607681346	48.7419478871339	67.1735718619257	63.3562190867504	82.5346421812511	57.3722062328633	61.7479324324385	51.734718327065	46.3603765428411	51.5719617158988	57.0031782763543	71.0379121965175	77.3158253710635	61.7495929217909	56.6859328261733	47.027920210964	40.311409120876	54.799040153078	58.6605154126586	57.5775362561969	80.6491289710627	63.16374546984	64.2728243702151	54.7181371503376	46.501278622338	51.61458545432	62.6806936141152	63.3831408073304
2	72.7201234758005	62.08052848338	60.7132581388937	52.9309726811927	46.8018940315005	48.8349254633803	67.4336873195924	63.655478234533	82.7801300409092	57.5692535224241	61.9302974396328	51.7884978182624	46.4822664735949	51.7079154524205	57.1011132314025	71.2651309750763	77.3235646000633	61.9454048342142	56.8454786692462	47.1933995336526	40.4230895278591	54.849723399929	58.8708010592923	57.860391264953	80.8949988612973	63.2753953237064	64.5255770341085	54.7163475722049	46.689157973931	51.8654368400779	62.9242419396781	63.6415106417555
2.5	73.0396373524149	62.2954826629429	60.8667637698195	53.068540152496	46.8702530416955	48.9436265653941	67.6950342704854	63.9500379847391	82.9294232213157	57.7537809543224	62.114034592772	51.996213747235	46.6728895846574	51.8545338304959	57.2517617439849	71.5128040233836	77.0068525885961	62.2167523195307	56.9842043275391	47.3637883670048	40.5350216454415	54.8246620744889	59.0556766751167	58.1308454912648	81.0385684823597	63.3846808780655	64.7992460832098	54.9168853162307	46.9091050371131	52.0551104495391	63.1958873088486	63.8216527296662
3	73.1573771842283	62.4518236239191	61.0381494638221	53.2277077345489	46.9990907514175	49.0520464575019	67.9953252537183	64.2550645884777	83.1469004789207	57.9664605252265	62.339596771628	52.1367940099057	46.8961577555814	51.9979782972155	57.4030415351568	71.8004760379295	76.9815922240374	62.5421784334767	57.1573562351157	47.4157889521341	40.6887677063397	54.8663557596116	59.262748401891	58.3973074780248	81.1504011662665	63.4551155286372	65.0524232570361	55.0455527420621	47.15339883032	52.3326040464587	63.4347934425234	64.0227788650928
3.5	73.0833279071268	62.6316972318082	61.2244379254006	53.416531210793	47.1201733921448	49.1975857664336	68.2637606354321	64.5007511795757	83.2117362202797	58.1405879235878	62.5297242359876	52.3828046531012	47.1277819431326	52.1263778282638	57.4944088869056	72.0850994533576	76.5081280740537	62.8383580779097	57.2947460973006	47.5604979439868	40.8648380130801	54.8603156693086	59.4297430614385	58.6680951572856	81.2741662925641	63.5999363685713	65.2889098846381	55.1532313485668	47.3952850860426	52.5543667297867	63.6229857092794	64.2782191061894
4	73.0861035161336	62.7522235027057	61.3817462070804	53.5608751064084	47.2087183238507	49.3222278645502	68.5021397372391	64.746117857952	83.3545257125426	58.3306726759811	62.7159803575949	52.4999249155625	47.3401089202832	52.290745263428	57.5835970623009	72.3989146837938	76.1085913506169	62.9048464837391	57.4617913110002	47.582080301454	41.0218703870914	54.9539319471768	59.6067670486858	58.8972541705621	81.3332848991026	63.6875984001592	65.5541030917237	55.416063789996	47.7138035797225	52.7616308428249	63.8369683928113	64.4884126072295
4.5	73.1867218960801	62.887634747742	61.4745757447773	53.6932823710948	47.3478975789212	49.4618841417328	68.7286530261213	65.0071712700055	83.4221295862794	58.5183830469654	62.9642982894194	52.7090084309067	47.5746739831611	52.4636606793758	57.7126414569716	72.6847674204306	75.5624498477994	62.8325139905165	57.6406166008886	47.7017737407591	41.1681901991309	55.0554491104534	59.7636244650278	59.158036071777	81.4764800900131	63.8969985288083	65.831420587586	55.6197792951103	48.0145514538711	53.0180394746326	64.0489751419395	64.6848014371301
