Joint_angle	INT_16_STR_PRE_L	INT_20_STR_PRE_L	INT_16_CON_PRE_R	INT_20_CON_PRE_R	INT_16_STR_POST_L	INT_20_STR_POST_L	INT_16_CON_POST_R	INT_20_CON_POST_R
0	-8.4118899034734	-3.48893549696039	-10.5041983826493	8.31426461821836	NaN	-7.37868438864713	NaN	-7.1430381723036
0.5	-8.19935288940885	-3.2857656892785	-10.3327114117453	8.41482037422701	NaN	-7.26106467766385	NaN	-7.00212366814655
1	-7.98245024868806	-3.10532474272279	-10.1934289602659	8.48953812508686	NaN	-7.13782826877237	NaN	-6.90955059241503
1.5	-7.66633417417095	-2.92001137872899	-10.0461919583285	8.57643839912291	NaN	-6.96129050837617	NaN	-6.80546624493559
2	-7.45626882882647	-2.73865171604471	-9.83911415527275	8.61451198906568	NaN	-6.74591531857895	NaN	-6.68841589858766
2.5	-7.1967275731453	-2.60119962676198	-9.65442918606094	8.70641252712118	NaN	-6.56353413471248	NaN	-6.61559433092334
3	-7.08914493365368	-2.41602875471531	-9.5289172548734	8.7880495475714	NaN	-6.37668880473173	NaN	-6.47457912853613
3.5	-6.9858942936084	-2.23482147695113	-9.36952205549321	8.87184189249527	NaN	-6.18064784389907	NaN	-6.26942612657388
4	-6.46661139963807	-2.08239900507108	-9.18482228210086	8.96684647322761	NaN	-5.91637639977584	NaN	-6.08952921115694
4.5	-6.02521266802708	-1.90543166190741	-9.03411843825756	9.09019408254228	NaN	-5.64229877192595	NaN	-5.93709203979137
5	-5.81375718493646	-1.75932251206856	-8.89669462553962	9.13328403854278	NaN	-5.39213062918458	NaN	-5.78758842141131
5.5	-5.58427193020349	-1.57594290991671	-8.77596694272348	9.19800233582998	NaN	-5.16616469779657	NaN	-5.62288989884688
6	-5.51528589235448	-1.41344852420425	-8.61243367233427	9.31953770721223	NaN	-4.96719927963245	NaN	-5.46828701330066
6.5	-5.4389920749503	-1.20017636688058	-8.44735152783647	9.3590903810286	NaN	-4.76861189886628	NaN	-5.33255345615266
