Joint_angle	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_15_CON_POST_L	INT_16_CON_POST_R
0	4.77347715904084	-8.41769779584897	3.64182137233499	-10.5053963928681	7.26485333301558	NaN	6.04309750142345	NaN
0.5	4.89807884903306	-8.19935288940885	3.85421934558913	-10.3327114117453	7.30558177813954	NaN	6.29552941267333	NaN
1	5.00707474273204	-7.98245024868806	4.1218939227285	-10.1934289602659	7.33886366309618	NaN	6.51761784974538	NaN
1.5	5.14134736321056	-7.66633417417095	4.41269421294737	-10.0461919583285	7.44117314138855	NaN	6.74727750945087	NaN
2	5.266753213781	-7.45626882882647	4.64386776387165	-9.83911415527275	7.54268552894297	NaN	6.99982472275209	NaN
2.5	5.37180985708022	-7.1967275731453	4.90995053245567	-9.65442918606094	7.5987399431957	NaN	7.21708164375293	NaN
3	5.4822933246739	-7.08914493365368	5.16522943102225	-9.5289172548734	7.68412857169302	NaN	7.39942212935046	NaN
3.5	5.60498893974998	-6.9858942936084	5.43796789927632	-9.36952205549321	7.74969199204259	NaN	7.65564284932132	NaN
4	5.735934828582	-6.46661139963807	5.71195045269728	-9.18482228210086	7.83435721306726	NaN	7.89613997859867	NaN
4.5	5.87971744197935	-6.02521266802708	6.02532234307722	-9.03411843825756	7.88113943974325	NaN	8.0966312570244	NaN
5	6.03077006353818	-5.81375718493646	6.34205536853788	-8.89669462553962	7.92663570042895	NaN	8.26775579889389	NaN
5.5	6.17540850541468	-5.58427193020349	6.59496024110155	-8.77596694272348	7.91019725083524	NaN	8.47574496152488	NaN
6	6.33372194095367	-5.51528589235448	6.90048362885183	-8.61243367233427	7.88700640226481	NaN	8.69294131262682	NaN
6.5	6.45827800707387	-5.4389920749503	7.20078469681961	-8.44735152783647	7.87923959288906	NaN	8.95945838383383	NaN
