Joint_angle	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_1_STR_PRE_L	INT_2_STR_PRE_R	INT_3_STR_PRE_R	INT_4_STR_PRE_R	INT_5_STR_PRE_R	INT_6_STR_PRE_R	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_9_STR_PRE_R	INT_10_STR_PRE_R	INT_11_STR_PRE_R	INT_13_STR_PRE_L	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_18_STR_PRE_R	INT_19_STR_PRE_R	INT_20_STR_PRE_L	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_1_CON_PRE_R	INT_2_CON_PRE_L	INT_3_CON_PRE_L	INT_4_CON_PRE_L	INT_5_CON_PRE_L	INT_6_CON_PRE_L	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_9_CON_PRE_L	INT_10_CON_PRE_L	INT_11_CON_PRE_L	INT_13_CON_PRE_R	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_18_CON_PRE_L	INT_19_CON_PRE_L	INT_20_CON_PRE_R	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_1_STR_POST_L	INT_2_STR_POST_R	INT_3_STR_POST_R	INT_4_STR_POST_R	INT_5_STR_POST_R	INT_6_STR_POST_R	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_9_STR_POST_R	INT_10_STR_POST_R	INT_11_STR_POST_R	INT_13_STR_POST_L	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_18_STR_POST_R	INT_19_STR_POST_R	INT_20_STR_POST_L	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_30_CON_POST_R	INT_31_CON_POST_L	INT_1_CON_POST_R	INT_2_CON_POST_L	INT_3_CON_POST_L	INT_4_CON_POST_L	INT_5_CON_POST_L	INT_6_CON_POST_L	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_9_CON_POST_L	INT_10_CON_POST_L	INT_11_CON_POST_L	INT_13_CON_POST_R	INT_15_CON_POST_L	INT_16_CON_POST_R	INT_18_CON_POST_L	INT_19_CON_POST_L	INT_20_CON_POST_R	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L
0	26.9179191385964	13.3068185718812	4.63265600595701	2.12436536334639	19.9360007950888	12.286264565387	6.1741110769061	15.1139350295699	-10.1851433591964	3.378429762023	16.40459890876	45.2990099749667	22.0546239266905	-0.0935391754572078	8.41704958217103	-21.0004296511924	13.0480547414337	6.62992281700515	-7.3081369995935	20.6702512953907	26.9976456105258	9.771280291887	14.9638475493041	-5.26748259619311	-8.47769672394818	10.6146978909418	31.4487423732404	14.4776476369543	11.9572222611907	26.9781335231879	18.4865616158852	29.2166187897097	10.1126114287993	3.90861503776209	-7.58551183762558	33.3925646570465	25.5880249607072	15.1779905194537	10.2299264857356	5.99003482406492	-20.1381336440079	19.2729618432438	-1.91236042525284	11.5709581650773	38.1036977834206	19.4930981389874	11.1020391046697	6.92401063773116	-2.4337641287019	-3.38401601872775	23.4245687240398	11.1106256232568	1.04715431043777	10.2782538812395	11.2743486040367	25.6500075953092	8.31536077246649	1.11371334799987	6.02218338010641	16.8753064504385	14.7574798376829	3.64982685951723	13.7173078419127	-9.36804204278498	11.3707278763895	9.15144489316601	20.6134281479264	-2.71651643641852	-12.0496075044536	31.1077342836845	26.3609679578615	-5.23715735092405	3.2578968085905	-16.9818562287542	-2.28316332165522	16.4362617711767	27.9601454062946	10.8053538381114	6.61430477691905	-5.54930571446696	21.0348501236859	5.41471601561567	12.3298530278593	19.7178343492664	15.6006480652072	13.1676861707657	11.4973951321434	15.4686117296	-7.60215135649737	11.2624587685175	17.0873068873551	28.2988403634735	18.6201945310631	-11.49998591591	22.2739341368925	23.0738661549434	5.1768085659331	18.1952017444987	-5.90069783208611	0.746449127505635
0.5	27.4168833970838	13.8370721368799	4.70318618609766	2.31394735395007	20.2030263158202	12.8879116545528	6.4665059905258	15.5484839672177	-10.01655347342	3.46254695125297	16.5088738820807	45.2823816216993	22.285171676435	-0.203282900315949	8.63675914979733	-20.8913628830575	13.3155909452483	6.78028989749397	-6.88190530794533	20.9841045495402	27.3308133010276	10.0795293159185	15.1999336026348	-5.04499737977876	-8.33914580855903	10.8970281425671	31.9041338080495	14.8699702803649	12.2390608019805	27.2454997558144	18.8626144659296	29.5616735471043	10.5644994661982	4.15311604896217	-7.49209965233399	33.8227159801601	26.2614459677095	15.5646588999136	10.6902618379165	6.33938508764948	-19.8941543640837	19.9476718519158	-1.3752642095293	12.1451610324083	38.5926938497306	20.0647524070915	11.4426395733413	7.06942199375793	-1.84615314239629	-3.0647916524767	23.8204752744967	11.6693063054693	1.00098200363927	10.2766211922557	11.7712490213408	25.8630583221574	8.63095009448566	1.18756300819912	6.23492865414124	16.908693336819	14.8535574453549	3.736681500341	13.6153264865834	-9.3582458482485	11.428400369393	9.62807934267893	20.3721895255334	-2.66507809123353	-11.8466760387389	30.8193095892421	26.8038427012645	-4.98749514809818	2.59607177486323	-16.9518293835835	-2.1125260878972	16.9399042015318	28.4110766699139	11.2220450426709	7.17449668495461	-5.18519766976676	21.4568735726008	5.77429177974738	12.6905963506011	20.1691724270699	16.0674881170096	13.5465219403895	11.8732670724361	15.7526640769841	-7.47616199460734	11.7329135297787	17.5476727064353	28.6757445324671	19.1728158085168	-11.2919265733697	22.6400922874125	23.7258850698155	5.58358024022321	18.4939516331354	-5.38084151549524	1.19826108337833
1	27.9867834452205	14.4148365233058	4.71639397215794	2.521423066591	20.4710163396064	14.0610076742021	6.69626229557965	15.7405246800307	-9.83439519991543	3.52779685171431	16.7438299401234	45.3039764056838	22.5547640499702	-0.231923896630595	8.82895109100727	-20.7946207194791	13.6294815779246	6.89959231530124	-6.50397893543364	21.3274852789214	27.569604429691	10.2749263515106	15.408403861381	-4.94876816038383	-8.09237188467037	11.1506140683473	32.4491925241022	15.3062858879279	12.5297035571492	27.447574319824	19.250335359405	29.9845517610656	11.0589014224987	4.45289230873674	-7.27050081129679	34.2939341653635	26.9294782935046	15.8819905905454	11.1106018912478	6.77965380888928	-19.6283298646687	20.5945929114129	-0.972903349774108	12.68233438625	39.0302402683466	20.4769161424449	11.7360203924516	7.30944082184785	-1.50379898200953	-2.77267581694716	24.0867240571494	12.2334498645999	0.948724139246579	10.3157580702547	12.3907900005834	26.0425144569952	8.60573818193998	1.33091995321537	6.38696078970917	16.8459249023491	15.1588654464179	3.86557590524008	13.4806869867094	-9.40841150566319	11.4546793495395	10.0143550792012	20.2891066496903	-2.59654562533196	-11.6456116112582	30.66902481793	27.1562948929357	-4.74596105102124	4.51923297564003	-17.0251433088563	-1.87744945880815	17.3767246104038	28.8541173837646	11.665836903726	7.72876843162596	-4.95758673267479	21.8317130206503	6.11392851933038	12.9661054003596	20.5764690383108	16.4413800885871	14.0388165597945	12.2997247234115	16.0014862385675	-7.34086332290256	12.146817469753	17.9675635144641	29.0307611922616	19.5972367121164	-11.1426392395017	23.1323484864643	23.8845036132459	6.07961913261089	18.7686708524096	-4.86575024826666	1.64058212453182
1.5	28.5261420319026	14.8851360328271	4.78173120151172	2.70469687924469	20.6344265934623	15.4357921779055	6.95537421095266	15.9613205020395	-9.67387556524631	3.62277971616342	17.0243290691031	45.3329864253768	22.8094875020045	-0.236251718814132	9.06571336438594	-20.6391812084442	14.0935992481088	7.06754390206573	-6.11584747874959	21.7203717529908	27.9047308236952	10.4969306665326	15.5450514794799	-4.7440152753901	-7.87891359392809	11.4291853186956	32.9939864812029	15.5521238079669	12.913203137946	27.8631881946573	19.6951383478478	30.3550013395392	11.4660703959727	4.73610115872571	-7.22182870676533	34.7699770270804	27.5085389903157	16.1977397258169	11.4366952627531	7.25795949364678	-19.4028377862455	21.2387627924768	-0.541374685567934	12.9632496572364	39.1969752839617	20.9975421634734	12.0113036918566	7.47150652151191	-1.28953589530605	-2.5348755032354	24.3997041412176	12.803808953275	1.02446548739575	10.2598416958097	12.8380959029576	26.2640761824952	8.97046542916412	1.53328069052421	6.52270207858491	16.6143223496923	15.3970567807515	4.08378850081557	13.5009260086945	-9.29868794479457	11.4924435206623	10.4633418473528	20.2540842039812	-2.50298623057393	-11.3575842008356	30.2801587738161	27.5458924721325	-4.47228908754206	4.87547456102522	-16.9410421185045	-1.59655502069678	17.7319283483265	29.3341535614123	12.0803955574877	8.21347355023085	-4.74693314541735	22.1204814731739	6.39543851273677	13.2842416991062	21.0140293016828	16.8415003319386	14.5086550967254	12.5880381092268	15.9795349611494	-7.221897659489	12.5748318196151	18.3781447436147	29.259792418683	19.9450540626708	-10.9747883324231	23.4463206077586	23.8210026297387	6.54180272562382	18.807005221873	-4.39036886842943	2.10060533919685
2	28.9791912939481	15.3996718593128	4.76686589390552	2.93570631406004	20.8904913044168	16.6088900986297	7.16641199402153	16.1541338571344	-9.45412357037262	3.66496908416311	17.2132678583375	45.4529899723169	23.0745048192329	-0.196750097573091	9.28684090453696	-20.4423976712464	14.5838331866571	7.13282150393788	-5.73599689191477	22.1329953798225	28.3016172086375	10.808833138244	15.8000995981045	-4.58869562413926	-7.72992001094994	11.6331934525013	33.4413103311689	15.9760906976608	13.2688140565598	28.0759410453372	20.1471908697578	30.721949301678	11.9263879050134	5.07241417171858	-7.16338928347127	35.1953378699466	27.9412739785357	16.4772443105213	11.747156490056	7.63819165740921	-19.1098390409286	21.85562934676	-0.189104114120781	13.3012919600126	39.610593865082	21.397056406054	12.3440117837659	7.75409236584725	-1.07875506941468	-2.29232080337752	24.8263660922663	13.3157764784553	1.04127517412509	10.151567425077	13.3112988875486	26.4862010087425	9.2264148809606	1.61847438217614	6.79265545530116	16.3655171388639	15.4900325694729	4.26166194324838	13.4828170414833	-9.25364568416232	11.4859517583599	10.8089111281869	20.3085809461662	-2.44592897470963	-11.0061921924214	30.2679241555259	27.719140334881	-4.20530725241606	5.27924158406872	-16.639588422361	-1.5220397721363	18.2045406907664	29.8025428154127	12.4542603807222	8.85348478070474	-4.50232209899527	22.6413862673424	6.68778412795213	13.6755421444191	21.4498417484488	17.2559486142381	15.116628425575	12.953791098267	16.1646468540445	-7.07212900612626	13.0455014681255	18.7055242960739	29.6850927425053	20.2427665557842	-10.7860278964484	23.7762499460046	24.0783321858494	6.93839446790507	18.7513476856453	-4.0292964927362	2.58212344419244
2.5	29.4560032685506	15.9031619480919	4.96145024998753	3.17483654719347	21.3210495410168	17.1827630202769	7.43787248726077	16.4614864739211	-9.291233460592	3.7576651122758	17.4883004289337	45.7238129780842	23.2978774929285	-0.160570050350799	9.47208678424359	-20.2750563880937	15.0136514157528	7.2173439149625	-5.44810896797984	22.6872907575242	28.7258237128279	11.0802252416874	16.0975374581501	-4.45017819835045	-7.55656647395936	11.9079032711711	33.9227496375155	16.4343774251581	13.718222443052	28.2696625444189	20.5835268857068	31.1718298680291	12.4207327963232	5.38584862683394	-7.0990006887968	35.6306166725313	28.497986827416	16.7391930030139	12.0374596917127	8.07584218634769	-18.8116164993058	22.4693452627465	0.236991073557616	13.7657815833047	39.8577975061048	21.7664347504278	12.706917362286	8.16710024133384	-0.715439562758022	-2.03074881928952	25.2059389372425	13.8068938350324	1.15726914263752	10.0926250221101	13.5863488578708	26.7003851636953	9.4039664524883	1.65748512826431	6.99012541853956	16.144872532025	15.6254550650965	4.38711010091646	13.461327653987	-9.30862918628787	11.5382478334305	11.1219770521734	20.3732754251751	-2.28146707875547	-10.7086310362078	30.148729075946	27.9800812376928	-3.98307454957505	5.64066299603794	-16.3904833296177	-1.56063554997393	18.6939282680282	30.1359244183444	12.8182452927752	9.38053149855733	-4.20656801080149	23.1941889389729	6.92193855964233	14.1142062526852	21.9861575094992	17.7590570101038	15.6160951251918	13.3104505765275	16.3404253332281	-6.93407051658886	13.4504009612034	19.0919589054247	30.3148541533306	20.5472060434244	-10.6685926962157	24.0535921023257	24.3616544574164	7.37253803046346	19.1039347748262	-3.58378738419647	2.92422101153273
3	29.9853642286577	16.4264314727155	5.20295229565853	3.45978383614799	21.7859278697331	18.2067790085634	7.64791381066508	16.7456236096492	-9.0481186722512	3.9379009984285	17.7938212651266	46.1452505994095	23.5232761380431	-0.107151466428886	9.66690175743036	-20.1566734118373	15.4277363475862	7.35575693682982	-5.06027595500117	22.8812874625385	29.0217701558297	11.3882106238459	16.4541430898425	-4.20532136469397	-7.38124961904947	12.2107563244544	34.4773601241744	16.8902859212864	14.0554867183497	28.6058778891183	21.0655894988747	31.5896855277516	12.8845984283351	5.68452854226556	-6.96388479630257	36.1211089711061	29.0698492813861	16.981302419734	12.4481346023816	8.49572260768817	-18.5722441296199	23.1832559740501	0.613164437437521	14.1804821954753	40.2370918923766	22.191995780063	13.1285292412729	8.44705890261093	-0.275041529861174	-1.77428399306745	25.6266562605111	14.2888431176832	1.2806529907619	10.0963480155589	13.9361382888011	26.8527390119415	9.75319708010307	1.71288638356057	7.17382165722824	15.8866154560738	15.7698920363106	4.51760102776565	13.4086646521738	-9.27558961721547	11.4775325371511	11.554479205136	20.3113189057468	-2.07359110534447	-10.4037864725115	29.7557323885463	28.3237845635536	-3.70793844269791	5.76165321396841	-16.2836919350372	-1.50279149459981	19.186463558451	30.4819135605296	13.2550132134103	9.80960960646568	-3.81057900037215	23.7058468954981	7.15102983182959	14.7240795207788	22.5224767399133	18.2162686054082	16.1177867149997	13.6137073047441	16.5282242857827	-6.89563231434967	13.7902270521096	19.6536621978899	30.8028671609534	20.6747623726899	-10.4411854999776	24.3600539258981	24.6044277365301	7.7764625896023	19.3279302070624	-3.08101317160409	3.41275571531388
3.5	30.4499578365006	16.8525128499226	5.46809684611963	3.72413129484177	22.2465084943303	19.6482782592896	7.89192638336448	17.1668820823917	-8.76377779804414	4.06024618395908	18.1692113365458	46.2876546280368	23.7570182048892	0.0109956421469625	9.88325035221819	-19.9798304972737	15.8667448814824	7.45921764853582	-4.68074453230942	22.7954477800029	29.3564513062516	11.6993495779355	16.8444057203708	-3.96734813327143	-7.13003722748444	12.4296022684982	35.0229724966966	17.1227315993101	14.4933553997314	28.9886225337263	21.5953827723903	32.0361760986561	13.3602668807654	5.88893953683015	-6.93648145489464	36.5820365988639	29.5976108946759	17.2769982810002	12.8599347174481	8.94432037119036	-18.2817014858667	24.0275952408263	0.993980784926938	15.0306049436138	40.3670587236805	22.558267460034	13.4768187958063	8.87991466523121	0.170350115063658	-1.5483909234146	25.9607909376313	14.7718931432047	1.32355649242774	10.0850832769134	14.507017891714	27.0144730165681	10.1042150116838	1.75379406499122	7.21274422854899	15.7345155968751	15.9572827172801	4.66474421991998	13.3618875588473	-9.24039586184298	11.4344479144252	11.9825174333829	20.3086225584168	-2.03010289861827	-10.0839389217175	29.2212584680067	28.4943871981095	-3.47872296978794	6.13561748010131	-16.161124372846	-1.53148841133834	19.5781385445901	30.941534137041	13.727489926466	10.3664537935373	-3.31104875320307	24.2609913514857	7.44643961200923	14.9373928011067	22.9885574347502	18.6646938705214	16.5647352395189	13.9602468626013	16.7821706248494	-6.77003257579979	14.2677429772841	20.1717255973498	31.0813227057258	21.0785431174027	-10.1103469223897	24.5983792650784	24.936687834395	8.15521146224965	19.5267397773407	-2.58280016776304	3.81828312830959
4	30.8661765732147	17.2706090492002	5.60698530220771	4.03325608126134	22.8683446774787	20.3221623005453	8.17575717668351	17.4522278410573	-8.58821578590569	4.15185725915405	18.525292177376	46.4081256714048	24.0248030610921	-0.0363133727744753	10.1141466154994	-19.7116129466508	16.3135453593823	7.58550306126141	-4.36150173855079	22.7744696986136	29.5994197200943	11.9393518016035	17.1673862199494	-3.79439244964791	-6.91561201030071	12.6068158207962	35.6231804836319	17.6278542755262	15.0321073916345	29.3416057853329	22.0390138777301	32.4738412237873	13.8489282553624	6.09730690950016	-6.80069063492875	37.1281180569779	30.0713875175518	17.6618934568445	13.1934058236814	9.39496439471246	-17.9483514382643	24.8016107555669	1.43201671647468	15.7727561868082	40.6180544965203	22.948351280297	13.8416185773478	9.14693422231711	0.590504415326108	-1.26866913148645	26.336917083128	15.1926463829617	1.48937669811402	10.0522224076791	14.9021773914917	27.2804848876505	10.5727120527692	1.88419125417627	7.28367060732919	15.6325131839409	16.2250302124896	4.91937324708497	13.3366003224803	-9.27270566690637	11.4311968726068	12.4013870053832	20.2788619000479	-1.89537741618379	-9.65277099748064	28.7917975211983	28.6525498793644	-3.20638682600329	6.23383749203873	-16.0387407920463	-1.37071628701506	19.9668265532081	31.3118844670278	14.147475845824	10.8561398672288	-2.82319218735247	24.6009930447535	7.69154404557094	15.1220011113217	23.4813507098592	19.0401997396553	17.0424529563644	14.4632511457304	17.0840769706548	-6.58232643697366	14.7159550079182	20.7078110266909	31.1826508761999	21.4490788094721	-9.82023739905973	24.837250466126	25.1550133197274	8.5811252485759	20.0859438272969	-1.9603065483781	4.19404171585023
4.5	31.2791523579762	17.7358763240934	5.76586062543428	4.31198050717035	23.4456259709781	20.7671299288911	8.44119601525299	17.5932436297155	-8.37848902171897	4.29563274910322	18.6484147263918	46.5685079145388	24.2688834222783	-0.0543667509316446	10.3676778141828	-19.4905196184724	16.8686280005374	7.71905406176742	-3.9908506899307	22.9203569756487	29.848519731609	12.0940178577411	17.4370332037512	-3.52292016722896	-6.68373642950258	12.871801682919	36.199610254032	18.0440207607427	15.609067243376	29.5617732232585	22.3182926107637	32.9980969968884	14.354134196401	6.34290931756674	-6.80028688257638	37.5396300996585	30.5188570284515	18.042690799919	13.6793764406159	9.91039564307579	-17.724729535635	25.4775911231141	1.88801503178292	16.2347152948909	40.7417304982654	23.3291144136562	14.2839729336607	9.56019354092678	1.05891255145034	-0.962607201497043	26.6717124731533	15.6792420621277	1.6020970734359	10.0845009846656	15.377853794103	27.468490347197	11.1055661761933	1.97523223020648	7.4964536326482	15.5457761929552	16.4655646174581	5.1344374092423	13.3805810830419	-9.30068445455267	11.4129715528084	12.8556715363222	20.2527216933985	-1.73537774062261	-9.20560394819218	28.3897323193025	28.6800250833368	-2.90996808606309	6.55510539094342	-15.9293817448672	-1.19324773774624	20.3541239570425	31.6670952830861	14.6256670963494	11.3069862523982	-2.44402961776107	25.1499438757981	7.95181789734379	15.4578765264589	23.9096127882887	19.3985216130448	17.5154181005346	14.7740618133193	17.3072879255063	-6.49864632928077	15.0896085450629	21.1681366308111	31.3587903764599	21.8658096733431	-9.57441064310817	25.0705127846106	25.5739623287622	9.02697725816236	20.5122821862108	-1.38521962304474	4.63195646983225
