Joint_angle	STR_PP_15__15	STR_PP_16__16	CON_PP_15__15	CON_PP_16__16
0	64.7706405012437	-37.9623454987417	134.366162797706	14.1534572867619
0.5	65.5855144286758	-41.8821004737439	135.938346881332	13.1630821664546
1	66.7193352175593	-45.7989142524103	137.85700927094	12.3668416599933
1.5	67.84397208529	-49.5842845148355	140.003690959963	11.8227915813193
2	68.7964557785643	-53.0551091432593	142.072588179436	11.4951084101943
2.5	69.6909877470788	-56.3580211309064	144.069209328614	11.1775837462852
3	70.4934934378289	-59.6921078547252	146.188968359644	10.8480344262366
3.5	71.2765151573457	-63.1520792588435	148.461752924235	10.4131518701078
4	71.916554012779	-66.9103355240362	150.843150426097	9.98089935866864
4.5	72.5333222004981	-70.836362885436	153.410603504541	9.607683565581
5	73.129975155151	-74.7091850010116	155.898997452658	9.32486792832015
5.5	73.8686439104125	-78.23717913767	158.082843629988	8.97389108760717
6	74.4866705039378	-81.3003735419823	159.830349527824	8.4868685988622
6.5	75.1319536883376	-83.8093085982597	161.032711261244	7.75555649191932
