Joint_angle	STR_PP_21__21	STR_PP_22__22	STR_PP_24__24	STR_PP_25__25	STR_PP_26__26	STR_PP_28__28	STR_PP_30__30	STR_PP_31__31	CON_PP_21__21	CON_PP_22__22	CON_PP_24__24	CON_PP_25__25	CON_PP_26__26	CON_PP_28__28	CON_PP_30__30	CON_PP_31__31
0	9.60918350625202	-2.9198285538127	2.48160174296131	-2.3025087624531	4.19327002043072	5.68100836224504	-10.5665557432765	9.73546597727491	4.59064491556055	-0.889071582705668	6.3874789526612	6.53015785641384	9.56618204194621	0.66565063187852	-1.44555215625999	9.42779389753723
0.5	9.7162148130793	-2.81216260169295	2.46984795042214	-2.42530923870871	4.37413750373718	5.77607889184927	-10.713484072469	9.66159557179264	4.88299482445237	-0.954095878240196	6.50645114713218	6.67110138472907	9.58065075846018	0.81717342984156	-1.36693305727487	9.35443254802988
1	9.75320002502578	-2.73489001150497	2.5229236223669	-2.40110275001056	4.4955789007678	5.79565129544977	-10.9064206974817	9.62121890951801	5.21914727715669	-1.15619625774561	6.67885684121887	6.65865048411406	9.76715122874949	0.938314093114265	-1.28875153120629	9.28646030243218
1.5	9.61196117107539	-2.63995220073432	2.55750140205967	-2.51127593640949	4.51545708909768	5.80181232269526	-11.0793428255653	9.64085151022946	5.40686616206447	-1.4505918390077	6.80512859347057	6.54314243892546	9.94467898545631	0.99388904362668	-1.22556584600527	9.23595785354117
2	9.60678444505961	-2.64182219141671	2.55297604324241	-2.58977038382231	4.55551375648565	5.84478848297057	-11.2415233281838	9.56881114100574	5.64499682329923	-1.53475389756463	6.89833541429112	6.37587353810422	10.0208779300661	1.19405718253346	-1.19230316707611	9.21147267921017
2.5	9.43656374885162	-2.67224893908136	2.58320756545574	-2.51962192615296	4.67777785735309	5.88270575903214	-11.3522217664944	9.52192443910683	6.10527845582885	-1.69681582852198	7.03327880509949	6.40602244877779	10.1288928756658	1.40879211743474	-1.10553341372997	9.12116054080904
3	9.53630117464326	-2.61591032915342	2.63738405030917	-2.53820924553524	4.77220831855517	5.91773033364384	-11.5012329585554	9.50456984991419	6.24237150429432	-1.95180729189629	7.11330407134929	6.48268928947981	10.2194406079746	1.64459202923168	-1.07369900682951	9.05582468947568
3.5	9.67518619310386	-2.62165653868125	2.64122305309031	-2.48102207858384	4.88274986537907	5.90059055576059	-11.6783009885204	9.54350667424437	6.83960078057562	-2.10316609639519	7.21240083676628	6.44565890413187	10.2852565569568	1.87239480286269	-1.05250139962106	9.04047725131143
4	9.81520007635982	-2.55209805718541	2.67017089301778	-2.50824571173796	5.00653191082365	5.94031589280811	-11.8274919149322	9.61195522630426	7.29825611055093	-2.08199247063661	7.31054883015226	6.68690898809388	10.4467426766254	1.98604263803269	-1.01554270333646	9.02151173907514
4.5	9.78218557015015	-2.49979893123748	2.82565928714532	-2.43156946108017	5.10191771863107	5.9735750315733	-11.9249608091436	9.63675455088746	7.98759280427893	-1.80025984876495	7.40904103612623	6.77093105390307	10.6011707387345	2.14093410656383	-0.960393370550186	8.95711866776079
