Joint_angle	STR_PP_21__21	STR_PP_22__22	STR_PP_24__24	STR_PP_25__25	STR_PP_26__26	STR_PP_28__28	STR_PP_30__30	STR_PP_31__31	CON_PP_21__21	CON_PP_22__22	CON_PP_24__24	CON_PP_25__25	CON_PP_26__26	CON_PP_28__28	CON_PP_30__30	CON_PP_31__31
0	16.5689009210275	-5.1986220629036	5.39751293568813	-5.87713873101929	9.24727771601805	11.5109388849859	-21.458642879706	19.9541917704679	8.71080297657921	-3.77687778703363	11.2214435007888	14.7543873656963	19.3088966122677	1.67082081843279	-6.28764595959642	22.0784387010809
0.5	16.7531991020753	-4.9443176369781	5.38431274636277	-6.16188980601995	9.69057750087742	11.7193327710679	-21.7588527239397	19.83138629031	9.20309714836626	-3.95500351108367	11.4270840326633	15.0777690486673	19.3822158834708	1.99828474946724	-6.17626312610874	21.9659821129061
1	16.8149877692147	-4.76201446280835	5.4954170406362	-6.11563485300121	9.98207169132129	11.7778040436605	-22.1515156615468	19.776902053831	9.76612908273193	-4.41020704871211	11.7265443452623	15.0395954042446	19.8025025308706	2.26909947309909	-6.04959658997213	21.8638477511012
1.5	16.5652947552502	-4.53635066572695	5.57065120553425	-6.37028284295478	10.0518363796708	11.8063688422019	-22.5041734984235	19.8359624219943	10.076538277365	-5.04887009961099	11.9444328628824	14.7641175591754	20.201355215374	2.41834240517075	-5.95855937893379	21.801563630633
2	16.5527644741208	-4.52289218377586	5.57130099754363	-6.55649341804492	10.1632354288766	11.9071325395836	-22.8337689173328	19.7156864019807	10.4799677879417	-5.24728211705155	12.1043130852402	14.3688227642123	20.3863372449836	2.84024404048053	-5.94177864677045	21.791506370949
2.5	16.2510945961913	-4.57143718533469	5.63955374074313	-6.40936942131381	10.4610042965043	11.9992706268184	-23.0617622543633	19.6447498443399	11.2407267207757	-5.61571890645994	12.3380433865271	14.4275768407715	20.6408738181023	3.27980584625566	-5.81063454734102	21.6340189196989
3	16.4236046399437	-4.4324694627968	5.75649666407262	-6.46310422074669	10.7086952691438	12.0853515622664	-23.3668056723136	19.6329174854988	11.4712783600498	-6.18234047182791	12.4744276501373	14.6007796899184	20.8641737140925	3.77385236878519	-5.79597148313472	21.5311150597423
3.5	16.6671409322505	-4.42930597968956	5.77380016196679	-6.34894607252923	10.9917200381154	12.0673222939689	-23.7260953103675	19.7279089309644	12.4547991454246	-6.53195469017583	12.6452001075026	14.5065238291852	21.0371365948756	4.24353769117912	-5.79320146731037	21.5393752577421
4	16.9115782925852	-4.26414842611988	5.83968916372207	-6.42095334372448	11.2976893886266	12.1651591530606	-24.0292597598473	19.8811704848992	13.2080542299015	-6.4969566033078	12.8135795222829	15.0604117749768	21.4159698347262	4.49372404288347	-5.76095202720689	21.5331535172477
4.5	16.8525307641966	-4.13600529310956	6.15465728569245	-6.25878399630347	11.5499911876048	12.251354100765	-24.2298757705705	19.9493674229847	14.3432777136501	-5.90793187042901	12.9822754689941	15.2463181360895	21.7776078438646	4.83042367763766	-5.68705336768978	21.4314486643374
