Joint_angle	STR_PP_15__15	STR_PP_16__16	CON_PP_15__15	CON_PP_16__16
0	-3.8270164822684	-3.8876964586535	-0.0451245734160466	NaN
0.5	-3.69483109906943	-4.0233017434219	0.38576890890408	NaN
1	-3.42586809312475	-4.15646524419574	0.793062931469702	NaN
1.5	-3.16585670316874	-4.49107402480108	1.03242724117553	NaN
2	-2.98678801872149	-4.50958717590658	1.31861611201061	NaN
2.5	-2.71189014065685	-4.70100823461181	1.63297395251223	NaN
3	-2.47893263822991	-4.67083338010252	1.83132886498592	NaN
3.5	-2.22530371719349	-4.55270737768184	2.19866608289833	NaN
4	-1.98291288457726	-5.22429449022133	2.48611172982025	NaN
4.5	-1.69533573968296	-5.83340139930423	2.79648708476977	NaN
5	-1.41744048305107	-6.0015200331201	3.0483168245191	NaN
5.5	-1.23500542273843	-6.26760534699406	3.52150807407192	NaN
6	-0.979518846027421	-6.07927909427073	3.98886378227628	NaN
6.5	-0.661578375087892	-5.93035596342925	4.54655196987583	NaN
