Joint_angle	STR_PP_21__21	STR_PP_22__22	STR_PP_24__24	STR_PP_25__25	STR_PP_26__26	STR_PP_28__28	STR_PP_30__30	STR_PP_31__31	CON_PP_21__21	CON_PP_22__22	CON_PP_24__24	CON_PP_25__25	CON_PP_26__26	CON_PP_28__28	CON_PP_30__30	CON_PP_31__31
0	-1.49695700625205	3.49652155381273	-6.21599174296136	1.1985837624531	-3.18277402043066	-5.68100836224505	14.7604280557765	-5.89074597727489	-3.43175541556053	-1.38098191729432	-6.38747895266118	-8.72992885641384	-9.56618204194621	-3.0166334443785	6.07319465625989	-10.8750715225373
0.5	-1.6039883130793	3.38885560169297	-6.20423795042217	1.32138423870879	-3.3636415037372	-5.77607889184924	14.907356384969	-5.81687557179259	-3.7241053244523	-1.31595762175976	-6.50645114713222	-8.87087238472907	-9.58065075846014	-3.16815624234158	5.9945755572748	-10.80171017303
1	-1.64097352502586	3.31158301150492	-6.25731362236695	1.29717775001058	-3.48508290076779	-5.79565129544972	15.1002930099817	-5.77649890951801	-4.06025777715661	-1.11385724225437	-6.67885684121887	-8.85842148411399	-9.76715122874947	-3.28929690561426	5.91639403120621	-10.7337379274322
1.5	-1.49973467107543	3.21664520073432	-6.29189140205972	1.4073509364095	-3.50496108909766	-5.80181232269524	15.2732151380654	-5.79613151022943	-4.24797666206445	-0.81946166099226	-6.80512859347056	-8.74291343892543	-9.94467898545628	-3.3448718561267	5.8532083460052	-10.6832354785412
2	-1.49455794505963	3.21851519141666	-6.28736604324246	1.48584538382232	-3.54501775648561	-5.84478848297056	15.4353956406839	-5.72409114100572	-4.48610732329917	-0.735299602435362	-6.89833541429113	-8.5756445381042	-10.0208779300661	-3.54503999503351	5.81994566707601	-10.6587503042102
2.5	-1.32433724885169	3.24894193908136	-6.3175975654558	1.41569692615298	-3.66728185735309	-5.88270575903215	15.5460940789945	-5.67720443910679	-4.94638895582881	-0.573237671478012	-7.03327880509949	-8.60579344877772	-10.1288928756658	-3.75977492993479	5.73317591372989	-10.5684381658091
3	-1.42407467464329	3.19260332915337	-6.37177405030923	1.43428424553531	-3.76171231855517	-5.91773033364382	15.6951052710554	-5.65984984991417	-5.0834820042943	-0.318246208103687	-7.11330407134932	-8.68246028947976	-10.2194406079747	-3.9955748417317	5.70134150682941	-10.5031023144757
3.5	-1.56295969310389	3.19834953868121	-6.37561305309038	1.37709707858386	-3.87225386537909	-5.90059055576057	15.8721733010204	-5.69878667424433	-5.68071128057557	-0.16688740360479	-7.21240083676628	-8.64542990413179	-10.2852565569568	-4.22337761536267	5.68014389962099	-10.4877548763115
4	-1.7029735763598	3.12879105718542	-6.40456089301784	1.40432071173802	-3.99603591082365	-5.94031589280809	16.0213642274322	-5.76723522630425	-6.13936661055089	-0.188061029363382	-7.31054883015224	-8.88667998809382	-10.4467426766254	-4.33702545053268	5.64318520333637	-10.4687893640752
4.5	-1.66995907015018	3.07649193123746	-6.56004928714538	1.32764446108018	-4.09142171863107	-5.97357503157326	16.1188331216436	-5.79203455088742	-6.82870330427886	-0.469793651235022	-7.40904103612627	-8.97070205390304	-10.6011707387345	-4.49191691906384	5.58803587055007	-10.4043962927609
