Joint_angle	STR_PP_15__15	STR_PP_16__16	CON_PP_15__15	CON_PP_16__16
0	-3.99953698990771	5.06126374067458	-5.29940755603815	NaN
0.5	-4.08617590719206	5.11637307959353	-5.50613828662296	NaN
1	-4.24910307219528	5.17077028388513	-5.70165745123404	NaN
1.5	-4.40881282609195	5.32153349219533	-5.8143378217456	NaN
2	-4.52165864618814	5.31850282669274	-5.94978658984525	NaN
2.5	-4.6874931375097	5.39934652740976	-6.09995314123449	NaN
3	-4.82997234306652	5.37734356605023	-6.19355036127735	NaN
3.5	-4.9852630262061	5.311534990018	-6.36883044392783	NaN
4	-5.13475714319628	5.62107876205636	-6.50545120759193	NaN
4.5	-5.31088932607463	5.90310850306645	-6.65408380429233	NaN
5	-5.48211318467145	5.97562571593375	-6.77440682766741	NaN
5.5	-5.59855307591579	6.0962810121539	-7.00273093588117	NaN
6	-5.75745418362811	5.99718630274521	-7.22817697654983	NaN
6.5	-5.94861721921279	5.91673752579732	-7.49714776282349	NaN
