Joint_angle	STR_PP_16__16	STR_PP_20__20	CON_PP_16__16	CON_PP_20__20
0	1.49574202453992	-3.69012133614037	NaN	NaN
0.5	1.51018516888391	-3.6658888700773	NaN	NaN
1	1.5260605352503	-3.64002107140664	NaN	NaN
1.5	1.56833897265114	-3.62042199523885	NaN	NaN
2	1.56826565792527	-3.59244227524393	NaN	NaN
2.5	1.59126206045751	-3.57984850024486	NaN	NaN
3	1.58631343545852	-3.55828471308505	NaN	NaN
3.5	1.56922051005108	-3.5396466064023	NaN	NaN
4	1.65479707687779	-3.52142357318799	NaN	NaN
4.5	1.73301226358796	-3.50175379752386	NaN	NaN
5	1.75391845544117	-3.48022678036248	NaN	NaN
5.5	1.78810987289113	-3.45658307001646	NaN	NaN
6	1.76189100503351	-3.4462036993193	NaN	NaN
6.5	1.74076075982613	-3.41155943446694	NaN	NaN
