Joint_angle	STR_PP_21__21	STR_PP_22__22	STR_PP_24__24	STR_PP_25__25	STR_PP_26__26	STR_PP_28__28	STR_PP_30__30	STR_PP_31__31	CON_PP_21__21	CON_PP_22__22	CON_PP_24__24	CON_PP_25__25	CON_PP_26__26	CON_PP_28__28	CON_PP_30__30	CON_PP_31__31
0	9.96125032867607	-4.49225969211261	0.74452093872857	-0.451705680146354	-1.70933992773868	1.62870821595269	-7.66930575016553	7.40751415719363	1.12715584768024	0.764285123817729	6.23133643240632	7.62115344731529	5.06620424692662	-2.17183582107204	3.46602061272833	6.29176792315636
0.5	10.0663470158282	-4.37580192391704	0.762809461074042	-0.600693802406525	-1.5391556282108	1.72420684358946	-7.78206769593926	7.35512513698674	1.40074455813178	0.789157268170442	6.32660756344671	7.72447109201093	5.08902611423638	-2.02787854243034	3.56552919001258	6.2250067616307
1	10.1218761212394	-4.29112007159046	0.818259509647341	-0.558760979496974	-1.42268636110371	1.74559951558685	-7.94816504874394	7.3246681100693	1.7523267674684	0.627143922315014	6.48111348799129	7.71005594148784	5.25904156095043	-1.92601682305676	3.63510368098989	6.15130475365241
1.5	9.98170940407555	-4.20099430275064	0.848401383991821	-0.65212330216432	-1.42473572757595	1.75610121925207	-8.08446990899994	7.35497468428208	1.93853816877842	0.325344110883805	6.59545458090984	7.55843431583865	5.41624944458283	-1.84099153780532	3.70956857381244	6.09320846689459
2	9.98000983971389	-4.20207822306331	0.860153869219531	-0.738609551423991	-1.40284468399714	1.80461709070198	-8.21520224256567	7.30709797975123	2.152854573428	0.2671590999758	6.67398469488737	7.3391078981313	5.46059009699746	-1.62591458514309	3.75720422136092	6.06022982604303
2.5	9.78956080183947	-4.2318667380442	0.911935190687878	-0.684992828953014	-1.2981169543316	1.84996351708767	-8.32029664570625	7.28407118016212	2.63583266766766	0.151698253285232	6.80260989968946	7.33763133350819	5.56015517954345	-1.42053559007962	3.8438008729628	5.9693262239544
3	9.90152276964004	-4.1692648820127	0.976231102916969	-0.704458166616305	-1.21107114420128	1.89148304127846	-8.43812817362945	7.28970496587164	2.71465062183337	-0.00184262231675802	6.88063176187545	7.38844413246435	5.67048939684273	-1.19212529799542	3.86791690233019	5.88974658133677
3.5	10.0336618514286	-4.15558769879529	0.99723605219387	-0.620636340591723	-1.11802933403958	1.87481456597474	-8.56697135033743	7.34551900549934	3.24446037433522	0.00106662479413444	6.97131776169974	7.30653245179411	5.74621275968916	-0.958462156929286	3.8980217721143	5.86767299866369
4	10.1997049278917	-4.08397373281547	1.06786100560149	-0.688035456222195	-1.00353806245635	1.90733316546166	-8.69260514880811	7.43560795471583	3.6395916799946	0.0824320972672581	7.06441692645543	7.53050212809531	5.89845402075739	-0.849568938140706	3.9337951974363	5.83311177471531
4.5	10.1853387631842	-4.02007229237095	1.23070034839722	-0.611827190039712	-0.916681651309474	1.94442154941378	-8.76897745253886	7.48600500321564	4.22339137517091	0.458959342726828	7.15497012967558	7.58386707104826	6.04509105590326	-0.716978076974655	3.98100854483701	5.75540442398017
