Joint_angle	STR_PP_15__15	STR_PP_16__16	CON_PP_15__15	CON_PP_16__16
0	-0.11796403698283	2.72121174887144	0.367726563441062	-1.81367230420764
0.5	-0.120255379797541	2.78393976331297	0.355796559053434	-1.7143009735626
1	-0.150807031854734	2.69696663133756	0.307165425061466	-1.7065178222711
1.5	-0.177174853530889	2.64144543417375	0.340488956029443	-1.76419348565879
2	-0.213482118044421	2.61730205302151	0.373880863499028	-1.84508545021851
2.5	-0.246187710308991	2.66982669368234	0.390446483420396	-1.90179394041426
3	-0.249514728997989	2.65681922748719	0.389225534699651	-1.95886128826607
3.5	-0.282232066395078	2.60569941080563	0.41777175867117	-1.98114357090479
4	-0.318929072302607	2.53613034370964	0.462920580695853	-2.00134994110951
4.5	-0.358496282833833	2.54156091473527	0.459964951561842	-2.00123017834713
5	-0.393582215171611	2.54746346943359	0.462016321330228	-2.07048027895077
5.5	-0.433327025884889	2.62554209066219	0.421182862225791	-2.05675589672927
6	-0.490561076836276	2.58877510111652	0.443545862139679	-2.09949963823114
6.5	-0.565767468372382	2.62632115463072	0.427498751016246	-2.17843660967884
