Joint_angle	INT_16_STR_PRE_L	INT_20_STR_PRE_L	INT_16_CON_PRE_R	INT_20_CON_PRE_R	INT_16_STR_POST_L	INT_20_STR_POST_L	INT_16_CON_POST_R	INT_20_CON_POST_R
0	15.6061980332474	19.790124122404	13.8248216905922	16.9476947917521	14.3362474719717	31.0990290906249	14.9999339552745	27.0785560288199
0.5	15.9778860411632	20.0735223172169	14.0073904923775	17.1884347158031	14.5910802668829	32.6343960777485	15.2118247415815	27.61800949075
1	16.3613439214916	20.3729100281847	14.2017419530069	17.4415520246087	14.8323978021059	33.9491741657042	15.4183461541493	28.1421102994372
1.5	16.7518480393616	20.6930082264193	14.4094526551362	17.7073199174546	15.057415441402	35.1549934094937	15.6183593833973	28.6465418707344
2	17.1459473203346	21.0326653164873	14.6311571731309	17.9861086756918	15.268972759335	36.2713960546823	15.8123750790946	29.1297374621087
2.5	17.5453776258109	21.3862117516207	14.8666136123807	18.2790349573031	15.4738546370719	37.301629472176	16.0028027585174	29.5941112890722
3	17.9567336809158	21.7473864033756	15.1149766654238	18.588203599329	15.6797184598672	38.2853265480605	16.1934351859735	30.045933276617
3.5	18.3884051484088	22.1139442196035	15.3752678566695	18.9163763667268	15.8917185321152	39.2642435021382	16.3880538279814	30.4932938506752
4	18.8451721437775	22.4890863229076	15.646839967668	19.2660199616965	16.1109392450823	40.2495064269418	16.5889854118956	30.9431387912608
4.5	19.3238075457443	22.8788925569944	15.9296087250471	19.6379428852311	16.335548978299	41.2315272739001	16.7965234181704	31.3989189536206
5	19.813278412011	23.2876065935578	16.2240352696549	20.0302650842108	16.5631569538317	42.2082082883302	17.0092412758722	31.8598089389685
5.5	20.3000325346382	23.7141967421997	16.5309473209175	20.4387095254119	16.793980330438	43.1920345675306	17.2249667017094	32.3221076257002
6	20.7759135751086	24.1521917954044	16.8512049918956	20.8576938966135	17.0324742968833	44.1987241171441	17.4421833128208	32.781693517576
6.5	21.2406933592369	24.5939089404682	17.1852102225275	21.2818874739466	17.2856601967624	45.2319761497228	17.6609397310947	33.2366326587319
