Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_3_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_3_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_3_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_3_CON_POST_L
0	419.640147345598	457.275021172535	270.280885923056	236.219980745926	520.041742781741	288.303111069175	422.732816519949	431.832930570509	279.792730445593	277.379261134503	417.131658389994	252.76389898532
0.5	435.181653006791	468.47271044692	279.428908337802	245.457455607467	528.856898800532	295.228310912897	434.274893423023	440.777959220956	291.546423189792	283.841618148026	421.566956431364	259.902386135185
1	451.152655320174	479.33005144201	291.01520046125	254.973218124748	537.783355794843	302.001243739858	446.050117163349	450.024205982799	303.913234599642	289.77918826244	426.347115968432	266.991424297001
1.5	467.294341453525	489.69376003708	302.396216954794	264.782170895458	546.416665284681	308.599788060516	458.095802608058	459.06277919973	316.74673629346	295.651959578189	431.478401344267	273.994773289798
2	483.551570508041	499.741966761249	312.275384459769	274.884255440049	554.867839824613	315.037738470965	470.348015513373	468.603696136139	329.809648927194	301.47381729059	436.939782002972	280.909756308209
2.5	500.162240861407	509.715645446895	322.293331800426	285.305290414528	563.121627709488	321.367846185927	482.667994200491	478.640494013935	342.987707533279	307.282834738747	442.697609494409	287.782174553362
3	517.464807749168	519.693816708532	333.063413765244	296.125592058032	571.225450286978	327.674768237435	494.918889525492	489.119439012895	356.363016655085	313.150127446913	448.726889260466	294.705222945797
3.5	535.583510753158	529.542271645359	344.68530397401	307.471694176596	579.291629056342	334.053685524015	507.059976534281	500.003020322178	370.055622112403	319.162379779359	455.034116618387	301.803305876868
4	554.308847533998	539.033708933279	357.077116539209	319.468956418291	587.455425982826	340.577714579006	519.185442240393	511.307713828273	384.037420137088	325.397028165581	461.670440710442	309.199243626518
4.5	573.287297804771	548.026532094882	370.208235517985	332.185870295505	595.817926353518	347.273939436562	531.485162873823	523.097708903306	398.11438837217	331.901502616501	468.733640417023	316.984773677418
5	592.32894697707	556.55443921844	384.238546913994	345.607052107449	604.402598539271	354.123942776436	544.145897128603	535.445694704719	412.087155722454	338.685703608549	476.35370894836	325.210640761332
5.5	611.534303171259	564.802779723746	399.411004975458	359.645479289085	613.152712662003	361.086707000675	557.257848359979	548.393733865041	425.954761832636	345.729032739237	484.658183160222	333.894955351932
6	631.127185201955	572.993915276983	415.850360963513	374.181835708983	621.977548767503	368.130729123746	570.799825474598	561.931017886147	439.938844340512	352.999350431791	493.738071418043	343.044356986775
6.5	651.222806166117	581.274327846009	433.49756629035	389.11031290606	630.815048421037	375.259057675576	584.712499652194	575.998901913016	454.302518567339	360.473019221649	503.629217848604	352.682306817039
7	671.763724452335	589.686421169992	452.195035511284	404.36664914133	639.679992363019	382.518134937048	599.032541134094	590.518131979735	469.133583508656	368.151032221578	514.315916724425	362.869107804958
