Joint_angle	STR_PP_7__7	STR_PP_8__8	STR_PP_3__3	CON_PP_7__7	CON_PP_8__8	CON_PP_3__3
0	-183.420166599673	62.7667216092063	18.0222251461194	-145.353555385447	-14.7012721805149	-27.0288314602724
0.5	-189.724197399324	60.3841883536127	15.799402575095	-150.433275274997	-19.211002789592	-31.6440370546073
1	-196.179437195426	58.4533043528326	10.9860432786071	-156.270928900908	-23.6770900143674	-36.9218103026405
1.5	-202.512170558067	56.7229052476008	6.20357110572235	-162.443843029869	-27.5843778554638	-42.7519630036613
2	-208.667315067993	55.1258730633643	2.76235401119681	-168.874198222783	-31.6639141331674	-48.8998926189856
2.5	-214.856950446879	53.4059822625935	-0.925485614498655	-175.385159461744	-35.942884519526	-55.2055329799175
3	-221.339215691136	51.5316335784458	-5.38864552780916	-181.768762078579	-40.3925497524287	-61.6577937092875
3.5	-228.111816576562	49.7493574109828	-10.6316184499945	-187.897596754922	-44.9689037037911	-68.2523162355346
4	-234.839891115707	48.4217170495461	-16.4994019602029	-193.788414074812	-49.6372731178305	-74.838176510569
4.5	-241.101427509267	47.7913942586357	-22.9342960814234	-199.583660257321	-54.3640684862831	-81.1296146947521
5	-246.72189486962	47.8481593208312	-30.114604137558	-205.460193520054	-59.0919857563591	-86.8765149611221
5.5	-251.888823882174	48.3499329382563	-38.3242979747824	-211.528815620743	-63.7355507048194	-92.0598064807037
6	-256.945349492972	48.9836334905207	-47.7196318397678	-217.800475042807	-68.1929464681046	-96.8944873537373
6.5	-262.112493260057	49.5407205750287	-58.2385086147742	-224.239480430545	-72.3696840644117	-101.6202117503
7	-267.397075311005	49.9935711930275	-69.6769005742361	-230.881508912516	-76.2022152553093	-106.264475703698
