Joint_angle	STR_PP_7__7	STR_PP_8__8	STR_PP_3__3	CON_PP_7__7	CON_PP_8__8	CON_PP_3__3
0	5.29284628418031	-5.20015904345606	3.42308074774822	5.74134751345065	-0.175026423814536	-6.63372380967643
0.5	5.32775225349909	-5.17120255423512	3.4402546497744	5.82096599240051	0.0629814802178643	-6.64425279300826
1	5.38743116999773	-5.04144183221933	3.40861780978863	5.93635882797231	0.2986647868644	-6.78143887922984
1.5	5.44027124008838	-5.05074453991033	3.52305241264094	6.07054640111439	0.639814171613644	-6.85219239077013
2	5.49049152906042	-5.01988108792334	3.5269475529544	6.13234075631613	1.01605183440613	-6.92320995700681
2.5	5.55987090843215	-5.01135510234047	3.45602826277738	6.26352033369765	1.4158517794163	-6.89655473648359
3	5.59409219266411	-5.01644503160158	3.42436933448872	6.41445996773675	1.80790383995369	-6.83516628997373
3.5	5.56012631983219	-5.06805114740599	3.40906934754642	6.58539950649052	2.13908940305026	-6.83389634633496
4	5.57098939293553	-5.02433683641744	3.32243434433689	6.75702957716498	2.39249339483938	-6.77490236467178
4.5	5.58621475964793	-5.1001885666775	3.18367784728468	6.8447830452584	2.61319854296993	-6.7956680967963
5	5.60181290478256	-5.04522303541902	3.03576559785191	6.89845813570742	2.77530213099031	-6.76846986550529
5.5	5.59506537012611	-5.17771851608365	2.95601424613835	7.03248619564668	2.9733661541058	-6.84704947277163
6	5.51661598602341	-5.22622471373249	2.88403424690429	7.19192707145438	3.15120888640222	-6.86905910272878
6.5	5.46647067147272	-5.22972355396229	2.7192629400129	7.3185212996903	3.32035471659105	-6.89424811383834
7	5.48546110285975	-5.2870060858867	2.55359305656966	7.4187303125048	3.5944492263103	-6.92609100799027
