Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_3_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_3_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_3_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_3_CON_POST_L
0	-1.6690293309322	6.48895077605761	27.9831014443768	10.1825848272165	-2.39323267307348	39.2858478104187	13.6267106885891	22.7266826537558	15.5096934466525	28.9611600099236	23.0472626264902	0.108922938894225
0.5	-1.4417411319896	6.56855594545817	28.2475827455375	10.4774573098977	-2.27445591043887	39.6187976830304	13.8985981159132	22.7991279034514	15.9616269989341	29.4497306624529	23.6358651716615	0.498258476473573
1	-1.21009743788947	6.62055324856959	28.5304598082525	10.8316162503056	-2.01983438912513	39.8485388883801	14.0729809423634	22.7623999051419	16.5772272571425	29.9274760431863	24.106919475628	0.769042062429749
1.5	-0.999809467786032	6.70846562648785	28.6926940179784	11.1501496371525	-1.95459417598891	40.3153345754759	14.2250125083301	22.5293757042804	17.0000259161394	30.4298128021175	24.603377313471	1.00459974126165
2	-0.731818357512697	6.72759091911449	28.9095904150646	11.5179956254663	-1.88787561682921	40.5626328556097	14.5342617444015	22.2404207596493	17.4881902767085	30.9120128790688	25.1179514983285	1.29912887559062
2.5	-0.528350501535106	6.81274256657527	29.2704636926087	11.8668145419999	-1.7966757953204	40.7784937397759	14.7980712558456	22.0041779321429	17.797710553622	31.5238758484046	25.7377359855509	1.63733086810796
3	-0.239248791696586	6.98703706192032	29.679482617478	12.2192335027631	-1.64600346662246	41.1462773872387	15.0234624591181	21.7259647265707	18.1735722197083	32.1459487474522	26.2975301033506	2.10933628361683
3.5	0.0960515938928815	7.10485096694599	30.1027185399316	12.4640719739772	-1.621084154127	41.5709657567175	15.0941575504908	21.5615295009183	18.7610617668176	32.656912777544	26.8431701408662	2.64705351262856
4	0.3070458439415	7.19819596806127	30.6798804808633	12.6898739076904	-1.46621855177632	41.9839016178965	15.201265671682	21.4715696565647	19.1811286222116	33.2078250294425	27.297620784073	3.15425804137213
4.5	0.549378016389884	7.34191159552612	31.2399098660934	12.9553297744114	-1.45642356025886	42.246366435228	15.4623666710954	21.4385879748095	19.6731733745228	33.7058735204827	27.7401941995647	3.55849481171342
5	0.766763656710693	7.51832295057814	31.8934846055792	13.1977758165945	-1.20790548602678	42.5881061232141	15.747606004646	21.5464343707959	20.0097887187524	34.1421476665021	28.2013857103466	3.92251991050842
5.5	0.98737223578486	7.70971682637492	32.367092254522	13.3935785869045	-1.24513837724098	42.9050677214484	15.9842859832907	21.5363141693071	20.5585364611024	34.7328411714146	28.6186342643851	4.2562457584442
6	1.39180168260728	7.8770304504299	32.8258600312882	13.6054941140908	-1.17016830996196	43.2254215834999	16.0982927438224	21.5445748198075	20.9231743761497	35.2598383405909	29.0111647645217	4.5418233866735
6.5	1.72448880834422	8.08823795326667	33.3550848625198	13.8118331357239	-0.983322933341337	43.3884208264576	16.2204927349601	21.5801241607434	21.3129410282563	35.7114883960445	29.4130434573811	4.84356856859911
7	1.98547279856557	8.29095854795729	33.867259981623	14.1034909394422	-0.890110224187778	43.5304835303286	16.4415870054929	21.4800397083782	21.7045363569355	36.1994146744182	29.9017353602661	5.13292060784684
