Joint_angle	STR_PP_7__7	STR_PP_8__8	CON_PP_7__7	CON_PP_8__8
0	-7.2874378786899	-0.365335897266789	-3.83859854217405	1.59842437885737
0.5	-7.32234384800864	-0.394292386487734	-3.91821702112395	1.360416474825
1	-7.38202276450733	-0.524053108503495	-4.03360985669576	1.12473316817847
1.5	-7.43486283459799	-0.514750400812545	-4.16779742983783	0.783583783429265
2	-7.48508312357001	-0.545613852799477	-4.22959178503959	0.40734612063676
2.5	-7.5544625029417	-0.554139838382298	-4.36077136242113	0.00754617562654403
3	-7.58868378717369	-0.549049909121266	-4.51171099646024	-0.384505884910823
3.5	-7.55471791434178	-0.497443793316847	-4.68265053521401	-0.715691448007419
4	-7.56558098744506	-0.541158104305396	-4.85428060588839	-0.96909543979649
4.5	-7.58080635415752	-0.465306374045326	-4.94203407398186	-1.18980058792704
5	-7.59640449929213	-0.520271905303844	-4.99570916443088	-1.35190417594742
5.5	-7.58965696463571	-0.387776424639185	-5.1297372243701	-1.54996819906296
6	-7.51120758053298	-0.339270226990323	-5.28917810017782	-1.72781093135939
6.5	-7.46106226598226	-0.335771386760541	-5.41577232841377	-1.89695676154815
7	-7.48005269736927	-0.278488854836098	-5.51598134122827	-2.1710512712674
