Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_3_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_3_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_3_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_3_CON_POST_L
0	5.6851247448107	4.62759608645723	2.82118284145517	3.06268048794069	5.2134386757414	3.44280836401042	1.57086825702865	2.78833915672779	3.91772322411408	1.37528840907113	2.3048663940067	5.91749012480342
0.5	5.77173956363965	4.73059765164936	2.90116671723846	3.13988165326687	5.31038816577266	3.51804832945102	1.6517639417315	2.89148912313466	3.97436651572496	1.43730540410153	2.35401084299815	5.97793416941444
1	5.85752628594896	4.83686490646473	2.97840833069396	3.21004112257578	5.38725761464494	3.60517198802427	1.74202873833943	3.00602152423387	4.01015468860487	1.50001150248356	2.4149638805041	6.05451554587072
1.5	5.94527816788117	4.93805139436246	3.07088254846019	3.28386805818195	5.4912489674317	3.6637942526876	1.83417585950553	3.14130211740677	4.06972408145012	1.56001747657026	2.47293827669974	6.13563495427303
2	6.02640628735395	5.04791422441087	3.15592599222545	3.35177867320169	5.59466165572095	3.74810226600611	1.91031662070231	3.282241551764	4.12074743567428	1.62160361764208	2.52868783339579	6.20817976620692
2.5	6.1141892689661	5.14873988240986	3.22199208766174	3.42148390583334	5.69415713287208	3.83577559764409	1.990639782812	3.41716067016892	4.19377923048806	1.6704347229334	2.57320337016489	6.2742796041606
3	6.19231410701393	5.23749102781298	3.28146986526263	3.49043068134195	5.78465691660673	3.90505163236204	2.07444587124565	3.55623788407272	4.25814281278314	1.71794194936257	2.62357358912042	6.3213879533256
3.5	6.26506502282625	5.3333015306415	3.33874560977584	3.57116378058612	5.89304386126017	3.96720785312845	2.17331849872307	3.68273017390001	4.29564566175266	1.77573500667384	2.67505708889518	6.35898342274704
4	6.35096558810238	5.4319652860646	3.37575778464905	3.65369256548339	5.98220684374034	4.03039303606114	2.26821934310621	3.80086258694236	4.35375182820807	1.82935835295762	2.73562256307456	6.40046082793064
4.5	6.43310669719896	5.52364891930338	3.41462078643566	3.73139484178814	6.09206066167107	4.1110713799687	2.34743508178418	3.91251608219678	4.40248398848764	1.88769371298665	2.79706579569374	6.45590618644237
5	6.51760306981858	5.6106747846418	3.44102621111539	3.81134111977286	6.16690311068267	4.18197484603501	2.42390184444251	4.00867675551173	4.47031768821946	1.95159379299372	2.856232286925	6.5165836141259
5.5	6.60139438637471	5.69537026976939	3.49033365814461	3.89619802108143	6.28285415081721	4.25545325196829	2.50486178606269	4.11716515260081	4.51122747987575	2.00036974526082	2.91959348249875	6.58111326460826
6	6.66486056306353	5.78286794139831	3.54119553471054	3.97888462424802	6.38215642135288	4.32816312027398	2.59769814111453	4.2233238604103	4.57483012299675	2.05489434410744	2.98516071836019	6.65197978172193
6.5	6.73576587830169	5.86423648878423	3.58258468201924	4.06184818361578	6.46485747591107	4.41918314600658	2.68937397381687	4.3261952822412	4.63492512993025	2.11628252103807	3.04941011089315	6.72023016705647
7	6.81410607498521	5.94635836973106	3.62581394625132	4.13483275395994	6.56078387890975	4.51232216638125	2.77085363171699	4.44329365946179	4.69443009356326	2.17385238212252	3.10432851710876	6.78984017734634
