Joint_angle	STR_PP_7__7	STR_PP_8__8	STR_PP_3__3	CON_PP_7__7	CON_PP_8__8	CON_PP_3__3
0	6.8179087942637	-7.09479553121112	2.47766893431973	5.7848218721451	-0.732971800213996	-8.16757490880223
0.5	6.85856601874573	-7.08286772186842	2.46937596061965	5.88338366423147	-0.509406521894263	-8.20958365271883
1	6.92016880357863	-6.97398312241086	2.43181032946893	5.99038560713005	-0.283758028673709	-8.38020814244091
1.5	6.9839082964193	-6.99846409304622	2.5379533656095	6.11780686467491	0.0433173742716093	-8.47920191647947
2	7.04564834609203	-6.98474020943708	2.51074090528991	6.18381424416884	0.386742953110492	-8.57255921371191
2.5	7.12325909267733	-6.99734950707332	2.39259876095107	6.32594109411769	0.761268228208884	-8.54659954252278
3	7.15512731981116	-7.0152394965577	2.32111389470099	6.47429475018877	1.1316851601868	-8.50320640125733
3.5	7.12045097468039	-7.07034836369326	2.27219743167208	6.65777945071527	1.4423050355468	-8.50904524326587
4	7.13982982880929	-7.03460636782314	2.13387671197153	6.83832373206312	1.68921051532029	-8.43886467869011
4.5	7.16133465812448	-7.12061199456692	1.95801088226233	6.92691300362784	1.91930028509561	-8.46309082096182
5	7.18395599646448	-7.07840161790575	1.79131543722887	6.98031982942307	2.08747554902597	-8.46368847421543
5.5	7.17960775021271	-7.24221140965996	1.68621309895608	7.11491111324689	2.26271988460439	-8.55190268586419
6	7.10124165150002	-7.30275881589264	1.59430163949973	7.26998837663209	2.42440100671048	-8.57590377048172
6.5	7.05161241389749	-7.31299858316628	1.41456004592815	7.40247205503197	2.56371799450464	-8.60797272579293
7	7.07349706179079	-7.39866493887921	1.22916218002343	7.50438254574867	2.81180381686115	-8.65333870761071
