Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L
0	43.0096403996146	62.0342943473134	51.5885491938783	61.7374988161022	47.9188462222933	60.8417782791612	51.6486680944384	59.6638064789473
0.5	43.0903730387806	62.084770549649	51.7099390575264	61.7999028277806	48.0150007046275	60.8591584902914	51.8433843688589	59.9047519683971
1	43.1776031721806	62.1239250580693	51.8587719757592	61.9479419356584	48.0837146691265	60.826483123358	52.0191002762565	60.0977250946843
1.5	43.2544712112339	62.1809214249486	51.9993795076532	61.9804573319024	48.1450656613505	60.7059177826223	52.2078725260254	60.3042351568939
2	43.3597038488862	62.2062379996472	52.1663521949782	62.0194977902101	48.2670764896494	60.5763972533119	52.3958907338183	60.5181402064224
2.5	43.4377070383357	62.261862105132	52.321966131013	62.0625125980587	48.3563269901392	60.4615362881604	52.6272680842569	60.7778045163693
3	43.5541274200637	62.3700162590592	52.4702547398748	62.1527767625015	48.4393521770235	60.3270954051767	52.8586469272122	61.0137805653635
3.5	43.6902897309718	62.4434319294567	52.5717407056522	62.1710835657634	48.4569440103744	60.2479167792731	53.0597234610896	61.2452218148199
4	43.7743611154932	62.4984049904385	52.6751909443025	62.2617986226154	48.4890006085215	60.194817387677	53.2723243405846	61.4390279029973
4.5	43.8747929696108	62.5846803499664	52.7971276277353	62.2620683553995	48.585172157433	60.1496647053586	53.4570851610608	61.6239649904543
5	43.9659155274602	62.6947314895358	52.9108715239246	62.41432987163	48.6936770447084	60.1783174230389	53.6189968741315	61.8207929720649
5.5	44.0571759685792	62.8130308086677	52.9977837187919	62.3688193990077	48.7862481389307	60.1775754308228	53.8461592521776	61.9952953154272
6	44.2258427300541	62.9103528658234	53.0880843815541	62.4055940499308	48.8247972318142	60.1811892368465	54.0397856084463	62.160590243557
6.5	44.3686369082449	63.0374923999796	53.1812493221423	62.5224938168133	48.8612462658809	60.2057769849891	54.2087183209128	62.3244949794938
7	44.4814278462291	63.1647054395484	53.3159249080199	62.5640405006692	48.946724962016	60.1647353543307	54.3961075077646	62.5315391711918
