Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_3_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_3_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_3_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_3_CON_POST_L
0	43.0096403996146	62.0342943473134	56.7261302958213	51.5885491938783	61.7374988161022	56.0417992301411	47.9188462222933	60.8417782791612	52.0007285896884	51.6486680944384	59.6638064789473	49.3391536808862
0.5	43.0903730387806	62.084770549649	56.8524253577845	51.7099390575264	61.7999028277806	56.1598013184042	48.0150007046275	60.8591584902914	52.2329400954388	51.8433843688589	59.9047519683971	49.52935644272
1	43.1776031721806	62.1239250580693	56.9791765992405	51.8587719757592	61.9479419356584	56.2489869287095	48.0837146691265	60.826483123358	52.5224639888076	52.0191002762565	60.0977250946843	49.6482558463667
1.5	43.2544712112339	62.1809214249486	57.0564647475482	51.9993795076532	61.9804573319024	56.4324181131577	48.1450656613505	60.7059177826223	52.7314989832957	52.2078725260254	60.3042351568939	49.7582970668162
2	43.3597038488862	62.2062379996472	57.1775756785221	52.1663521949782	62.0194977902101	56.526316583812	48.2670764896494	60.5763972533119	52.9526362023449	52.3958907338183	60.5181402064224	49.886076988633
2.5	43.4377070383357	62.261862105132	57.381216809826	52.321966131013	62.0625125980587	56.611815570777	48.3563269901392	60.4615362881604	53.0811725537363	52.6272680842569	60.7778045163693	50.0405730112135
3	43.5541274200637	62.3700162590592	57.601090318976	52.4702547398748	62.1527767625015	56.760204213677	48.4393521770235	60.3270954051767	53.2446361601941	52.8586469272122	61.0137805653635	50.2474297589368
3.5	43.6902897309718	62.4434319294567	57.8189311367018	52.5717407056522	62.1710835657634	56.9291285683739	48.4569440103744	60.2479167792731	53.5114196130397	53.0597234610896	61.2452218148199	50.5083743697739
4	43.7743611154932	62.4984049904385	58.1130410096199	52.6751909443025	62.2617986226154	57.0849177215915	48.4890006085215	60.194817387677	53.6960855559897	53.2723243405846	61.4390279029973	50.7632208772996
4.5	43.8747929696108	62.5846803499664	58.3860777387319	52.7971276277353	62.2620683553995	57.1820886209942	48.585172157433	60.1496647053586	53.9183786479975	53.4570851610608	61.6239649904543	50.9612878270357
5	43.9659155274602	62.6947314895358	58.6873660898463	52.9108715239246	62.41432987163	57.3166815270752	48.6936770447084	60.1783174230389	54.0815561279525	53.6189968741315	61.8207929720649	51.1238676537371
5.5	44.0571759685792	62.8130308086677	58.9213298313184	52.9977837187919	62.3688193990077	57.4455429302745	48.7862481389307	60.1775754308228	54.3178933425238	53.8461592521776	61.9952953154272	51.2719906566596
6	44.2258427300541	62.9103528658234	59.1414095161257	53.0880843815541	62.4055940499308	57.5737111556254	48.8247972318142	60.1811892368465	54.480878991113	54.0397856084463	62.160590243557	51.4109752206313
6.5	44.3686369082449	63.0374923999796	59.3915528967539	53.1812493221423	62.5224938168133	57.644112942682	48.8612462658809	60.2057769849891	54.6569496395985	54.2087183209128	62.3244949794938	51.5549769138056
7	44.4814278462291	63.1647054395484	59.6339667540777	53.3159249080199	62.5640405006692	57.7011289341012	48.946724962016	60.1647353543307	54.8363127198332	54.3961075077646	62.5315391711918	51.6889740122224
