Joint_angle	STR_PP_7__7	STR_PP_8__8	CON_PP_7__7	CON_PP_8__8
0	8.5789087942637	-0.29679553121111	3.7298218721451	-1.177971800214
0.5	8.61956601874574	-0.284867721868409	3.82838366423147	-0.954406521894263
1	8.68116880357863	-0.175983122410855	3.93538560713005	-0.72875802867371
1.5	8.7449082964193	-0.200464093046207	4.06280686467491	-0.401682625728391
2	8.80664834609203	-0.186740209437069	4.12881424416884	-0.0582570468895085
2.5	8.88425909267733	-0.199349507073308	4.27094109411769	0.316268228208884
3	8.91612731981116	-0.217239496557688	4.41929475018877	0.686685160186798
3.5	8.88145097468039	-0.272348363693254	4.60277945071527	0.997305035546795
4	8.90082982880929	-0.236606367823136	4.78332373206312	1.24421051532029
4.5	8.92233465812448	-0.322611994566913	4.87191300362784	1.47430028509561
5	8.94495599646449	-0.280401617905738	4.92531982942307	1.64247554902597
5.5	8.94060775021271	-0.44421140965995	5.05991111324689	1.81771988460439
6	8.86224165150002	-0.504758815892636	5.21498837663209	1.97940100671048
6.5	8.81261241389749	-0.514998583166275	5.34747205503197	2.11871799450464
7	8.83449706179079	-0.600664938879206	5.44938254574867	2.36680381686115
