Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L
0	10.934313728603	11.6877345744717	16.2949016909605	8.15357594390852	13.3390406026544	15.6605640682835	12.2917567457901	17.2349474995951
0.5	10.8049730172262	11.7060238535201	16.2315875129523	8.07082474090071	13.2455832042895	15.5982006517026	12.2869106435739	17.0973413345193
1	10.7068702372329	11.745404359692	16.167196271214	7.98572317174562	13.2212690941446	15.5492923724569	12.2076830310522	16.9876965902078
1.5	10.6009758528642	11.7709615706366	16.1351017922085	7.92797161876318	13.2074186251504	15.531962816405	12.1448847016749	16.8819601363965
2	10.5169395750877	11.833438926133	16.1156646919802	7.90713778992767	13.1651899235216	15.5783127430286	12.119478478191	16.7720087404524
2.5	10.4394223245705	11.8597339871744	16.0869946276607	7.80925507885938	13.0536677687753	15.5858210416933	12.0507755822447	16.6460618577948
3	10.3690318037702	11.8883823338943	16.0242342247142	7.77586035142191	12.9927360167223	15.5975059565025	11.9614210433311	16.537007109466
3.5	10.2954895527862	11.9089977137901	15.9748553525016	7.79311542976926	12.9301727846139	15.6053907203384	11.9445373256044	16.4353904413879
4	10.2375093873144	11.9113960667878	15.9668677547734	7.74487017874849	12.8628966001943	15.5763504897964	11.9050638356614	16.3541954250112
4.5	10.1989501237814	11.9221834614079	15.9587237201582	7.70471324070727	12.7918084493413	15.4776026459316	11.8315399175021	16.263119950558
5	10.1718683615119	11.9532913226199	15.960316863108	7.67236184276568	12.7319663175784	15.3922227286252	11.7675283692259	16.1814031843206
5.5	10.1356061006337	11.9821084599786	15.9428817147624	7.5209349591495	12.6955437572375	15.4069784990397	11.7217339623963	16.0961406877017
6	10.0791318805532	11.9810348923112	15.9098123661942	7.44704876389354	12.646456913403	15.4053326365548	11.6346020354172	16.019594941773
6.5	10.0622645878383	11.9980278555317	15.8974946245485	7.43945362079503	12.5681308395584	15.4294419623104	11.5753529387149	15.9241261668912
7	10.0547046299255	12.036320105582	15.8914248054609	7.31704307141952	12.528830663013	15.4588110337789	11.5366763288313	15.8329661491692
