Joint_angle	INT_1_STR_PRE_L	INT_3_STR_PRE_R	INT_4_STR_PRE_R	INT_5_STR_PRE_R	INT_6_STR_PRE_R	INT_7_STR_PRE_L	INT_9_STR_PRE_R	INT_10_STR_PRE_R	INT_11_STR_PRE_R	INT_13_STR_PRE_L	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_19_STR_PRE_R	INT_20_STR_PRE_L	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_29_STR_PRE_L	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_1_CON_PRE_R	INT_3_CON_PRE_L	INT_4_CON_PRE_L	INT_5_CON_PRE_L	INT_6_CON_PRE_L	INT_7_CON_PRE_R	INT_9_CON_PRE_L	INT_10_CON_PRE_L	INT_11_CON_PRE_L	INT_13_CON_PRE_R	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_19_CON_PRE_L	INT_20_CON_PRE_R	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_29_CON_PRE_R	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_1_STR_POST_L	INT_3_STR_POST_R	INT_4_STR_POST_R	INT_5_STR_POST_R	INT_6_STR_POST_R	INT_7_STR_POST_L	INT_9_STR_POST_R	INT_10_STR_POST_R	INT_11_STR_POST_R	INT_13_STR_POST_L	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_19_STR_POST_R	INT_20_STR_POST_L	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_29_STR_POST_L	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_1_CON_POST_R	INT_3_CON_POST_L	INT_4_CON_POST_L	INT_5_CON_POST_L	INT_6_CON_POST_L	INT_7_CON_POST_R	INT_9_CON_POST_L	INT_10_CON_POST_L	INT_11_CON_POST_L	INT_13_CON_POST_R	INT_15_CON_POST_L	INT_16_CON_POST_R	INT_19_CON_POST_L	INT_20_CON_POST_R	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L	INT_29_CON_POST_R	INT_30_CON_POST_R	INT_31_CON_POST_L
-7.5	59.3948587407897	46.5926172567377	59.1964014350066	56.3142260159761	33.5991144256126	33.1060383849558	34.6827221160347	18.8060954430094	36.665060606726	49.2919479529998	58.9156120938072	59.036866845429	27.1280757312392	26.5931081356776	13.1268664621571	32.4252222285326	36.1079934794781	39.5656759403984	46.5113678276235	58.2870285151937	38.0669970776432	42.289465419566	43.8373660791482	52.7784571737534	56.0289988968748	44.2698749887629	55.2403619228604	50.0582360749946	45.8081172188163	26.1562164597094	52.3551132186873	38.5444736033735	45.640904470714	22.5959565464278	58.371018657864	48.2220149051641	56.0234463260488	63.8769499827593	54.9013511068966	70.4392638199414	77.9235095915345	125.955139424587	80.698839774847	76.0025625284716	34.5666156656109	36.1998219742004	39.1181246629561	34.0624067426335	NaN	103.022283254456	48.1317001891286	69.3732036263658	80.093320334815	70.2842270599792	76.3866892204216	73.7961271014482	39.4749361839145	NaN	41.2133523711714	25.9227113324229	32.2178812134213	30.5350242098852	NaN	50.6290176770921	42.2036937889188	39.3727211724028	31.4220528337354	41.5864571436509	62.7814509751312	48.5079314225288	52.5315849536007	53.0567910805973	63.4432271802148	54.6641709008684	55.5305435960446	61.0149323164706	49.9955296126158	51.4362533722995	53.750048102398	58.5022674947431	49.0549346448093	39.0036420031607	50.4245877643815	57.3947563646439	70.1303771033152	38.4574785537059	60.7753648264007	61.8521651022974	35.3844087116776	24.6749952763516	40.3113201967286	28.2000307324278
-5	70.2771592245459	58.2892040998688	72.9205325958742	69.9115005994454	40.6336017158788	39.3588792152134	41.4749351003162	26.7871726538311	47.013761707079	62.7126390580842	69.681009567407	71.8057953758571	33.6303905284845	32.1230405041503	19.5998590635781	37.3155506627683	50.4691416795889	53.3912805562307	61.9030442899886	72.3437360925548	47.2681234766996	51.4511804209113	54.0225175678611	62.5248401982431	68.6360511736146	55.4373341399138	68.8432437024086	61.2622838980043	58.4725371593596	41.5891720247574	64.6892299299254	49.7581194463363	59.1307660654601	36.366075481081	71.9206133876897	61.1283694099242	69.8800646742413	81.2686876900154	69.9788069456214	87.9108604661485	99.4358034828822	137.246005146052	102.287673062792	95.9280281115871	42.1191510245217	43.8502625121146	47.030658741929	41.7999060118932	58.2014653187846	113.805406076445	66.9386505415659	83.5059357129502	97.6165232437698	87.8110517512207	93.1760460348533	91.0821139196312	57.3515348236344	NaN	60.1285391055171	59.6717814491221	48.45187652325	43.5859999283349	36.4321748661178	65.8450837959921	51.9890328626134	49.7247469667562	40.1928823120471	52.2498242904876	78.623935636344	63.8217373552748	65.6500514036752	66.6785438028749	75.8309042043528	69.2980086262919	70.6989048558728	74.7261943714222	62.1135314500842	63.5863237455555	63.4846488019816	68.8460890173436	59.9943726039784	52.1462902530467	60.0842504649063	70.1624363524066	86.578670108637	52.0385261686974	76.1929193217731	74.3690759791118	46.459993829452	34.9601187782496	49.7309306041015	39.4473229002474
-2.5	78.324953888471	67.7854846191497	82.9178743896723	79.7575159526832	46.6060930575721	44.9115754380841	46.8643815041066	34.4888038243641	56.7583014456941	74.8382654830137	77.3061369707547	81.3444454190226	39.6637928089626	37.1468996448043	25.2178173305888	41.2187183750985	63.9187107663542	67.6618630201891	74.9672586074632	84.9705168256132	54.1477341853634	58.7054811300012	62.223910736636	69.1902598486348	78.4223382515855	65.3594841124753	79.7041464813808	69.6818639905698	68.4596333231668	53.8482822722306	73.862197627632	61.133364851101	71.5352880107843	50.0886431540698	82.4641178317693	72.0133056284509	80.7628676332846	95.3317405334461	82.2156537455119	101.320716355586	112.075645952231	141.323671188546	117.226087254157	109.964910271947	47.966960516625	50.6428977439403	53.0374495409322	48.592474009401	76.8589550938707	118.259197607912	84.6724137562112	92.5304739992148	109.470857070291	101.287340289354	104.635042426397	103.339539046103	74.8742602827877	44.5617437743943	80.2825656832349	80.2315691860386	66.8712594991487	59.4277609844177	52.8390612073547	80.2808574038849	59.5781446956544	58.683884047182	48.3963320124232	61.6752471284089	90.134862334004	78.4617051743242	76.2973523740225	77.722593136857	84.6109809556328	80.7743610166131	82.5666849926461	84.2725993397989	70.901194804591	71.5747553701181	69.5504069519583	74.4573555380949	67.8024589774299	62.0734140187508	66.4086698086246	78.558702762429	99.4463090005661	64.9546626687692	87.5785231854054	84.2515406629171	57.7981991309891	42.1127324243893	57.5622144553181	50.3001717015111
0	84.1262659374979	74.8610518480466	89.5851240888094	86.3768312290795	51.630761497423	49.3797518018175	50.5588750247449	41.5514479928383	65.4826779216812	84.441081553452	82.2965475089356	87.9749494923736	45.0426469292839	41.4331710926547	30.7777363573669	44.3915009140854	76.102390004431	80.560141687567	85.0059669793135	95.4819360869871	59.2002516907413	63.9999822713708	67.9994679442313	73.2167925652529	85.7257668623645	72.8771903570511	87.5991922541851	75.0956956467755	76.2133232473901	64.5305177615014	79.8734017027696	71.4423558678589	81.9041412633485	63.8774395962866	89.8306466145265	80.5291810884191	89.3595415487953	106.094835374996	91.2485759642882	111.02299505809	116.795423473468	140.33333475257	126.338343812997	118.63782343502	52.1399217307519	55.8923563753569	56.9159792064426	54.0276146191931	92.8214725136633	118.806184289147	99.7582909361088	97.212364038333	115.472439065366	110.005035047259	110.953592321184	110.842746795967	91.7938060687932	63.0519369683139	98.5179607797385	98.5290601658904	85.3136549421249	75.8840088732785	69.0410324610432	92.7036577818466	64.8224948155861	65.4192887748533	55.3736258436142	69.2722762466296	97.3424937622154	90.4640928803138	84.3602275529007	85.7930652703837	90.3390525420218	88.5281436985086	90.3691304546324	89.9041065041231	76.7040366152469	75.9495800081023	72.6117782306052	76.5205810250713	72.7967275587065	68.8785095766386	70.1031451939858	83.3075381993885	108.752296037461	76.6064388817803	95.551257094341	91.6202186339248	68.149863250778	47.7465274193473	63.6194558286041	60.2844778898105
2.5	88.1254675995559	79.9982674491418	93.6713273178101	90.6702396070348	54.9509714653918	52.5924105324587	52.6267969723867	47.1025516994501	71.7594965099841	91.444712589537	85.0487912884476	91.9754277619768	48.9840384335572	44.4400903975806	35.5493258227111	46.7125910357334	85.6568508603884	91.0870863138657	91.9654838966755	103.501125767534	62.4442003593965	67.4591425776111	71.367905175465	74.9369466198066	90.4224612388587	77.7475546461761	92.4937537776411	77.6518285840212	81.4504379017784	73.1659236808906	83.310006979675	79.6864426293068	89.5403401096584	75.5879704026743	94.3211487743295	86.5939692457301	95.8587817057292	113.519825140074	97.2506015211038	117.590441444066	115.794908782504	136.225358994193	130.895385984715	123.052721810626	54.5616930960725	59.3823621921856	58.9802195685811	58.1515775559393	105.676690113914	117.857328817074	111.068395741477	98.2686558442358	116.515717546715	113.681423242939	112.54522962332	114.003469241311	106.257310500216	81.4862427080078	112.943731361968	113.465364725033	101.693314476689	91.1295411125768	84.4550770387834	101.838266430355	68.0874984898196	69.9819486686771	60.4512670274125	74.5266567089291	101.486606065034	99.0743196336231	90.0242663237458	90.8002115252284	93.4628182906718	92.3873873427401	93.9122602046905	92.2457588696535	80.0546047045066	77.768891184533	73.5900817089357	76.4795485468777	75.6203471248924	72.5507127041463	71.8931908163071	85.3315667470652	114.759681778189	86.3548673832687	100.564469635094	96.3783774119101	76.3626633934583	51.9306710810043	68.0367582695295	68.6926791869983
5	90.3578875098304	83.2030406453973	95.8458719334338	93.1673779532512	57.0945114957625	54.4695395700768	53.2624881464828	50.7494914763941	76.4769418067918	95.6140537603222	86.0096161406336	93.7784764534434	51.5387494464315	45.9867884478362	38.9788413051556	48.1502123112627	92.0103249319611	97.4921208711196	96.1353352578221	108.496599567126	64.0983206975817	69.2993894593644	72.5625984884579	74.816135856953	92.8485671413134	80.1959581310372	94.6257789298895	77.8125794532945	83.5638954468811	79.3437272800494	84.5214182608191	84.9538025923118	94.5422673424782	84.1399829838363	96.4093020046735	90.1576109294009	100.445433281228	117.742506028118	100.533809107412	121.62123055767	111.752599070689	130.912386179166	132.0725033686	124.426259836261	55.5865192554202	61.0024211209066	59.5126890518674	60.897415371425	115.294151603784	116.97683845022	117.820954756013	96.7422982232919	114.159844629095	113.002949564624	110.304146051457	113.787058495765	116.983362477155	98.4091899206782	122.819888023733	124.668568419211	113.828312374203	103.178123938943	97.7455435440293	107.342925545058	69.8058377209639	72.2158044688533	63.1763694360911	77.4318547527183	103.27964921945	103.3677464265	93.3568189387678	92.9909765237491	94.2084951105458	93.1296876306359	93.3873868619568	92.2808542495855	81.3130545598324	77.7063721568875	73.3005983982552	75.4601525596141	76.9739417742558	73.5365827621031	72.4027822834491	85.5545645530935	117.782174897817	93.4898596104772	103.167470024933	98.623731432436	81.7033808710912	54.7348959035089	70.8400704951492	74.7726713843115
7.5	90.5607568313416	84.8516193103719	96.4354295502802	93.9755818609251	57.8613411597399	55.21877404388	52.7954145678941	52.5947437273541	79.2185670777743	97.1108830180901	85.3601397692509	93.7109385764417	52.4958191003192	46.193000352784	40.9395928021708	48.537765032529	94.8735778608594	100.627930176129	97.7876452098641	110.374983673927	64.3962496274637	69.3897483601593	71.8525276490098	73.0913166395934	92.9313027759216	80.2556863593827	94.2620138804315	76.2266332379923	82.716776294572	82.6746128921196	83.6952515198823	87.0738812880256	96.8687610555201	89.1204421212373	96.4140926782111	91.2874735441741	102.937133566007	119.154100649082	101.335142139821	123.218837275643	106.518788715474	124.677425018486	130.589726905292	123.555457933138	55.4250774885983	60.922763820044	58.7762093638576	62.2682251865326	121.400025697076	116.066689767563	119.906313941357	93.1843257048935	109.296577582331	109.044326334837	105.173478337758	111.118891364102	123.351246777971	112.162684831784	128.508060133016	131.61481908098	121.020960137316	111.042823309622	107.601999447656	109.314992838965	70.1568536380575	72.4228924136274	63.5509217391417	78.2181947717819	103.318680397121	104.285093238742	94.4203153001965	92.6789937403231	92.4975217273863	91.5891637942548	89.3310539842426	90.8456674062012	80.9177254639119	76.4729213508162	72.103517660192	73.9266521349401	77.1785122633241	72.3102077122974	71.9073898172867	84.5021117285256	118.205944748961	97.4703013582546	103.715079183223	98.4295266612562	83.867309638996	56.1071452722423	71.9670453404382	78.4401709691682
10	88.7106033778725	84.7305891821513	95.4226953392495	92.9512451129754	57.3765156164532	54.9383845777002	51.4917976950171	53.0011474235241	80.2351194395225	96.188897837129	83.2658002059163	91.9772145221596	52.0288344317343	45.1458610770493	41.5083957488806	47.6723788751171	94.7272349976281	100.683981768962	97.4502201646165	109.324617511133	63.4430655654581	67.8091909346575	69.5617473963534	69.9916986250111	90.6745965702627	78.3873907609902	91.6741920950702	73.4906700079553	79.2387217742152	83.2394705427107	81.02399303283	86.2568501055721	96.8717638455473	91.1536454691494	94.6010490095787	90.0236953171389	102.820033297791	117.985999468431	99.9152645944962	122.300865821386	100.844261110049	117.571397781976	126.673738641647	120.709351094472	54.2292743769307	59.3438241949813	57.0050913075294	62.2768825181563	124.036769190562	113.709205779607	117.90377339599	87.7184135578412	102.649857408745	103.260107392538	98.0465253800626	106.789916014997	125.489098075032	121.73450382591	130.782057178619	134.456958594816	123.236262346872	114.428279568772	113.135155291686	108.34914357596	69.2043504035548	70.8147133326185	61.86251903217	77.1866488762807	101.649099962191	102.228176680376	93.2386414905888	90.1521863185447	88.3748693686036	88.4269384408312	82.7245700303733	88.3320338956876	79.2413370708562	74.3135850446485	70.0231793193153	71.7855421076599	76.2854437478401	69.2581103839481	70.3930947533119	82.3444049365194	116.268917444672	98.0853988537186	102.306161494608	96.0657390734311	83.1472837884827	55.960748767268	71.3106880587673	79.8195445409782
12.5	84.697394131136	82.7988023695662	92.7009670102706	89.9900464079698	55.723128616812	53.7536454873048	49.5472881662863	52.3606821414559	79.7064698922418	93.3296038592786	79.9415074725536	88.771229347327	50.4725703506521	43.2096920391857	40.9566625919264	45.5219991050853	92.3116027361985	98.3849871064284	95.572412160269	105.825771736779	61.3250890078667	64.6203083884689	65.9151507126515	65.7011323091868	86.3139830388534	75.1542184956347	87.1088042373046	70.1139205436356	73.5366268884797	81.5449994930282	76.7579208948142	82.9948161472665	94.7515989915739	90.9277557250806	91.0776347275662	86.3955503535791	100.047017496059	114.229854043554	96.4862405347201	118.745404313283	94.1512019059778	108.516042520485	120.232473095333	115.873487822059	52.1832000590961	56.6155209870327	54.3825673718444	60.8993262523223	123.183504005408	107.938334849231	112.675279755496	80.1254080663638	94.8694392923699	96.9957352526431	89.6584731071482	101.275373567864	124.058786872182	126.151572676909	130.450295649142	133.693434020153	121.294231964393	113.603872351856	114.222014386863	105.115849767636	67.1419001605733	67.8079118135423	58.5926426637405	74.6784996897377	98.0888891463817	97.8792464937547	89.8980224536552	85.5878091944536	81.9887685653466	84.2381897697508	74.4304048261554	84.7882853242543	76.4499851325573	71.3145579011348	66.9506920285282	68.8036772742616	74.3259534837533	64.8660596731398	67.7626269853971	78.9723879578329	112.237072232856	95.5401230552209	98.889296057452	91.8810571357436	80.2323746680093	54.3398060133523	68.8753633421386	79.1258061084699
15	79.3218868337273	79.2279338943481	88.3493436735416	85.3472100302787	53.092979672897	51.6573530088797	47.1164132086851	51.0242969737269	77.7314409772664	88.8017956113269	75.7743719886582	84.3174783298105	48.1596602475986	40.738069456661	39.6154421097049	42.2303317425047	88.5439254139367	94.534091741175	92.5467559463866	100.65580486947	58.2727794697651	60.2784922616831	61.191438522242	60.6697985074955	80.0745888693942	70.7554721128391	80.8994590166131	66.4361290259449	67.1055912596292	77.7493707898824	71.3576175569085	78.0974471674754	90.7387128477161	89.0205687282904	86.0374387687648	80.6436854602084	94.993797183729	108.222352795918	91.429206355875	112.769750966213	86.619552132189	98.63789958874	111.58173133916	108.963777161904	49.4328930325461	53.0476181713671	51.147847118191	58.2806528614747	118.836738330026	98.0996690754128	105.345707347865	70.4698949132795	85.5658654548591	90.89121679846	80.7423341325796	94.9625274937913	120.289424572749	126.083219863246	127.997192740523	130.332232033237	116.281447752271	109.39314702666	111.406251088828	100.266511365936	63.9389126801392	63.666494758518	54.3533780501311	71.0457286144523	92.8613318174558	92.0274429894302	84.8693074739172	79.3406227269532	73.4969498675	78.9543042735453	65.6107233585113	80.1131517694813	72.8167616239606	67.5346976152113	62.930394427964	64.894764196765	71.3327122993231	59.5404638189269	64.0637230302804	74.4244104346589	106.602110405103	90.5409885511752	93.7188423741671	86.5753986818686	76.0057225004168	51.586985389297	64.8617504188856	76.5102738892622
