Joint_angle	STR_PP_1__1	STR_PP_2__2	STR_PP_3__3	STR_PP_4__4	STR_PP_5__5	STR_PP_6__6	STR_PP_7__7	STR_PP_8__8	STR_PP_9__9	STR_PP_10__10	STR_PP_11__11	STR_PP_13__13	STR_PP_15__15	STR_PP_16__16	STR_PP_18__18	STR_PP_19__19	STR_PP_20__20	STR_PP_21__21	STR_PP_22__22	STR_PP_24__24	STR_PP_25__25	STR_PP_26__26	STR_PP_28__28	STR_PP_30__30	STR_PP_31__31	CON_PP_1__1	CON_PP_2__2	CON_PP_3__3	CON_PP_4__4	CON_PP_5__5	CON_PP_6__6	CON_PP_7__7	CON_PP_8__8	CON_PP_9__9	CON_PP_10__10	CON_PP_11__11	CON_PP_13__13	CON_PP_15__15	CON_PP_16__16	CON_PP_18__18	CON_PP_19__19	CON_PP_20__20	CON_PP_21__21	CON_PP_22__22	CON_PP_24__24	CON_PP_25__25	CON_PP_26__26	CON_PP_28__28	CON_PP_30__30	CON_PP_31__31
0	-7.2874578478631	-6.38201322928097	2.02467925210021	-4.13445393244496	-5.22022780813239	6.09062983570607	-10.2751062843309	-2.94555329423002	-19.8813893104056	19.8256158441806	2.1485873966314	-6.6048536198399	-3.99953698990771	1.50149098334413	-0.129915155632432	5.09245467294704	-12.5543732319895	-1.49695700625205	3.49652155381273	-6.21599174296136	1.1985837624531	-3.18277402043066	-5.68100836224505	14.7604280557765	-5.89074597727489	-4.39414724716613	2.30634964154848	6.63372380967149	-0.248625534444614	1.36492692924986	-9.7868114229363	1.4794706020528	-2.06244257685631	2.33316062825764	-7.25143857667081	-10.4940082921211	0.636355748308404	-3.44042154522117	4.69819041063204	-4.01112683229309	-22.2504276883421	-1.47870234868327	2.77783667801117	-1.38098191729432	-6.38747895266118	-9.18636886299549	-9.56618204194621	-3.0166334443785	6.07319465625989	-10.8750715225373
0.5	-7.46922209703371	-6.44640976633849	2.00750535033359	-4.04216649423415	-5.32539709130401	6.05682027143183	-10.3100122525847	-3.02182378986788	-20.0629033686685	19.5622875186385	2.03735412411061	-6.8664626444866	-4.08617590719206	1.47352944711508	-0.354135050624848	4.85944730277441	-12.6226612164632	-1.6039883130793	3.38885560169297	-6.20423795042217	1.32138423870879	-3.3636415037372	-5.77607889184924	14.907356384969	-5.81687557179259	-4.63563734756224	1.95280464977952	6.64425279203795	-0.380525839144184	1.31840183040481	-9.93928849881314	1.34943639468298	-2.30045047856186	2.14108029316128	-7.35453535272268	-10.7203319549149	0.548501151535049	-3.6886433564066	4.72188665249365	-4.38398565447716	-22.5302029278217	-1.47399071801703	2.36044178858327	-1.31595762175976	-6.50645114713222	-9.72263594398083	-9.58065075846014	-3.16815624234158	5.9945755572748	-10.80171017303
1	-7.70684989506253	-6.51101383936515	2.03914219174521	-3.69749080474753	-5.45522538014706	5.88291081417981	-10.3696911693804	-3.13433918527835	-20.1978203694096	19.3018655574346	1.98257169605387	-7.06034962146595	-4.24910307219528	1.38364350442737	-0.524346941504348	4.69044198309876	-12.6927036812966	-1.64097352502586	3.31158301150492	-6.25731362236695	1.29717775001058	-3.48508290076779	-5.79565129544972	15.1002930099817	-5.77649890951801	-4.91746213832323	1.6096725577998	6.78143887772808	-0.503202660721342	1.1686639240973	-10.0129955421224	1.13599645369391	-2.5361337800008	1.9944400851798	-7.4919523202114	-10.8874221798577	0.407519385118292	-3.91287852338689	4.71123771153782	-4.62995059260339	-22.7355541116626	-1.44611267606587	2.04103543630163	-1.11385724225437	-6.67885684121887	-8.85791760129894	-9.76715122874947	-3.28929690561426	5.91639403120621	-10.7337379274322
1.5	-7.81822384594665	-6.63664477284021	1.92470758997467	-3.25389360828854	-5.54412184668672	5.77299363270021	-10.4225312389887	-3.19513687486136	-20.3482824625475	19.0694706303176	1.91493407140439	-7.24337515777853	-4.40881282609195	1.36972078886851	-0.633129132485237	4.53390952192115	-12.6487457556498	-1.49973467107543	3.21664520073432	-6.29189140205972	1.4073509364095	-3.50496108909766	-5.80181232269524	15.2732151380654	-5.79613151022943	-5.13611089147139	1.28701845728506	6.85219238906541	-0.556663730079094	1.21774138260048	-10.0679590483679	0.969535884843594	-2.87728316231011	1.82144927243814	-7.52531451448925	-10.8406355435921	0.382936776181452	-4.1131599036998	4.72077410927182	-4.79623508509877	-22.8872504776542	-1.37808096486674	1.72239110477238	-0.81946166099226	-6.80512859347056	-8.74291094954879	-9.94467898545628	-3.3448718561267	5.8532083460052	-10.6832354785412
2	-8.06632210790178	-6.71874201131419	1.92081244512491	-2.8636658200225	-5.68050488327327	5.62518375765251	-10.4727515253716	-3.32069453824857	-20.5022562364671	18.9312511578567	1.8763998087079	-7.43977942752485	-4.52165864618814	1.30886443860982	-0.705648086825249	4.35490628532358	-12.6419419829328	-1.49455794505963	3.21851519141666	-6.28736604324246	1.48584538382232	-3.54501775648561	-5.84478848297056	15.4353956406839	-5.72409114100572	-5.34290923653936	0.825078479020647	6.92320995807205	-0.748250528771223	1.20542914394355	-10.2143647004568	0.876940132299808	-3.2535208222522	1.4936561123796	-7.5984765623262	-10.9788718782562	0.301664920188273	-4.34172683994922	4.71800164899491	-5.01379257629122	-23.0665582327017	-1.29446397625634	1.45277343144642	-0.735299602435362	-6.89833541429113	-8.57564453646933	-10.0208779300661	-3.54503999503351	5.81994566707601	-10.6587503042102
2.5	-8.21160738485065	-6.85054890833032	1.99173173814233	-2.81254201675353	-5.75826971514732	5.51002897430328	-10.5421309099842	-3.39155477433889	-20.6699000243036	18.8004862381904	1.83155545303237	-7.53011625063601	-4.6874931375097	1.2611419645948	-0.815346329325848	4.14454554037013	-12.719702494824	-1.32433724885169	3.24894193908136	-6.3175975654558	1.41569692615298	-3.66728185735309	-5.88270575903215	15.5460940789945	-5.67720443910679	-5.50942182149458	0.462714429355344	6.89655474028228	-0.963417010040644	1.17160826315819	-10.4348717411264	0.774761942069517	-3.6533207600923	1.24469466880703	-7.71877985978267	-11.094254685887	0.157366948359083	-4.5635493531525	4.6812296418716	-5.32252777196538	-23.1619780860981	-1.19611541020856	1.24793642064816	-0.573237671478012	-7.03327880509949	-8.60579344877812	-10.1288928756658	-3.75977492993479	5.73317591372989	-10.5684381658091
3	-8.33526185345789	-6.88449885800907	2.02339065981067	-2.5239589285797	-5.84458745245064	5.39590840079035	-10.57635219198	-3.43291035423073	-20.8710863097622	18.7381637522014	1.80622987621337	-7.6939969311544	-4.82997234306652	1.18904646673758	-0.988276769018057	3.99877248925196	-12.7420226443311	-1.42407467464329	3.19260332915337	-6.37177405030923	1.43428424553531	-3.76171231855517	-5.91773033364382	15.6951052710554	-5.65984984991417	-5.69084285462026	0.209839819302658	6.83516629252614	-1.17970637967164	1.20997487606513	-10.7158912173655	0.582161256062079	-4.04537282293808	1.00567398428166	-7.80154714313403	-11.2323958509097	0.149676359787122	-4.72291691837142	4.62170961203765	-5.61350937773307	-23.1077913338419	-1.15916219443892	0.835381246056215	-0.318246208103687	-7.11330407134932	-8.68246028947976	-10.2194406079747	-3.9955748417317	5.70134150682941	-10.5031023144757
3.5	-8.32750543644499	-6.99464875836969	2.03869065437084	-2.00592395664688	-5.94383368174954	5.34515447963275	-10.5423863200597	-3.50700554093731	-20.9572009631754	18.5809369599378	1.74557171780833	-7.80109907385418	-4.9852630262061	1.08092761671026	-1.2265250514339	3.83371007347421	-12.9912438452275	-1.56295969310389	3.19834953868121	-6.37561305309038	1.37709707858386	-3.87225386537909	-5.90059055576057	15.8721733010204	-5.69878667424433	-5.98717050135707	-0.147859258212065	6.83389635243356	-1.4085655330162	1.2157161332641	-10.7948799644624	0.393734153748426	-4.37655838293148	0.814208872478048	-7.93460945047974	-11.3815352953094	0.0962927848316326	-4.95013178987114	4.58334782068994	-5.75282322101634	-23.3156839066264	-1.17837250419433	0.31754585620746	-0.16688740360479	-7.21240083676628	-8.64542990413179	-10.2852565569568	-4.22337761536267	5.68014389962099	-10.4877548763115
4	-8.52248623358059	-7.12882374389687	2.12532563938117	-1.88658011737675	-5.99638575854084	5.2229873996871	-10.5532493927645	-3.59660310082569	-21.1303304446959	18.4001482545846	1.65783821527981	-8.02763744556785	-5.13475714319628	1.1051977907029	-1.41462892664924	3.65147315299498	-13.1668926056486	-1.7029735763598	3.12879105718542	-6.40456089301784	1.40432071173802	-3.99603591082365	-5.94031589280809	16.0213642274322	-5.76723522630425	-6.17763388598041	-0.492578074366122	6.77490235963148	-1.46968227463606	1.29060997641244	-10.8130852715552	0.250097319798556	-4.62996238021401	0.662170366427688	-8.09346731756688	-11.5670067518907	-0.0470685309293799	-5.1577302114228	4.53357428491108	-5.81469443179708	-23.4369592529118	-1.10817967011127	-0.0611589070054475	-0.188061029363382	-7.31054883015224	-8.88667998809382	-10.4467426766254	-4.33702545053268	5.64318520333637	-10.4687893640752
4.5	-8.6598929662444	-7.3024570340616	2.2640821408242	-1.80518824975871	-6.05660415095588	5.01010581231918	-10.5684747579398	-3.64447692776139	-21.2622237041489	18.2852368160054	1.58700497198208	-8.314533756743	-5.31088932607463	1.18156094769648	-1.51204159688763	3.46515783635601	-13.167550830331	-1.66995907015018	3.07649193123746	-6.56004928714538	1.32764446108018	-4.09142171863107	-5.97357503157326	16.1188331216436	-5.79203455088742	-6.36210598196055	-0.781520715530746	6.79566810329789	-1.69094304736126	1.38027152787436	-10.925836579407	0.176798425721699	-4.85066752115682	0.512567115305956	-8.13006995857495	-11.7079141411701	-0.130233527621272	-5.34888599769641	4.53308817705027	-5.92803483679643	-23.5781603931946	-1.0109199428648	-0.538059436932768	-0.469793651235022	-7.40904103612627	-8.97070205390304	-10.6011707387345	-4.49191691906384	5.58803587055007	-10.4043962927609
