Joint_angle	INT_1_STR_PRE_L	INT_2_STR_PRE_R	INT_3_STR_PRE_R	INT_4_STR_PRE_R	INT_5_STR_PRE_R	INT_6_STR_PRE_R	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_9_STR_PRE_R	INT_10_STR_PRE_R	INT_11_STR_PRE_R	INT_13_STR_PRE_L	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_18_STR_PRE_R	INT_19_STR_PRE_R	INT_20_STR_PRE_L	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_1_CON_PRE_R	INT_2_CON_PRE_L	INT_3_CON_PRE_L	INT_4_CON_PRE_L	INT_5_CON_PRE_L	INT_6_CON_PRE_L	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_9_CON_PRE_L	INT_10_CON_PRE_L	INT_11_CON_PRE_L	INT_13_CON_PRE_R	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_18_CON_PRE_L	INT_19_CON_PRE_L	INT_20_CON_PRE_R	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_1_STR_POST_L	INT_2_STR_POST_R	INT_3_STR_POST_R	INT_4_STR_POST_R	INT_5_STR_POST_R	INT_6_STR_POST_R	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_9_STR_POST_R	INT_10_STR_POST_R	INT_11_STR_POST_R	INT_13_STR_POST_L	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_18_STR_POST_R	INT_19_STR_POST_R	INT_20_STR_POST_L	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_1_CON_POST_R	INT_2_CON_POST_L	INT_3_CON_POST_L	INT_4_CON_POST_L	INT_5_CON_POST_L	INT_6_CON_POST_L	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_9_CON_POST_L	INT_10_CON_POST_L	INT_11_CON_POST_L	INT_13_CON_POST_R	INT_15_CON_POST_L	INT_16_CON_POST_R	INT_18_CON_POST_L	INT_19_CON_POST_L	INT_20_CON_POST_R	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L	INT_30_CON_POST_R	INT_31_CON_POST_L
0	17.126358143433	13.7637478223727	11.8854894191507	20.1593832111889	12.2309496577768	26.8181797146498	21.191670288752	25.9388418520334	16.6367310046388	23.6917382934588	20.6190876726919	33.1436793513304	26.6801880040504	15.6064210745934	23.1868688794109	21.5266781935152	19.7915061466937	27.9671274195559	30.8837416430404	17.8838257002369	27.5787880604051	15.525920340162	13.7844994210641	19.6426508045993	13.6952677979073	18.5188674351266	12.4872717473138	12.6606311065725	15.5675290292523	11.054688373397	17.7157673513983	10.8498918725205	27.5444727267385	15.4338344041981	24.7054638691931	15.6022406867801	22.9822920581683	30.3422543794236	13.8247400797813	23.1387158131134	20.3997737882176	18.5861864340931	25.6744929244386	24.4806780662026	12.3008330023054	29.4702266836353	14.6326204936454	12.0847959164784	20.602561939569	14.192391402084	15.2534502030775	14.3872027261461	12.5162759303634	17.613540353155	13.1041237843646	23.4607281263384	22.8650548958689	24.4300550050281	19.0825565021724	16.7540950969449	14.8511427721218	25.4542503260383	19.7238389867005	14.3349121502432	20.2344177212835	18.3055454100814	31.0991298693836	31.8297097843807	33.2871016619673	14.5641772836899	28.9551756943693	16.727906389682	12.3537329905404	21.1219304454903	11.0508330511166	18.5374675378792	11.8745430233944	11.3072131937254	11.2044475006078	9.92907841436755	23.1307243131764	14.1668827835592	23.5820363748255	21.1118099641088	22.912989918899	13.3481244345091	30.0225497422041	27.2101308100806	14.9991742111726	22.6134002604405	19.8832098524844	27.0777665003451	24.3973287838765	25.5165355144816	12.3649695063113	27.3588488562027	13.7259513387552	10.1013991521379	16.4235324044886	11.6771398731789
0.5	17.5690219743063	14.0554006124461	12.2556036888821	21.0699775688791	12.4121971914608	27.7181523913684	21.9249283930785	26.5079213539952	17.0297553984949	24.7409561336742	21.2500984646753	33.5446317071958	27.1797249815931	15.9401447936863	23.9585242582027	21.9069961393362	20.028142787099	28.8503257848404	31.5324873159676	18.3557976344901	28.5703921985174	15.8063363903499	14.0993670486546	19.9736665060027	14.0117966221609	18.7828561024574	12.6812140977714	12.9333143178419	15.9536354009679	11.2338464218589	18.0759675890592	11.228306601852	27.9137241811961	15.7059351030499	25.8835122263033	15.8538479112293	23.3172491325453	30.8878635030301	13.9744985340432	23.7898525133838	20.7567713881445	18.7461101312791	26.5177154597891	24.8783981923743	12.4581652303321	30.4691517344954	14.8173418017163	12.3285663756605	21.0067010860951	14.7031788536555	15.5498523456306	14.7256374491812	13.0109824554812	18.2005337573157	13.647444684599	23.7958153750705	23.4294492932193	24.8688506609072	19.8112153393393	17.4595011084956	15.0638247832396	26.4638307263856	20.089101514605	14.5559343702301	20.790631178212	18.6972415571481	32.5570945829877	33.5264205917413	33.9816761743995	14.8233875406919	29.9673696345331	17.1001207461137	12.5819260816207	21.6271267451695	11.2483487447139	18.9624072652917	12.0433483886458	11.5989909981685	11.333920020989	10.2303335454457	23.5394679456144	14.455042680323	23.7758628314854	21.6771104367288	23.9018059218681	13.5034946219278	30.5009467377481	27.6629885227031	15.1737153060761	23.1379899036795	20.1081189748854	27.5509837631761	24.9978820291781	26.238048879972	12.5471056181155	28.3888266078077	13.9624487207326	10.2746587896431	16.7044093534673	11.9005808383241
1	18.0156239146607	14.3429606631512	12.7257507078716	21.9290548997193	12.5931502603609	28.4297081672591	22.6761317370384	27.0759054184057	17.4309472223913	25.7497778677732	21.8577491362055	33.9635220591593	27.6644666833799	16.2833606407594	24.7772597994446	22.2883979238918	20.2780188997102	29.7780903231724	32.1844352183259	18.8747381973308	29.6276463055154	16.0984547185782	14.4374017186819	20.3211272120287	14.3276414569375	19.0477858543852	12.8727215826224	13.1987483976687	16.3418818075133	11.4046331603956	18.4261799546865	11.6183470284583	28.3185320557186	15.9748420404943	27.0311694018999	16.1048008247908	23.6802620545641	31.4367102832064	14.1338871550061	24.4394025887825	21.0894147181888	18.9225922712075	27.3598644096657	25.2788081006207	12.6218957593131	31.4452164342347	15.0139489453553	12.5464949980067	21.4273910434675	15.2095189167608	15.8519691922398	15.0728636473948	13.5308210169243	18.7697392029909	14.2217714878535	24.1492566712814	23.9996483676701	25.3236819036777	20.5085697085932	18.1820524478869	15.2831772034609	27.4961500718883	20.462606214228	14.7629277446246	21.3808120126337	19.0972694132929	33.7879346883521	35.32095567166	34.6591079062848	15.1136611264499	31.0366405535832	17.4745591391745	12.8228370278772	22.1344035892641	11.4513429809401	19.4151050410769	12.2139613094553	11.8873310097013	11.4691303420394	10.5508270741471	23.9512379253204	14.7220143719889	23.9886435174263	22.2435994527231	24.9106306779062	13.6685746964837	30.9689616561993	28.1433926548921	15.3433388457298	23.6669594626601	20.3469443272453	28.0062163341426	25.6420014877121	26.9637688357961	12.7314525728174	29.4380038487229	14.2042837998461	10.456546315937	16.9871478389021	12.1224263180142
1.5	18.445186441786	14.6201608046708	13.1846885673875	23.3147328948659	12.7717759320057	29.0803162771758	23.4318414529604	27.6250579001464	17.8405871791471	26.7213723571415	22.4357549815616	34.3921679652464	28.150139335833	16.6329104965898	25.6396956872076	22.6676001873833	20.5463523684451	30.7580193808904	32.8295840466739	19.4347341564677	30.7626060526201	16.3813747513495	14.8040321439187	20.6866646571819	14.637979039857	19.3117786116574	13.0593339753021	13.4562002903719	16.7351008592922	11.5670108410229	18.7664548167934	12.0213887107938	28.7035749940419	16.2408845821387	28.1507874185941	16.3539385494697	24.0717878325416	31.9859687644539	14.3057788033079	25.0883165802704	21.4054753254556	19.1144321451005	28.1968407041274	25.6840090436271	12.7884037952885	32.3940861847749	15.209390268148	12.7605619729772	21.8620358043857	15.7142725338203	16.1532481156023	15.4307584923984	14.0682705294191	19.3153665398109	14.8248487576202	24.5226781649646	24.5783600813516	25.7704701408384	21.2012425200873	18.9249159335368	15.5093810842846	28.5217196806805	20.8471660658397	14.9520914090499	22.0046562561192	19.5062571686508	34.9041554169242	37.2486961804159	35.3106205932367	15.4332362696648	32.1020077803352	17.8543106130118	13.0718762904605	22.6397472674948	11.6618756387719	19.8283642110848	12.387416858868	12.1705441480295	11.6103992726109	10.8721219110551	24.3672306171837	14.9846561911979	24.2191944450964	22.8054070875029	25.9370715451882	13.8437407258506	31.4232783576281	28.6475561719008	15.5069686904539	24.1974511743515	20.6048462078042	28.4410691116653	26.3337911683195	27.7329688486192	12.9171915600822	30.5002583481541	14.451124417272	10.6467827458282	17.2708944761836	12.3478996214106
2	18.8621763477678	14.8922368502392	13.5848332389153	25.4294939695324	12.9464512747218	29.6805181371628	24.1888632260866	28.1669734259818	18.2613568903096	27.649789959504	22.9967101755859	34.8329145225752	28.6459030024276	16.9825803636406	26.5437290634548	23.0444409796064	20.8338229763548	31.7870428415896	33.4650594166584	20.0259277579634	31.985165998804	16.6757595470414	15.197494717818	21.0690374996173	14.9406198629531	19.5711664765851	13.2407560183443	13.7055551352506	17.1398932379875	11.722131844068	19.1003415693068	12.4373720888612	29.077601471706	16.506130623045	29.2470607364329	16.6009537392415	24.4903378469439	32.5355848938193	14.4925529852911	25.7391383601436	21.7116196052127	19.3197558083881	29.0246836869103	26.093734598227	12.955959172516	33.3191818603238	15.4039647996266	12.9714765349985	22.3061253471665	16.2151673982911	16.4625396790495	15.8037597080628	14.6142499346391	19.8360808848901	15.4558993785508	24.9169114873155	25.1606304453462	26.2419937388806	21.8783964005341	19.6886526824428	15.7411460086917	29.5432714839134	21.2522104406356	15.1237173362259	22.6589162732079	19.9230637520882	35.9265249597544	39.3306215041216	35.9303873208939	15.7829102865621	33.1633366741503	18.2443486467433	13.322023609942	23.1439892983728	11.8798866615698	20.2416041105027	12.5641027403799	12.4487694721729	11.7568418807969	11.2026095587917	24.786515147977	15.2433503905268	24.4701416854189	23.3538389341408	26.9760414657783	14.0289235805442	31.8632555471774	29.1678704034453	15.6632155131346	24.722539160933	20.8854083253352	28.8540538646108	27.0792252275651	28.503728966093	13.1028988016644	31.571151320014	14.7011844652256	10.8434064427024	17.5528129051558	12.5788172289594
2.5	19.2734569827093	15.162786104502	13.9872007180599	27.4515677126985	13.1166343444009	30.2421735511582	24.9595607459603	28.709795936118	18.699716136251	28.5345121802555	23.5441143197275	35.2926056766652	29.1471583994909	17.3369759534609	27.5034403034468	23.4244639678	21.1339566358754	32.859444207429	34.0932033167394	20.6495588320332	33.3218122518398	16.9783886018309	15.619721860124	21.4695134840572	15.2359651814915	19.825268570387	13.4207889525825	13.9457668928998	17.5630542630509	11.8732792494984	19.4344864897748	12.8669665441634	29.4435626236377	16.7739313642843	30.3264618167738	16.8459551226859	24.9304742240865	33.0874162218638	14.6919335085075	26.3973586736167	22.0123319983753	19.5392310616756	29.8452221997505	26.5085676408343	13.125759435543	34.226669951109	15.5989942593925	13.181658897772	22.7566133526071	16.7314049137832	16.7749347371435	16.1951695314161	15.1622582515085	20.3363973567782	16.1131261503555	25.3319964013596	25.7390291735264	26.7420486786532	22.5299992030347	20.4722219264316	15.9767095073101	30.5924428105434	21.6728424130814	15.2908053471028	23.3480816534513	20.3463270206894	36.8607009006409	41.5545765587247	36.5278984040765	16.1691085468659	34.2126128330599	18.6467750894358	13.5716707325954	23.6540153847931	12.1027105938584	20.6556890521937	12.7441597704988	12.7237532174589	11.9067770004695	11.5432968160417	25.2056587442972	15.5003529563303	24.7377169206993	23.8840127466556	28.0238839025517	14.2222580473629	32.2904571601451	29.6997453277791	15.8154011871922	25.2352062989878	21.1905060830594	29.2461626204807	27.8832651887495	29.2679304405061	13.2869257674882	32.6498706942747	14.9535355377291	11.0443452687876	17.831812213805	12.8161038099372
3	19.6836863705063	15.4351965993209	14.4200439613908	29.2820805101864	13.2844504425947	30.7834573228467	25.761117598753	29.2555128579123	19.1689103345272	29.371028583691	24.0882053578795	35.7785118832212	29.6567354031069	17.7036875019898	28.5407263863043	23.8177948468129	21.4396904152469	33.9769313342111	34.7217511192246	21.31256799602	34.7879427009446	17.2971584459103	16.0673953643539	21.8900275189362	15.5264447190331	20.0751096197183	13.6046871847314	14.1845379883711	18.0135127064311	12.0225060720817	19.7785129456008	13.3138970835023	29.7969988919107	17.049648389529	31.3956248164213	17.0909883241505	25.3890810451957	33.6423660839755	14.9021668712752	27.0711823236117	22.3137988556952	19.771909389784	30.6636740467223	26.9256167161885	13.3010813746822	35.1221135320987	15.7958430259895	13.3965066042871	23.2123029128905	17.2736919022159	17.0885876974716	16.6067549422843	15.7159490701553	20.8269937987234	16.7966593349247	25.7672050971645	26.3064871206649	27.2638803056508	23.1640418527517	21.272898729132	16.2166708768154	31.6673840455719	22.0976526287523	15.4578660854103	24.08606878334	20.7722592094688	37.7453163197109	43.8689012514346	37.0951470118286	16.5996216061422	35.2425703028354	19.0594785448485	13.8258139250511	24.1702674689021	12.3268146861547	21.0706309576113	12.9267600346966	12.9988398135148	12.0594928642275	11.8954012461444	25.6298733979947	15.7589892141547	25.0162444521243	24.3964716591931	29.0809908616812	14.4214847954574	32.7060695810829	30.2426591967145	15.9669952373204	25.7348860554445	21.514326630383	29.6235713301145	28.7539779630074	30.0286747143846	13.4701255783079	33.730302210673	15.2088666089076	11.2491989781532	18.1080345077269	13.0583433083314
3.5	20.1008629111485	15.7151634113268	14.8874694894088	31.0555518265226	13.4516142530351	31.3186664877175	26.6005940116123	29.8028168210389	19.6762627136569	30.1762107012769	24.635699608648	36.3014637947642	30.183104066526	18.0865637432945	29.6853748959754	24.2331000958513	21.7491748035557	35.1466995760969	35.3625970577701	22.0152469123042	36.3831659640895	17.6425302851165	16.540788748549	22.336005865584	15.8153100512228	20.3242556725792	13.7983999328917	14.4269515361617	18.4972086994911	12.1741387670188	20.1405767640738	13.7841853626244	30.144806812735	17.3387107722692	32.4593887334754	17.3384481887074	25.8676385357139	34.2130060019019	15.12265680024	27.7689327593282	22.6218160025282	20.0222930825078	31.4878878931036	27.3419465704241	13.4872659550627	36.0092752970389	15.997260813981	13.6199995926514	23.6747590398361	17.8455958574926	17.4064013209682	17.039295688236	16.2814545720311	21.3186119891585	17.5160728286854	26.2234283229545	26.8611905255143	27.8051880132432	23.7952856874868	22.0892067025174	16.4615387153059	32.7367455651018	22.528971494151	15.6323869197908	24.889350103172	21.199212890979	38.6200259884956	46.2190943061932	37.6516754474606	17.0839311141781	36.2586347744631	19.4800237733812	14.0921206941733	24.6890573092014	12.5494212299437	21.4895919454303	13.1098828259654	13.2797837312736	12.2175246546619	12.261812112243	26.0706717816981	16.0251285666524	25.3090573511481	24.8969901995056	30.1485866667562	14.6257038361272	33.1186274713902	30.8006076253003	16.1211057947528	26.2266862569701	21.8508150831571	29.9944540192394	29.7017677744212	30.7870170501324	13.6555157907473	34.8145579138538	15.4695348190516	11.4591247932946	18.3827117963663	13.3059869418602
4	20.5309202814963	16.0081947255784	15.3863566596113	32.9177430691568	13.6206681157575	31.8567663327714	27.4673509899386	30.3314958970781	20.2183981186525	30.9703476537276	25.1972881177058	36.8636000035679	30.7422628832666	18.4934521991403	30.9280340744244	24.6718678424562	22.0668560209815	36.3722023490378	36.0192529672177	22.7518545372695	38.0866335518838	18.0207665222147	17.0499124460491	22.8145197972993	16.1039365657234	20.575427212165	14.0066799413784	14.6749516449172	19.0173145637547	12.3319147096807	20.5267047733365	14.2826632435074	30.4996375555428	17.6438647047872	33.5225380717695	17.5913715629759	26.3699847263599	34.8083519669133	15.3531595856707	28.4967084177536	22.9414423489414	20.2926463759647	32.3248289342758	27.7587368216273	13.6888960226136	36.894909886616	16.2065985429382	13.8554196258266	24.1461768685001	18.4492910411992	17.7338274957677	17.4933500033161	16.8580538253485	21.8151349576488	18.2782975031078	26.7008203441467	27.4083996368186	28.3661409117238	24.4329034062711	22.9203184024591	16.714422490282	33.7778719123512	22.9766694701156	15.8115909231761	25.7714914573351	21.6250546456497	39.4954549045792	48.5768496341081	38.1667473791421	17.6284764407433	37.2665194722217	19.9070382701429	14.3754688472074	25.2092359653881	12.769254294342	21.9179960860343	13.2932002452809	13.5728891153755	12.384618494149	12.6453147119599	26.5370162828561	16.3013197058376	25.6174889544299	25.3942687959971	31.234011613747	14.8354171287547	33.5372455870704	31.3809865997783	16.2800229566778	26.7177734031257	22.1996786583927	30.3646937570134	30.7365956625235	31.5439905362872	13.8470738406292	35.9111693588228	15.7390498645676	11.6777927767001	18.6587828993049	13.5604781873274
4.5	20.9784595074173	16.3160954819006	15.9157709378373	35.1737783618811	13.7927989110668	32.4049669783873	28.342505477174	30.8330200620841	20.78976220881	31.7582413540637	25.766340025061	37.4623759687556	31.3302878090848	18.9180644574329	32.2295807001474	25.1404901080982	22.3971880855479	37.6696354341676	36.6945833418227	23.5061028323573	39.830457056223	18.4294473833922	17.6047757392039	23.3296406921895	16.3913521884253	20.8342090258786	14.2311245787639	14.9291721402941	19.5694365434283	12.496221844748	20.9364153797547	14.813510989102	30.8635893525396	17.9669866766034	34.5756177910327	17.8522035876491	26.9036531825872	35.4312483410323	15.5935121981743	29.2524144472579	23.2730428570825	20.5848482835685	33.1753917891261	28.1761823489938	13.9071054994915	37.778002590182	16.4251634629577	14.1039186843414	24.6276406399285	19.0884048033266	18.075207000291	17.9646115777349	17.4359517258224	22.314993156071	19.086528525364	27.1916532386536	27.9570183562935	28.9528060503765	25.0778671572155	23.7688671364468	16.9790966812881	34.8136980292839	23.4412148598681	15.9930035633516	26.7408722640216	22.0528731692566	40.3648437886107	50.9258045732245	38.6233814560231	18.234841860721	38.2851373663406	20.3396577345759	14.6790625159166	25.7227819829597	12.9875285326054	22.3622085132058	13.476566503036	13.8824455600396	12.5662954213247	13.0500651057709	27.041854360148	16.5885030224482	25.9471740160466	25.8948592719991	32.3436731377703	15.0533778214976	33.9670304426872	31.9885791867407	16.4439195167278	27.2184737550184	22.5602418758912	30.7406242992038	31.8668036530133	32.3042437452949	14.048983150001	37.0292170410297	16.0189089195258	11.9080267124129	18.9397944297719	13.8235794388808
