Joint_angle	STR_PP_1__1	STR_PP_2__2	STR_PP_3__3	STR_PP_4__4	STR_PP_5__5	STR_PP_6__6	STR_PP_7__7	STR_PP_8__8	STR_PP_9__9	STR_PP_10__10	STR_PP_11__11	STR_PP_13__13	STR_PP_15__15	STR_PP_16__16	STR_PP_18__18	STR_PP_19__19	STR_PP_20__20	STR_PP_21__21	STR_PP_22__22	STR_PP_24__24	STR_PP_25__25	STR_PP_26__26	STR_PP_28__28	STR_PP_30__30	STR_PP_31__31	CON_PP_1__1	CON_PP_2__2	CON_PP_3__3	CON_PP_4__4	CON_PP_5__5	CON_PP_6__6	CON_PP_7__7	CON_PP_8__8	CON_PP_9__9	CON_PP_10__10	CON_PP_11__11	CON_PP_13__13	CON_PP_15__15	CON_PP_16__16	CON_PP_18__18	CON_PP_19__19	CON_PP_20__20	CON_PP_21__21	CON_PP_22__22	CON_PP_24__24	CON_PP_25__25	CON_PP_26__26	CON_PP_28__28	CON_PP_30__30	CON_PP_31__31
0	1.39786578905544	-1.27119060097523	0.791423958088254	-4.55980326851906	-1.17484786763427	-9.09665306757694	-10.3420958086582	1.58823688944916	-1.20255347192297	1.01655917820202	-5.01927026857255	-10.1614169062039	3.66959607648979	-1.78137593240125	-0.0453088991694699	-1.13063597639889	-1.20557786508246	-2.29054263292021	-6.40338489476278	-5.58296342170644	1.89212998263621	-0.895931412592526	-1.7029649191048	0.959266368287629	0.497619163303318	3.27524348816063	-2.51065824756737	-1.20919313873106	-6.40938563308867	-3.17829811586557	-0.328525455085256	-8.70609790715285	-0.831195030817078	2.04188292689602	6.16078982531646	-1.50388560950241	4.56749203335707	7.50721678277129	0.663769586443133	2.38020469325054	1.57722306418271	-4.02019162622685	-7.43276842914399	-7.80696906957412	-2.19992984011242	-1.5868449254306	-2.99759415112641	-2.25351230809176	-4.69940005365616	0.624031150076707
0.5	1.22030359355549	-1.37475702057455	0.693811425616547	-5.09866261414443	-1.18012738826807	-9.66979843562687	-10.7222371858272	1.404484717928	-1.32638125329162	1.14277819985418	-5.40862303178543	-10.2518420244092	3.71929798557479	-1.97049555069861	-0.164625765164711	-1.15297562668735	-1.28287904959792	-2.33768017571794	-6.66950724367633	-5.91301832696297	1.90061729379893	-0.992734187934948	-1.77472916161099	1.03511290531011	0.691156470057445	3.42332105140563	-2.68807111468325	-1.41566432660707	-6.88159031858123	-3.42361047137658	-0.255240662830115	-8.99683469934166	-1.08617062929331	1.88252134781723	6.46052067294498	-1.5648250876104	4.04665477586017	7.60600683106438	0.620744474311675	2.35296887145232	1.41323994538214	-5.01638659110512	-8.54855234000231	-7.77823762413731	-2.28157705007176	-1.58086780043875	-3.14315101386569	-2.31486342597124	-4.93662055009591	0.653886266222099
1	1.03734621475618	-1.47516107574462	0.482438643663059	-5.58542735376177	-1.19418839698585	-10.056205564189	-11.1104860565318	1.25131014440259	-1.46319949555929	1.28517041326993	-5.77678708493835	-10.3329274455897	3.78336242048267	-2.15960197213473	-0.334377131849919	-1.20117659828547	-1.35994956423365	-2.43083494008409	-6.93667915451269	-6.28494381997518	1.82094267073496	-1.09130696917392	-1.90012462154131	1.11111567231644	0.882241618941022	3.59041094831553	-2.87341173829765	-1.65177690915361	-7.33325782071893	-3.68531200507212	-0.194696025326021	-9.32317373950834	-1.33867867504931	1.7483857500306	6.76355993736707	-1.62297930133659	3.49011048718708	7.72553141914387	0.585948351480035	2.29613643123405	1.25592994154214	-5.80706387647588	-9.72568882884094	-7.73797383320549	-2.39278573747565	-1.60706125333213	-3.2825030169853	-2.37944198731964	-5.17319835677214	0.674187768893226
1.5	0.872127526637456	-1.57406702062324	0.272422231936758	-6.61398001952322	-1.21452165868693	-10.390721472056	-11.4927303716728	1.0928428725027	-1.61104096205032	1.43950042779013	-6.12319158975167	-10.3968872039604	3.85574743543305	-2.34239538937955	-0.550623486938182	-1.2671003569073	-1.44163930079135	-2.58135577938608	-7.19478053962273	-6.69492445755416	1.63886981484923	-1.18190026697746	-2.05937885438436	1.18342523163674	1.07825975332207	3.70323838767547	-3.06735693482322	-1.9126013792825	-7.75776115651571	-3.98010815030325	-0.151934651202314	-9.66308752749754	-1.5595927699394	1.61672402846943	7.06459599406001	-1.67768307754641	2.92347376227633	7.86218191321066	0.560943941418808	2.20613243859648	1.10863588935232	-6.50845155415096	-10.9970247656382	-7.63423364858708	-2.53349537301899	-1.61790569103355	-3.42487717736904	-2.44336905200495	-5.40806934952321	0.690873194071102
2	0.716020104602148	-1.67114754441541	0.121305395280396	-8.36350218277133	-1.23814670554777	-10.6819500774509	-11.8657077553139	0.927478054891075	-1.77116808479865	1.61248269242703	-6.45221172979364	-10.4456004871937	3.92296788905636	-2.51479015364454	-0.81135451901379	-1.34307390608248	-1.52792066719613	-2.79007992344052	-7.43981888086199	-7.13774972619846	1.34162897611312	-1.28140375899243	-2.25038234884221	1.24852049215114	1.28753562531398	3.81286952550932	-3.27283431340044	-2.18764228584845	-8.1546266217068	-4.29455042315245	-0.130304419244489	-10.0120339439932	-1.7902456168787	1.48987767827926	7.35826099090763	-1.7286772427979	2.34022881718324	7.99510006921872	0.543402319200965	2.07923598809478	0.974445802405778	-7.14165861150891	-12.3735807078849	-7.49643111202948	-2.70610719198134	-1.60937606888552	-3.57553089614268	-2.50300029869437	-5.64531872321847	0.705802592545087
2.5	0.560045885009171	-1.76616575182152	-0.0406415679663112	-9.9822705799786	-1.2620664855958	-10.9358373572114	-12.240010156212	0.743816243201746	-1.94909263373547	1.81452035600741	-6.77269280130642	-10.4890568153938	3.98477197495486	-2.67876402120484	-1.12330916370525	-1.42936516571062	-1.61360784111317	-3.05174753880016	-7.67532625575434	-7.61304553179323	0.913283228614979	-1.39105995663734	-2.46771555105991	1.3027680656064	1.51782707844865	3.92276047737952	-3.49417446633981	-2.46973872316397	-8.5302396713117	-4.62499104828472	-0.129479321127153	-10.3604799250164	-2.03217426621484	1.36967063497819	7.64192376113647	-1.7763756266395	1.71757928424753	8.12422301254631	0.528948120794331	1.90615186668682	0.85504306853715	-7.70751820510572	-13.8332680677876	-7.34071207868068	-2.91665939042456	-1.58080380140464	-3.73633225526938	-2.55853281195316	-5.89067186700336	0.72170100526991
3	0.399467070802753	-1.85913786602894	-0.23663577265161	-11.4098398673536	-1.28368469856392	-11.1592089068532	-12.6291490374514	0.543148639328034	-2.15138074642712	2.05149389609266	-7.09416823691731	-10.5399212318799	4.0413037640089	-2.84175702501258	-1.50121580242905	-1.52757071304881	-1.69136253495672	-3.36142063594392	-7.91077816094227	-8.12402607994284	0.338734128623344	-1.51714268077741	-2.70668203717537	1.34208336884752	1.7755623052161	4.03354944104635	-3.73548940835625	-2.75839453925894	-8.89428110690187	-4.97282807860813	-0.143877645810491	-10.6973986786316	-2.2837538291924	1.24793622754066	7.91772098060943	-1.82205259853666	1.05957977503577	8.2611938584455	0.513716725219505	1.67209982509397	0.750532012505602	-8.2393932977415	-15.3250275592444	-7.17303316317637	-3.17355798621669	-1.53070048405888	-3.90530582354091	-2.6143577350274	-6.1464775477056	0.741873090396737
3.5	0.230022703311455	-1.9506015832512	-0.466874511130518	-12.7500855872999	-1.30139150677958	-11.358918340009	-13.0339022383459	0.342286778530902	-2.37945288781095	2.31848064302624	-7.42208643751886	-10.606544886809	4.09333902984762	-3.01313730362437	-1.95523075782872	-1.6397224017839	-1.75620763826274	-3.71776475059395	-8.15737866609661	-8.66945768102635	-0.380509209344943	-1.66728611662578	-2.96692091263076	1.36195160298747	2.06542042717776	4.14517670514704	-3.99886505160536	-3.05341474402309	-9.25380692823242	-5.34371285454674	-0.162895344810426	-11.0160789723595	-2.54249624392533	1.1178343458854	8.1915254825705	-1.86764625910719	0.39726633564225	8.40956309156695	0.496335294716113	1.3621185624183	0.660076667850685	-8.77094968314857	-16.7914202691887	-6.98343582077525	-3.48465814360011	-1.46447218283647	-4.07770646256481	-2.67629237234887	-6.40960894107443	0.769290494593703
4	0.049252801738664	-2.04123571506204	-0.724551041814308	-14.1682648999522	-1.31496452635655	-11.5405495855896	-13.4379096177459	0.164347568478824	-2.62742591298342	2.59922209568554	-7.7553938277288	-10.6886534370806	4.14241484783084	-3.19833219069321	-2.47770196299085	-1.76709658215776	-1.80795747219548	-4.12418890354335	-8.42236263440176	-9.23692081439403	-1.21313055053304	-1.84466816584584	-3.2530646564467	1.35795125866521	2.39100091363575	4.25785813748638	-4.2834143194751	-3.34804742427485	-9.60950882576837	-5.74247467128326	-0.172645795906213	-11.3173075244912	-2.80644111966955	0.978248987999557	8.46991585284861	-1.91533156548717	-0.245869664725504	8.5691902460677	0.47804616551295	0.968467230830413	0.582671398538537	-9.30636767210083	-18.1862313169792	-6.75033072241311	-3.8531779083948	-1.38025846101091	-4.24834536048634	-2.74770230170024	-6.6734360005987	0.806153920904585
4.5	-0.142733499410692	-2.13107591975289	-1.0071315408373	-15.9505480013679	-1.32523668150977	-11.7070696045767	-13.8194059022467	0.024981334400259	-2.88693150767679	2.87280998385862	-8.08800990047538	-10.7782203611717	4.19044260915502	-3.39419883758142	-3.0477121956073	-1.90965554087687	-1.85072307550787	-4.58720219894088	-8.70491127195244	-9.80478771842662	-2.10245998626819	-2.04633237206639	-3.5718582363357	1.3269847498317	2.75547595909747	4.3732809918149	-4.58528514708918	-3.62950849654675	-9.95629002441445	-6.16845659227497	-0.158610699221537	-11.6083675121043	-3.07368933966745	0.834172760357667	8.75677224217979	-1.96705422755869	-0.874761008491838	8.73482666024886	0.460974438578017	0.492648573774517	0.517450208566252	-9.832608360465	-19.4704820818974	-6.45841686622632	-4.27641992704961	-1.28216921018144	-4.41439743745214	-2.82765728880536	-6.9323520555726	0.854132844372041
