Joint_angle	STR_PP_1__1	STR_PP_2__2	STR_PP_3__3	STR_PP_4__4	STR_PP_5__5	STR_PP_6__6	STR_PP_7__7	STR_PP_8__8	STR_PP_9__9	STR_PP_10__10	STR_PP_11__11	STR_PP_13__13	STR_PP_15__15	STR_PP_16__16	STR_PP_18__18	STR_PP_19__19	STR_PP_20__20	STR_PP_21__21	STR_PP_22__22	STR_PP_24__24	STR_PP_25__25	STR_PP_26__26	STR_PP_28__28	STR_PP_30__30	STR_PP_31__31	CON_PP_1__1	CON_PP_2__2	CON_PP_3__3	CON_PP_4__4	CON_PP_5__5	CON_PP_6__6	CON_PP_7__7	CON_PP_8__8	CON_PP_9__9	CON_PP_10__10	CON_PP_11__11	CON_PP_13__13	CON_PP_15__15	CON_PP_16__16	CON_PP_18__18	CON_PP_19__19	CON_PP_20__20	CON_PP_21__21	CON_PP_22__22	CON_PP_24__24	CON_PP_25__25	CON_PP_26__26	CON_PP_28__28	CON_PP_30__30	CON_PP_31__31
-1.80411241501588e-16	-7.28349947029056	-6.37897906508903	2.01196861747332	-4.14049655421087	-5.22171879587194	6.11110472457631	-10.2745711540878	-2.90825723761567	2.78653266745528	15.7396940731456	2.1512880553907	-12.6279654070091	-4.03045343775506	5.06711011238334	-0.126406727920438	5.10157666967947	-16.1993344997274	-1.49072146225391	3.49789161250077	-6.22164354552158	2.21776387840069	-3.18214697992589	-5.66995072020822	14.7573636546848	-5.88429063488626	-4.39567778824584	-1.20672228136722	6.63855281468109	-0.250923567157482	1.36360707515346	-7.676597906299	1.47590612693021	-0.0535767268823477	2.31480709791862	-7.25341265232542	-12.0268160279638	5.81240996221031	-3.45347638332889	4.73179814444644	-4.02433310471249	-24.5175744835642	-1.46710924734467	-3.43062476883188	-1.56730221589297	-6.39406802464761	-1.21472861612787	-9.5516321388477	-3.01620413092309	6.07795902200609	-10.870305002083
0.5	-7.46922209838669	-6.44640976660048	2.0075053502257	-4.04216652394388	-5.32539709305587	6.05682027019481	-10.3100122535119	-3.02182379018819	2.54466499398177	15.5337416592428	2.03735412291792	-12.6815576824903	-4.08617590829539	5.11637308058914	-0.35413505279962	4.85944730222923	-16.0869881621363	-1.60398831397617	3.38885560138311	-6.20423794955406	2.56037828917988	-3.36364150477732	-5.77607889263669	14.9073563864701	-5.81687557188053	-4.63563734519124	-1.38225728597865	6.64425279300826	-0.380525840632174	1.31840182789864	-7.70761499536411	1.34943639464058	-0.318684664096452	2.141080289147	-7.35453535512693	-12.1337425958465	5.99898411955661	-3.68864335872433	4.72188665233597	-4.38398565722741	-24.7524108496708	-1.47399071868256	-3.72410532802979	-1.27046855545558	-6.50645114890926	-1.32390922163574	-9.58065076126292	-3.16815624286437	5.99457555653021	-10.8017101725596
1	-7.70684989842607	-6.51101384141236	2.03914219021141	-3.69749083127039	-5.45522538221007	5.88291081122372	-10.3696911699977	-3.13433918555296	2.46030909736436	15.2809062930314	1.98257169560634	-12.6714988879122	-4.24910307718386	5.17077028483487	-0.524346944147226	4.69044198186612	-15.9669374457302	-1.6409735236349	3.31158300872511	-6.25731362367605	2.32739964949502	-3.4850829027136	-5.79565129604458	15.1002930144225	-5.77649891021076	-4.91746213856851	-1.62418545775876	6.78143887922982	-0.503202661584169	1.1686639248943	-7.61614266906582	1.13599645075294	-0.398909001008462	1.99444008050659	-7.49195231987227	-12.2315516864844	6.04034520214515	-3.91287852577432	4.71123771258277	-4.62995059773266	-24.9715774909109	-1.44611267472345	-4.06025778302643	-0.64705826973335	-6.67885684322005	-1.46385234156878	-9.76715123281645	-3.28929690957648	5.91639402923784	-10.7337379261551
1.5	-7.81822385079874	-6.63664477380172	1.92470758735908	-3.25389362801081	-5.5441218502142	5.77299362810021	-10.4225312400884	-3.19513687808444	2.35806025562368	15.1232485126291	1.91493406811475	-12.7291190257045	-4.40881283020559	5.32153349538277	-0.633129135083607	4.53390951766607	-15.8749733507152	-1.4997346684774	3.2166452004613	-6.29189140193887	2.51601662757059	-3.50496108873585	-5.80181232137568	15.2732151434095	-5.79613151073801	-5.13611089269637	-1.96389963488156	6.85219239077014	-0.556663732620677	1.21774138440992	-7.57339983673853	0.969535882974469	-0.524180846162608	1.8214492669772	-7.52531451681568	-12.1466349300343	6.21695183853802	-4.11315991117516	4.7207741083318	-4.79623508737143	-25.1105732838159	-1.37808096518921	-4.24797666240522	-0.0273496626903125	-6.80512859643449	-1.4808414801235	-9.9446789901894	-3.34487185744757	5.85320834434009	-10.6832354785262
2	-8.06632211533213	-6.71874201477652	1.92081244704565	-2.86366583402622	-5.68050488798974	5.62518375099887	-10.4727515290604	-3.3206945430922	2.2555567789546	15.0678064216906	1.87639980886075	-12.84714144658	-4.52165865218927	5.318502826231	-0.70564809155627	4.35490627792944	-15.7452330940104	-1.49455793984919	3.2185151920018	-6.28736604235507	2.66900177821748	-3.54501776153904	-5.84478848467268	15.4353956457832	-5.72409113684415	-5.34290924030569	-2.34188672182677	6.9232099570068	-0.748250536314345	1.20542914067084	-7.69471776852595	0.87694013012225	-0.662489837736359	1.4936560992291	-7.59847656882033	-12.2133895507508	6.2997888446825	-4.34172684615754	4.71800165004163	-5.0137925864841	-25.2692068455007	-1.29446397287285	-4.48610733796124	0.295267429488149	-6.89833541769883	-1.57944265822334	-10.0208779344872	-3.54504000718515	5.81994566418621	-10.6587503013027
2.5	-8.21160739246886	-6.85054891311876	1.99173173722266	-2.81254202712285	-5.75826971987209	5.51002896836081	-10.5421309084321	-3.39155477951113	2.1996816534604	14.9783041522707	1.83155545213339	-12.8224543342421	-4.6874931450256	5.39934653747321	-0.815346335241884	4.14454553531431	-15.6841919511193	-1.3243372444602	3.24894193560186	-6.31759756512719	2.45957753795716	-3.66728186154711	-5.88270575956773	15.5460940839681	-5.67720443851493	-5.50942182603046	-2.59187022065805	6.89655473648355	-0.963417019956637	1.171608265619	-7.84225237487095	0.774761936437301	-0.928015529601737	1.24469465475073	-7.71877986515966	-12.1783965696355	6.25792494657156	-4.56354936266882	4.68122964005852	-5.32252778687939	-25.356643647247	-1.19611540905015	-4.94638896264888	0.831010667259079	-7.03327881145952	-2.02671792977998	-10.128892881396	-3.75977494151044	5.73317591160099	-10.5684381620886
3	-8.3352618580663	-6.88449886156189	2.02339066551133	-2.52395893691283	-5.84458745974132	5.39590839628295	-10.5763521926641	-3.43291035663884	2.1785044038715	14.9781032376479	1.80622987208324	-12.8412431146125	-4.82997235307192	5.3773435528671	-0.98827678038964	3.99877248205706	-15.5833337628596	-1.42407466835493	3.19260332608326	-6.37177405326759	2.49771091203388	-3.76171232726432	-5.91773033455115	15.695105282761	-5.6598498586655	-5.69084286535843	-2.83444270641235	6.8351662899737	-1.17970639626793	1.2099748770612	-8.00790684903529	0.582161245618352	-1.08836629425502	1.00567397287341	-7.80154714750728	-12.2328912842273	6.25730270532813	-4.72291692727623	4.62170960808658	-5.61350939328651	-25.3513170250812	-1.15916219784509	-5.08348202664695	1.61646380744793	-7.11330407471371	-2.14270436606915	-10.2194406135091	-3.99557485566447	5.70134150195332	-10.5031023114084
3.5	-8.32750543769009	-6.99464876784754	2.03869065245362	-2.00592395268819	-5.9438336843441	5.34515447365243	-10.5423863198322	-3.5070055468874	2.14699607288901	14.795331208923	1.74557171486634	-12.8950942331409	-4.98526303462069	5.31153500954986	-1.22652506960259	3.83371006457145	-15.495542630692	-1.5629597178671	3.19834953567243	-6.37561305397611	2.27558270256884	-3.87225387573	-5.90059055467702	15.8721733197459	-5.6987866783424	-5.98717051083383	-3.18247754071092	6.83389634633494	-1.40856553482269	1.21571613420218	-8.02805102286959	0.393734144488064	-1.29115403623058	0.81420885663664	-7.93460946361569	-12.2720312566453	6.4386862589588	-4.95013180468243	4.58334781884781	-5.75282323026005	-25.5259049041966	-1.1783724997444	-5.68071131612595	2.40596700670352	-7.21240084227622	-2.54444951841356	-10.2852565699047	-4.22337762790033	5.68014389434728	-10.4877548760567
4	-8.52248625074441	-7.12882375271181	2.12532565566318	-1.88658011831882	-5.99638576249413	5.222987385181	-10.5532493929355	-3.59660311042069	2.03219935354707	14.7014674780652	1.65783820912549	-12.9918990905581	-5.13475716387586	5.62107877670462	-1.41462893142671	3.65147314108555	-15.4097916141731	-1.70297355611444	3.128791051257	-6.40456089829337	2.21700442980296	-3.99603591630751	-5.94031590053862	16.0213642321962	-5.76723522654885	-6.17763389042017	-3.44000984214017	6.77490236467173	-1.46968228991443	1.29060998306505	-7.99082033589457	0.250097306708142	-1.29650261856693	0.662170353448971	-8.09346732524057	-12.3415389040052	6.40347513039728	-5.15773022860043	4.53357427991915	-5.81469443762956	-25.6475636551979	-1.10817966417505	-6.13936667858297	2.87306556418787	-7.3105488368077	-3.24485407166827	-10.4467426879162	-4.33702545765129	5.64318520314282	-10.4687893608219
4.5	-8.65989297904139	-7.30245704784085	2.26408215271533	-1.80518825508716	-6.05660415931641	5.0101057996078	-10.5684747596479	-3.64447693102574	1.81012896561265	14.5440355232429	1.58700496501689	-13.2590768887806	-5.31088933806069	5.90310850558296	-1.51204160841837	3.46515782164187	-15.3178650088855	-1.66995909377215	3.07649193481029	-6.56004930563159	2.31023352475978	-4.09142172905763	-5.973575034215	16.1188331352853	-5.79203455214537	-6.36210600558235	-3.67485836802712	6.79566809679625	-1.69094306773798	1.38027152968567	-8.05520713847039	0.176798420617217	-1.42860148952349	0.51256710467959	-8.13006995497528	-12.3795196585979	6.36156943933901	-5.34888601306477	4.53308818111833	-5.92803483998148	-25.7882259978783	-1.0109199376497	-6.82870334677949	3.11047827652197	-7.40904104467245	-3.54307510785117	-10.6011707553753	-4.49191693028484	5.58803587233638	-10.4043962895624
