Joint_angle	STR_PP_1__1	STR_PP_2__2	STR_PP_3__3	STR_PP_4__4	STR_PP_5__5	STR_PP_6__6	STR_PP_7__7	STR_PP_8__8	STR_PP_9__9	STR_PP_10__10	STR_PP_11__11	STR_PP_13__13	STR_PP_15__15	STR_PP_16__16	STR_PP_18__18	STR_PP_19__19	STR_PP_20__20	STR_PP_21__21	STR_PP_22__22	STR_PP_24__24	STR_PP_25__25	STR_PP_26__26	STR_PP_28__28	STR_PP_30__30	STR_PP_31__31	CON_PP_1__1	CON_PP_2__2	CON_PP_3__3	CON_PP_4__4	CON_PP_5__5	CON_PP_6__6	CON_PP_7__7	CON_PP_8__8	CON_PP_9__9	CON_PP_10__10	CON_PP_11__11	CON_PP_13__13	CON_PP_15__15	CON_PP_16__16	CON_PP_18__18	CON_PP_19__19	CON_PP_20__20	CON_PP_21__21	CON_PP_22__22	CON_PP_24__24	CON_PP_25__25	CON_PP_26__26	CON_PP_28__28	CON_PP_30__30	CON_PP_31__31
-1.80411241501588e-16	-1.82796305058136	-1.61987825049837	0.617830646747799	-1.02674011648531	-1.35891897723884	1.6802758775901	-2.62230676125578	-0.644487748873354	0.713961283770904	3.88341638919503	0.576845585536554	-3.16681233805579	-0.923971495808023	1.49574202452774	-0.00447642275949622	1.14584286977891	-3.6901213361003	-0.305306950138184	0.773013645268348	-1.79854635167287	0.496489452623612	-0.791349713242527	-1.63787582630675	4.23625739969127	-1.589505434547	-1.08318072629156	-0.28879976500551	2.00117345717985	-0.0646083382106142	0.438428447221503	-2.11358707699052	0.372313950354813	-0.031069359706327	0.694080483428618	-1.89170854509984	-2.981371508597	1.46749303134852	-0.833899672202117	1.33384640773416	-1.03337015074778	-5.74498149269098	-0.341975215063949	-0.804758003525091	-0.34377347272988	-1.83312807893691	-0.274383180820429	-2.27732495724824	-0.940105050490797	1.75555746140441	-3.00678237810968
0.5	-1.87458607539814	-1.63694252648891	0.616881612212568	-1.00039307194641	-1.38581244126184	1.66685725219155	-2.63185791037601	-0.670148857570684	0.651161755537889	3.83396306555512	0.551203400877629	-3.18134206171753	-0.936822759772926	1.51018516915039	-0.0617187147023257	1.09346554569587	-3.66588886992386	-0.33034613186621	0.748468667011372	-1.794478868908	0.572970144831054	-0.835163075880173	-1.66826086921398	4.27972875205203	-1.57100601939288	-1.14194630701126	-0.334795676872018	2.00356765368947	-0.098170957404504	0.427656738886885	-2.12322889805086	0.342103516297645	-0.0911765427316498	0.649487712521583	-1.9188064801699	-3.00881409538285	1.51362468567304	-0.889005884608824	1.33242252072416	-1.12540696751787	-5.80139605536552	-0.343620780670157	-0.873383571324989	-0.278214993503137	-1.86542417786677	-0.298627503292067	-2.28457980076199	-0.984000260095272	1.73343158590701	-2.98851878439134
1	-1.93384696405859	-1.65328946956673	0.626763657330309	-0.910862946043512	-1.41956416561531	1.62194836905201	-2.64748516337317	-0.695549155995759	0.629163359810757	3.77310979616427	0.539661564640398	-3.18033439063288	-0.974021849569659	1.52606053549613	-0.104432126814402	1.05717066427898	-3.6400210707049	-0.337649031299224	0.730981511337722	-1.8105916508859	0.521074337425193	-0.864895381373687	-1.67433370532997	4.33532207865505	-1.55991643732315	-1.21087441253949	-0.398262748491224	2.04436085726585	-0.129936218918729	0.389216186451756	-2.10074560800355	0.290707811353812	-0.10974591285177	0.611601139416885	-1.95481303490354	-3.03409725575761	1.52439345304619	-0.941647106809444	1.33084685057009	-1.18842565221527	-5.85433350121363	-0.337258542334364	-0.951974538672691	-0.140544081473443	-1.91506450621879	-0.329719411373059	-2.32898708992697	-1.01911872179005	1.7132870462952	-2.97044587636591
1.5	-1.9624781866298	-1.6851819702278	0.592911704227403	-0.795903999451543	-1.44248164740434	1.59404651258511	-2.66141010969923	-0.708993729727206	0.60255042331921	3.73562373610297	0.525079810472713	-3.19588628793897	-1.01047715576708	1.56833897350023	-0.13166044936075	1.02357021451415	-3.62042199467406	-0.303378415834056	0.709583132119592	-1.82143197683587	0.563230145204215	-0.870392364321991	-1.67669874118547	4.38523223025283	-1.56505922336998	-1.26438773988123	-0.487299034693925	2.06591087282291	-0.143761891560265	0.403703322227981	-2.09105258265921	0.25076258430072	-0.138435608220123	0.567040352173982	-1.96489835651539	-3.01563587025344	1.56811914483209	-0.988747573610114	1.33464882822747	-1.23114027976193	-5.88935674685801	-0.321631179982268	-0.996004676855533	-0.00364914554610007	-1.95139014006926	-0.33375225609968	-2.37131609345739	-1.03557411758558	1.69723061258177	-2.95708345330659
2	-2.02433053841501	-1.70599092032256	0.592176273780667	-0.694451716962802	-1.47795181225113	1.55607572932119	-2.67462761415226	-0.737394214099466	0.575846012760354	3.72331637809145	0.517452818697274	-3.22599950617741	-1.03629816269771	1.56826565777802	-0.14970356769395	0.985136336189179	-3.59244227406662	-0.301067736705965	0.709810798729499	-1.82103553954582	0.597424120574376	-0.880723376403588	-1.68942091726348	4.43227192018313	-1.54529846188038	-1.31506128305975	-0.586589582609576	2.08743233053263	-0.19339212029886	0.401871424751842	-2.12452483732172	0.228770878339923	-0.170042979573266	0.481452048012458	-1.98489666173638	-3.03352777407607	1.5889658749021	-1.04232454707268	1.33536253004704	-1.28687488301489	-5.92889447032524	-0.302408285534692	-1.05170888649057	0.0676479391314242	-1.97816104158433	-0.355788218117548	-2.38985417244579	-1.09302356390261	1.6892392233354	-2.95090523214592
2.5	-2.06082593042695	-1.73946684905774	0.613783509982344	-0.680426488604188	-1.49790618819519	1.52654252411419	-2.69270536313276	-0.753173621766299	0.561229337131162	3.70239430700362	0.508374702228559	-3.22173963222761	-1.07415771548308	1.59126206316825	-0.177132104965243	0.939788536274218	-3.57984849947459	-0.260486910222816	0.716422854816884	-1.83051481263038	0.55077693226349	-0.91060002820141	-1.70069150266017	4.46455270813152	-1.53237572632107	-1.35588867325273	-0.652126348554932	2.08050037367255	-0.2491337442814	0.394469317930902	-2.1646216526603	0.204453069511638	-0.230207452238803	0.416789197744974	-2.01668210180329	-3.02680170424926	1.57945641305966	-1.09446579045724	1.32685806587703	-1.36582197407851	-5.95204805324602	-0.279793524897732	-1.15931599319287	0.185971849787715	-2.01697769941536	-0.454714940344301	-2.41582825237557	-1.15490367083555	1.66620143502325	-2.92689081331729
3	-2.0919716036811	-1.74802260846956	0.623581767099414	-0.605276997496219	-1.52008300322407	1.49733832269318	-2.70188342567198	-0.762191161700041	0.555601718298468	3.70322778592721	0.503939798250646	-3.22767554949235	-1.10671100399965	1.58631343181859	-0.220624321021447	0.908579224351004	-3.55828471143502	-0.282113283298991	0.703634664458864	-1.84663078034049	0.559334587245899	-0.933731687103482	-1.711152398453	4.5076432130054	-1.52750316220542	-1.40033409284028	-0.715586681886782	2.06324514054246	-0.305163777301308	0.406198297009953	-2.20901402179595	0.15808909087185	-0.266734371180722	0.354800093573034	-2.03916555866931	-3.04161195055853	1.58013379277465	-1.13227783354886	1.31186611221723	-1.44029478457287	-5.954325515014	-0.271328481642694	-1.19150184215878	0.359405425168473	-2.03995075168861	-0.480564953658421	-2.43762827659288	-1.22228847126986	1.65862164972806	-2.90966889964528
3.5	-2.09132977561924	-1.77598594727941	0.628462243352612	-0.470902505802357	-1.54572272762868	1.48474758474542	-2.69390124224012	-0.778752580012032	0.547324288389572	3.65968079130722	0.491050151490346	-3.24225868149399	-1.14216480287755	1.56922051535401	-0.280754482268526	0.873150767086637	-3.5396466058362	-0.312020474823379	0.704718162059216	-1.848566444293	0.509840654019971	-0.96070257532836	-1.70696544139235	4.5588975628383	-1.53786332799816	-1.47271717924775	-0.806926084147931	2.06333776099438	-0.364453519548406	0.409096629946097	-2.21631917139625	0.112790994185247	-0.312827448700946	0.30535198858814	-2.07403782957363	-3.0525954191946	1.62503336474227	-1.18549799297706	1.3026314422796	-1.4761329473038	-5.99745748488248	-0.275804172845513	-1.33108252597187	0.533710624212118	-2.068411473959	-0.569465191612066	-2.45359592860491	-1.28768922571433	1.65437226013142	-2.90600168845732
4	-2.13993858720843	-1.81008000671072	0.654635251412087	-0.439310637287796	-1.55902657701418	1.45339886766752	-2.69727302261899	-0.798889199448971	0.517493327562461	3.6378535170424	0.471540860118636	-3.26728096343228	-1.1762978292642	1.65479708083551	-0.328143381463128	0.83391873361239	-3.5214235717057	-0.342551619229333	0.688958614342637	-1.85765466509761	0.496843492057629	-0.99088559929932	-1.7186942920662	4.60228445797029	-1.55625314366942	-1.51931773340818	-0.874433800996682	2.04670899972256	-0.380266651121387	0.430465178886697	-2.20849015714205	0.0783693004559765	-0.314531298539558	0.266165870886578	-2.11494644976763	-3.0707895348311	1.61712007609912	-1.23429645731085	1.29032075298983	-1.49227021781696	-6.02834622292773	-0.259663097652729	-1.4383496826421	0.636892866561003	-2.09661823064869	-0.724205675916997	-2.4919706532914	-1.32084613929354	1.64554737306501	-2.90149884049724
4.5	-2.17455591527004	-1.85422241255216	0.696450593533033	-0.41713105889374	-1.5743466841824	1.39818003821447	-2.70171185541082	-0.809398890166981	0.459836833989104	3.60061941337458	0.456025374913243	-3.33349783995025	-1.21647101202607	1.73301226419722	-0.352587462837882	0.793769146267819	-3.50175379624332	-0.333078703865487	0.677061475206426	-1.9024807827315	0.517690420859609	-1.01421169620057	-1.72858044786506	4.63089777163489	-1.56279247162312	-1.56450467159603	-0.935942238326573	2.05342219795473	-0.437588885890652	0.455729119881315	-2.22707029975233	0.061052205716233	-0.344787066488267	0.227652046488379	-2.12583577801144	-3.08149365889408	1.60769525897111	-1.2794010032492	1.2913265150495	-1.52150769925404	-6.06330320011922	-0.237283333828562	-1.59941814966682	0.689358827807645	-2.12493295090513	-0.790227859372862	-2.52871410698312	-1.36541797215998	1.63169032741261	-2.88453915337428
