Joint_angle	INT_1_STR_PRE_L	INT_2_STR_PRE_R	INT_3_STR_PRE_R	INT_4_STR_PRE_R	INT_5_STR_PRE_R	INT_6_STR_PRE_R	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_9_STR_PRE_R	INT_10_STR_PRE_R	INT_11_STR_PRE_R	INT_13_STR_PRE_L	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_18_STR_PRE_R	INT_19_STR_PRE_R	INT_20_STR_PRE_L	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_1_CON_PRE_R	INT_2_CON_PRE_L	INT_3_CON_PRE_L	INT_4_CON_PRE_L	INT_5_CON_PRE_L	INT_6_CON_PRE_L	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_9_CON_PRE_L	INT_10_CON_PRE_L	INT_11_CON_PRE_L	INT_13_CON_PRE_R	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_18_CON_PRE_L	INT_19_CON_PRE_L	INT_20_CON_PRE_R	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_1_STR_POST_L	INT_2_STR_POST_R	INT_3_STR_POST_R	INT_4_STR_POST_R	INT_5_STR_POST_R	INT_6_STR_POST_R	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_9_STR_POST_R	INT_10_STR_POST_R	INT_11_STR_POST_R	INT_13_STR_POST_L	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_18_STR_POST_R	INT_19_STR_POST_R	INT_20_STR_POST_L	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_1_CON_POST_R	INT_2_CON_POST_L	INT_3_CON_POST_L	INT_4_CON_POST_L	INT_5_CON_POST_L	INT_6_CON_POST_L	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_9_CON_POST_L	INT_10_CON_POST_L	INT_11_CON_POST_L	INT_13_CON_POST_R	INT_15_CON_POST_L	INT_16_CON_POST_R	INT_18_CON_POST_L	INT_19_CON_POST_L	INT_20_CON_POST_R	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L	INT_30_CON_POST_R	INT_31_CON_POST_L
0	11.8530165669609	13.7566810476589	12.1987356475334	5.03040267784046	17.201053162407	11.1222502661868	10.9343137286897	11.6877345742399	8.01373072757396	9.35057957225106	14.3496168451645	11.8498281176802	13.5250502253655	14.11132935171	16.1971406354483	13.9963615626509	16.5138924422443	14.6968040679058	15.8447233294914	14.7226587299877	20.6759820014561	18.9673617374644	16.0367372255103	11.335498643652	13.5811168276472	13.4294017458445	7.20255303963067	10.4200894733728	7.20886887325751	13.9642579689577	9.94226401020151	16.2949016929103	7.73860922915432	8.17148405895593	10.8298876155151	10.4792820827956	14.2412532358938	13.4070861883826	16.8325411005814	14.5355299561586	13.5469832070983	15.6158250023005	13.5047145354587	17.4219885134162	13.1105162896378	21.3429830031927	15.1121679909671	10.5497987925041	19.1251542805714	11.4555614341593	9.59980380892441	13.2878436545456	16.7701351718079	10.2324273708243	10.1203708023798	10.3542935432605	14.9084325446702	14.8445764922138	13.8497354004983	12.6980185310325	19.2230201930085	9.52935093761935	15.8470085302607	11.2440963145905	19.8883275883401	14.7092167959448	15.3950648867534	NaN	17.6147806306984	13.0314940045021	18.651587288332	21.1446614320038	14.344307671327	10.3640654848113	16.6951799733696	11.4606301621736	16.0318130806948	16.1945842297909	11.6776614164212	11.3748749125955	14.9005766503897	9.89732386793699	17.2349474993485	15.0191165729697	21.2884129756737	15.6518349290064	7.95865615290674	16.2147350937018	9.43042401038281	21.3550155475713	16.0018099646811	14.5249844409381	10.0938846109479	13.9401267346051	7.51098900436426	20.5041564676194	17.182702390869	19.4868606711904	8.13994340802838	16.7836969691056
0.5	11.8794427959685	13.7689781429723	12.2409394943569	3.68995774227416	17.1054653703523	11.1244030761691	10.8049730186299	11.7060238529379	8.1026157418383	9.09259071734631	14.3358455038081	11.7317554807815	13.4679405085195	13.9777670442169	16.1901221858648	13.988530415129	16.3976404887196	14.7002403697103	15.8107613458704	14.6170400051182	20.6055082070416	18.9527956056145	15.9838687659489	11.2500056244588	13.4981273702794	13.4336771524472	7.15269022613655	10.3311674394055	7.14223938611547	13.8525527069602	9.86979314835023	16.2315875138308	7.68264525294408	8.08878082809184	10.7910897228232	10.4146101293917	14.1928811892892	13.3476851287219	16.7617068075299	14.4739694454452	13.4388259003111	15.5739694996165	13.496797642685	17.395594344078	13.1171314846939	21.2986346354049	15.0273350186995	10.4754797753191	19.1574104506813	11.4678474509073	9.53676181631199	13.2169965976448	16.8744998867573	10.1898213606135	10.0414888340157	10.2897173436489	14.9156557270662	14.8428861341566	13.8324728860884	12.6078147025019	19.2930063884569	9.44623535092689	15.8180454702502	11.112107097415	19.912793692943	14.6454574268709	15.2910297350009	NaN	17.6054175153915	13.0684552787994	18.6573514704546	21.0468399182412	14.3742875150642	10.3001371541888	16.5798279018926	11.4159891812764	15.9946540530202	16.1878788768806	11.6007677058503	11.2820115412796	14.8142630436289	9.79260349290289	17.0973413352151	14.9591383743567	21.3060505070503	15.6528073172954	7.86328341341589	16.1738420293036	9.39780612385239	21.2436833718787	15.9296895428912	14.457255662818	10.0143997627766	14.1357544216804	7.41842414675369	20.4564378014043	17.1276904008535	19.4517345989445	8.19890427825659	16.7081466742907
1	11.8764073356018	13.7889457093187	12.247200707237	4.35056503763978	17.0738802720786	11.098070246435	10.7068702389158	11.7454043597864	8.15781631008872	8.967608399793	14.3064523360058	11.4843621442391	13.418454511539	13.8875402771879	16.1273828342225	13.9737348019459	16.3153456659276	14.7127182170948	15.7938278029658	14.63888667553	20.5263365243974	18.9443187952344	15.9197242451944	11.1311429550657	13.4032739339092	13.425782639902	7.07932845835804	10.3131328294934	7.09606642358328	13.7688174950666	9.7859983578383	16.1671962718643	7.65105066312128	8.07192559345672	10.7691013073744	10.3400079497425	14.0555596000178	13.2676474796842	16.5845069085255	14.4118745796461	13.3586866747634	15.5773512505348	13.5609643248066	17.3873480498234	13.1475661371325	21.312141083727	14.9795959696554	10.408352107075	19.150530755675	11.4200891027299	9.4825548799186	13.1707665593729	16.9184526992301	10.152470292958	9.82336303200352	10.1293166118054	14.9616344042563	14.8215942626905	13.7954326056878	12.5890779683013	19.3389714780906	9.36045365716743	15.7906136859274	11.0319562693981	19.9131866885614	14.6392204528405	15.2951009887464	NaN	17.4203273840886	13.0707616902514	18.6205534139133	21.0782495898945	14.3981585585777	10.2695946892552	16.5087654896392	11.3724239343669	15.9098116796112	16.1299245263318	11.5318006042131	11.2044969052793	14.7109931296999	9.69209532341321	16.9876965920096	14.8725123553985	21.2727733731738	15.6434359780338	7.7752619807002	16.0977791109888	9.325438447127	21.1748474297052	15.845366377807	14.4558435164728	9.98864305947018	14.0550348181401	7.30693367076452	20.4308603491528	17.0734495300731	19.3797340291727	8.10782068430365	16.6356779148252
1.5	11.8842893330899	13.7910282227896	12.2720075157813	5.80356685480403	17.0465831084889	11.0800348289224	10.600975855868	11.770961569189	8.21934827644955	8.90244369611461	14.2967474930598	11.3394379195026	13.3792751643155	13.8124943898066	16.1159338742126	13.9665843043877	16.2692799091271	14.7516781048353	15.7769267213869	14.6414549903078	20.5107734431893	18.9358306635582	15.8503265622827	11.0014415393456	13.3412980828062	13.3825695535796	7.00791883642109	10.2889989793421	7.06235771054676	13.6985094224024	9.73226305696116	16.1351017939104	7.58958617473292	7.97733580811776	10.7477315602469	10.2542770013979	14.0083099739778	13.2021003107846	16.4539398239803	14.3439907633354	13.3037928534394	15.5294541762662	13.6158881808777	17.3380631370098	13.1327327894788	21.2935258710358	14.8771723048157	10.3473247792273	19.161921163042	11.4031762485248	9.45363620207579	13.1584850084226	16.9845839263229	10.1252598541229	9.53094653653739	10.0161220829594	14.9879991284252	14.7370186121153	13.8949009781655	12.5789258894014	19.3529646747072	9.26487027626393	15.7022402381471	10.9846093476332	19.922997589048	14.6309322540473	15.2812326123981	NaN	17.4795722787613	13.0664053883454	18.5801511439942	21.1247635745429	14.1791249856629	10.2392084374387	16.4220392620646	11.2928076907446	15.9269324128706	16.1059518065224	11.464978098599	11.1952567910307	14.6454140928397	9.59750562805269	16.8819601396534	14.8969480214643	21.230950126345	15.5974126161503	7.70023768830637	16.0427291941765	9.22041586197444	21.101623592678	15.7848356540953	14.4353259795502	10.0455070281057	14.07926733795	7.23078765991759	20.3757541967997	17.0224717420721	19.2759892366144	8.14501601991054	16.5412612652912
2	11.8860870250694	13.8124307225739	12.3864150978599	6.72567298677412	17.038017169992	11.0423870034683	10.5169395783186	11.8334389234359	8.24551133621265	8.86515698538491	14.2818605979012	11.2726847473041	13.3460887394541	13.7280057143196	16.0993059765568	13.9787250064222	16.2784523561996	14.7367138341107	15.7543704255262	14.5833827483033	20.6085751115605	18.9156427829243	15.7917565624868	10.8989638174307	13.2823044972811	13.3778897791734	6.98220592613271	10.2579038025595	7.07306894608344	13.6341502713899	9.67992423356559	16.1156646935096	7.57165108718652	7.92708671277402	10.6985212394647	10.1881121937083	13.9206835743573	13.1326066214097	16.3453077673411	14.3029964843448	13.2082163281523	15.5073827529294	13.6152044390236	17.3137719699857	13.1368774324585	21.2256612376016	14.7705147109035	10.301030985208	19.1804726258068	11.4497783553495	9.41309215539349	13.1233109654853	16.9885626771952	10.1021775336639	9.34189603072878	9.94079167789273	15.0135284872106	14.7511994929189	13.9060141189248	12.5584412452372	19.4107964173209	9.2375598293518	15.6406433791764	10.9757857092981	19.9496511313758	14.6103398484948	15.3486961459549	NaN	17.5273549925433	13.0615430041061	18.6763582632411	21.1916783649407	14.141084259631	10.1900878196873	16.3495017307869	11.2670876756363	15.902274242861	16.0369345733955	11.3674998751255	11.1831078014284	14.623860147634	9.49989839770515	16.7720087448266	14.8811026981207	21.2295851123524	15.5961132785754	7.62561231592353	16.0145242426754	9.13070025907959	21.035135600256	15.6777780067026	14.4609596742363	10.0431970685489	14.1499072522608	7.13564130827484	20.414407430528	16.9732240219803	19.2524989121173	8.18304767277283	16.453618366134
2.5	11.8941464101307	13.8310128836488	12.583006164957	5.86626043873414	17.0651399863566	10.9960185191909	10.4394223290682	11.8597339864555	8.32440761883814	8.79259987826024	14.2519818251076	11.1069453001323	13.3032899661661	13.578863492471	16.0910572190155	13.9904231114142	16.1997309506706	14.768060860488	15.7227237422377	14.5659781259573	20.5979770234833	18.914171696245	15.7214113124334	10.8458274888301	13.2182595910899	13.3591218503123	6.94221546948056	10.2505861790636	7.16150726749918	13.5768096777724	9.57933073609725	16.0869946276858	7.42047523754254	7.89470093652681	10.5986988912419	10.1188443084867	13.8496690693559	13.0571022558571	16.2486901861533	14.2426004796375	13.1049638603216	15.5085887839343	13.6074509500038	17.2839549414194	13.2011955003295	21.1741721088415	14.6775151337024	10.251102077506	19.1512947931783	11.4870656730987	9.36849919848413	13.0697549250581	16.9497748853414	10.1040420076088	9.29848666509487	9.86498133794143	14.9797720396916	14.74738893071	13.9304640238751	12.5523007799456	19.4268430022754	9.16224622478342	15.6049710311265	10.946217395208	19.983207188249	14.5991837602193	15.379410558968	NaN	17.5182405557391	13.0318159855214	18.59594144363	21.2154317793406	14.1558611735127	10.1584017769097	16.2832142968961	11.2166856269716	15.8619964502872	15.9888412499682	11.2859852596873	11.1742090491191	14.5100922573839	9.38350519040094	16.6460618628029	14.8418443232512	21.1667999228915	15.6145689515794	7.53559775673067	15.9954175145469	9.04442345479378	20.9878214314719	15.5190802812865	14.4641073092756	10.0523251104808	14.2754953866827	7.05242831217835	20.3617400548146	16.9603742496095	19.1997544571225	8.14577033989218	16.4028044978281
3	11.900205744459	13.8208054155549	12.7526274934904	5.22617466893429	17.089544759243	10.9571765093334	10.3690318076528	11.8883823337782	8.39197698235673	8.74007993875035	14.1936356829307	10.9972906254394	13.2589171591048	13.4924829538689	16.0803540735784	13.9987540904854	16.2026767815711	14.761382172737	15.6798979163429	14.5564951353587	20.6631837501408	18.8830905467649	15.6565295144153	10.7420410075182	13.1561808648329	13.3083952025747	6.92014130991991	10.2533228688626	7.20402886890437	13.5284155447765	9.4673899620103	16.0242342281392	7.36104349084213	7.83724119240551	10.5468970898328	10.054594051607	13.7793027575096	13.0094024301068	16.1493021813561	14.1663849603194	13.0488731864008	15.51775329486	13.6285767462515	17.2494930345214	13.2277818898509	21.1307890455876	14.6015422528642	10.2040786016138	19.1618075914923	11.5203208021315	9.35790554077299	13.0255932641548	16.9289148307291	10.0764724726913	9.19742879497867	9.73783578665722	14.9841748960153	14.6900451168526	13.9941111075694	12.5286059623453	19.4672482951364	9.12250092694274	15.5684321605504	10.9160908834995	20.0406289650342	14.5608552999221	15.3984415696719	NaN	17.4169497224249	12.9890190633029	18.5974861859636	21.1492880845948	14.116558159627	10.1117087616905	16.2149009658058	11.1617669492026	15.8643588585767	15.8869175406679	11.2160593974713	11.140511345598	14.4232014477617	9.28572977060447	16.5370071159391	14.8556902776345	21.1236656954276	15.5387159655132	7.47156095267353	15.95765769525	8.95722959523346	20.9587342517357	15.4915860086602	14.45660737862	10.0270506662676	14.4632802455952	6.98511270108192	20.3551766923462	16.9616472045671	19.1038546721545	8.04755116135109	16.3068867613048
3.5	11.9360730273889	13.8460259549048	12.8826621086328	5.48933674686612	17.1096900192947	10.9480263908394	10.2954895575453	11.9089977122267	8.46161869320816	8.64582388073451	14.183598243809	10.9016479932738	13.2120676085187	13.4392739176315	16.066583496779	13.9840383187912	16.2124398780197	14.8294756851391	15.6215248745657	14.4994594816214	20.6921304107649	18.8676993216257	15.6045151917157	10.6290070510699	13.1160785218926	13.2538211315928	6.90192956421975	10.2429759452564	7.24332272865399	13.4758526082205	9.394481402306	15.9748553573456	7.28090148718688	7.73094126477558	10.4978919960659	9.99731289548152	13.7139328637365	12.9298355421237	16.0449733284371	14.0475511794305	12.9712205891246	15.5048629249486	13.6632379026048	17.2483111275516	13.234788214891	21.1436236305911	14.4976374965029	10.1500816386867	19.2207379932416	11.5463829275764	9.34440675560257	13.0200887858956	16.9362387545748	10.0147197241749	9.10297257098749	9.64258629840742	15.0186989437432	14.6771153765277	14.0407689121684	12.5376353450986	19.4737844154171	9.04362624741929	15.4963203224375	10.8706174305891	20.0910699756446	14.5514325729333	15.3542618109173	NaN	17.0898830671017	12.9832456183699	18.6111531488813	21.1117485134008	14.0751910701941	10.06091528009	16.1341845196185	11.1109198446135	15.8337116873184	15.8723112147432	11.1446511565465	11.0939491519916	14.4239547624624	9.20830004995442	16.4353904474588	14.8243703355468	20.9890761528608	15.4987256847847	7.50066058007103	15.9140920811087	8.8894738596843	20.9909002385314	15.4608284369434	14.3706130670797	9.97568530615028	14.5481671446403	6.92844338002075	20.3144546378702	16.9636536542882	19.0516968142906	8.04850688074718	16.2154287533838
4	11.9303678770642	13.8595136818376	13.0438160453824	5.41951132249099	17.0953530390559	10.928543510912	10.2375093901753	11.9113960686121	8.51883635712362	8.69933710003136	14.1422589339499	10.7762511654937	13.1695855013447	13.3560812490174	16.0593204101778	13.9614323813656	16.0455959217676	14.7842115399839	15.6120975307455	14.4061515660646	20.6270601500912	18.8546210962179	15.558473851987	10.5368897200951	13.0605610096214	13.262046930025	6.92310814124502	10.1858168017204	7.27429951187509	13.4315539744828	9.32994942121424	15.9668677540412	7.16218917585459	7.63019693628195	10.3985953026164	9.92639844854215	13.6109065322137	12.8506564290421	15.892211592727	13.9722955784024	12.8943446152588	15.4815478615969	13.6802050946677	17.2323817087967	13.2919930900402	21.0315491395257	14.4288644379948	10.0500130440754	19.2248344048916	11.5719949406367	9.29744022244813	13.0081426349927	16.9200845568953	9.99827079519205	9.02864173927549	9.53126304641985	15.0483520525346	14.5958418889203	14.0629666557331	12.5370083368398	19.463145826466	9.0452942564115	15.4672023543051	10.8490878016265	20.1702940225045	14.5522374419956	15.35011581356	NaN	16.9776393576031	12.9599243098494	18.6449437766668	21.0984449320259	14.0583615661501	10.063280544884	16.0867496025273	11.0535480198146	15.7603844824848	15.8932257895703	11.07565232762	11.0635131042064	14.3861694819393	9.09629087491934	16.3541954313187	14.8115858801011	20.8237812034064	15.4281348095232	7.59085410265495	15.930122935001	8.84773786051704	21.0527822182667	15.4253308036366	14.3233149767725	9.92246743952649	14.6293055683691	6.87002932953618	20.1618994117794	16.9018616521201	18.9979932745208	8.0478415909572	16.1284265511286
4.5	11.8984259648891	13.8667660833968	13.1450595668367	5.30135605937454	17.0921356512245	10.9184389704614	10.1989501277687	11.9221834582713	8.53443335868329	8.58894046234699	14.007343596792	10.6842769359699	13.1321910505931	13.2486004706593	16.0630648373692	13.9145300099747	15.8895997006627	14.7432913082504	15.5637691429441	14.3770241619799	20.5336589439264	18.833465898712	15.4884275931138	10.4904372862278	13.0446870604992	13.2311376641049	6.92434256098518	10.139124985785	7.27734061619487	13.3740292149581	9.21964175307867	15.9587237209419	7.12354068213267	7.53621516642478	10.3300676706425	9.86827267457722	13.5760609218252	12.7736947677593	15.7901613853946	13.8553700306522	12.8001935377364	15.5063249938603	13.696300452721	17.2100662046625	13.2741749972699	21.0759663357314	14.362594500688	9.983123643259	19.2432178710109	11.6558229705347	9.28056900760728	13.0076583366503	16.9222024673814	9.92015945008932	9.01734417739842	9.4490867772368	15.0622970729715	14.3739527420424	14.0531585249846	12.5643815276741	19.5181201124298	9.09534577794621	15.4612514913239	10.7940180231766	20.2375507687755	14.5631650064424	15.3900297128289	NaN	16.7501552005126	12.9475840371839	18.7855618956921	21.0615467807139	14.0474024577751	10.0692304266118	16.0476251357577	11.0108893094065	15.6834055273584	15.8898219855182	10.948300229766	11.0574934649979	14.3759718766386	8.97092646722711	16.2631199570209	14.8161056051284	20.8301731915337	15.346152176261	7.60176682907583	15.9212164428857	8.7927878448295	21.0713910872737	15.411392280659	14.2858195699737	9.87391039976671	14.642319871834	6.81095654047837	20.1390956906133	16.8196901246306	18.8888323128121	8.0071737336862	16.0610568542981
