Joint_angle	STR_PP_1__1	STR_PP_2__2	STR_PP_3__3	STR_PP_4__4	STR_PP_5__5	STR_PP_6__6	STR_PP_7__7	STR_PP_8__8	STR_PP_9__9	STR_PP_10__10	STR_PP_11__11	STR_PP_13__13	STR_PP_15__15	STR_PP_16__16	STR_PP_18__18	STR_PP_19__19	STR_PP_20__20	STR_PP_21__21	STR_PP_22__22	STR_PP_24__24	STR_PP_25__25	STR_PP_26__26	STR_PP_28__28	STR_PP_30__30	STR_PP_31__31	CON_PP_1__1	CON_PP_2__2	CON_PP_3__3	CON_PP_4__4	CON_PP_5__5	CON_PP_6__6	CON_PP_7__7	CON_PP_8__8	CON_PP_9__9	CON_PP_10__10	CON_PP_11__11	CON_PP_13__13	CON_PP_15__15	CON_PP_16__16	CON_PP_18__18	CON_PP_19__19	CON_PP_20__20	CON_PP_21__21	CON_PP_22__22	CON_PP_24__24	CON_PP_25__25	CON_PP_26__26	CON_PP_28__28	CON_PP_30__30	CON_PP_31__31
0	17.212644926675	12.067748390217	11.3027463664702	7.28911302643871	21.5686687704773	-2.78993365227616	11.851614143592	-0.345544787909271	-2.39553938277901	-8.29727326375436	-3.75351885522547	17.8695107517894	-3.8270164822684	-3.8876964586535	8.26839930225832	-7.44740981480065	28.3902804857578	16.5689009210275	-5.1986220629036	5.39751293568813	-8.26429743444601	9.24727771601805	11.5109388849859	-21.458642879706	19.9541917704679	14.7691334270323	5.50331528621824	-15.4007705077485	-2.26721858065822	-0.951762272725531	8.97838699706831	9.39729913687424	-3.86809065208902	-3.84733704417968	7.74804296699166	16.7241742648614	-3.6267428172226	-0.0451245734160466	NaN	9.13528860896006	27.6654639668754	NaN	NaN	1.036775153238	11.2214435007888	-2.94492006123752	19.3088966122677	1.67082081843279	-6.28764595959642	22.0784387010809
0.5	17.5739754497479	12.1883863741054	11.3712149369781	6.47494382337395	21.8496860343612	-2.73553786208253	11.9191984399622	-0.230806045064519	-1.98573273331617	-7.76999542642656	-3.55650524012694	17.9800355640283	-3.69483109906943	-4.0233017434219	8.74933725684518	-6.98679307504821	28.1573765367965	16.7531991020753	-4.9443176369781	5.38431274636277	-9.09462915859293	9.69057750087742	11.7193327710679	-21.7588527239397	19.83138629031	15.2182401474766	5.79488949726866	-15.463368519895	-2.01464770708626	-0.887579998357932	9.08573177267593	9.73428490948484	-3.31488917766388	-3.54056236137667	7.99070514743037	16.9570504378654	-3.87546731743254	0.38576890890408	NaN	9.72890153053644	28.1413260412113	NaN	NaN	1.59856772152356	11.4270840326633	-2.78364766621425	19.3822158834708	1.99828474946724	-6.17626312610874	21.9659821129061
1	18.0363018921253	12.3092676767839	11.3180790760212	5.33420015614904	22.1982177862217	-2.39303044252871	12.0417136870045	-0.0557250485677354	-1.82381781717797	-7.14418884593098	-3.48241212066773	18.0049222199053	-3.42586809312475	-4.15646524419574	9.11570248537472	-6.65342660705714	27.9001575063442	16.8149877692147	-4.76201446280835	5.4954170406362	-8.56979416926384	9.98207169132129	11.7778040436605	-22.1515156615468	19.776902053831	15.7419375270013	6.2082710579748	-15.808185190434	-1.77926137569253	-0.532418247715515	8.94070009585361	10.2788481967872	-3.13277985417399	-3.33021004034505	8.31098719578231	17.1720959139067	-3.93495497751749	0.793062931469702	NaN	10.2119191393157	28.5859073190717	NaN	NaN	1.32309313400361	11.7265443452623	-3.22098827103366	19.8025025308706	2.26909947309909	-6.04959658997213	21.8638477511012
1.5	18.2616431199771	12.5464716524254	11.6226405506388	4.28664056215553	22.435920253551	-2.17964433750814	12.1499591028562	0.0335630199392449	-1.62766349543291	-6.74188065707997	-3.37831889773577	18.1343702013959	-3.16585670316874	-4.49107402480108	9.35203120445204	-6.3474031787396	27.7078821800258	16.5652947552502	-4.53635066572695	5.57065120553425	-8.99877978688594	10.0518363796708	11.8063688422019	-22.5041734984235	19.8359624219943	16.1593900367611	6.79201272152575	-15.995426170176	-1.68027696274961	-0.715857958551123	8.89343771201228	10.7057404865783	-2.8555424241146	-3.063184513686	8.41002608704732	17.0018841021195	-4.19001024770841	1.03242724117553	NaN	10.4939882662175	28.8767669032203	NaN	NaN	0.976002330970271	11.9444328628824	-3.95939708386907	20.201355215374	2.41834240517075	-5.95855937893379	21.801563630633
2	18.7395812294846	12.7004086151414	11.6530424442704	3.65125510241964	22.8024474434834	-1.88964157772085	12.2498139751249	0.232396314049392	-1.43394057704831	-6.58242276227533	-3.33604654082118	18.3660855959778	-2.98678801872149	-4.50958717590658	9.51122355793098	-5.99058964607698	27.4259421639625	16.5527644741208	-4.52289218377586	5.57130099754363	-9.35272315025305	10.1632354288766	11.9071325395836	-22.8337689173328	19.7156864019807	16.5491575510564	7.44041005503224	-16.1890614020643	-1.31091673972376	-0.73071542392081	9.17252545044974	10.9510429649183	-2.55045310195142	-2.53074870729094	8.59331701985021	17.149565813706	-4.30943851378003	1.31861611201061	NaN	10.924167978047	29.2010554086617	NaN	NaN	1.0332203942251	12.1043130852402	-4.5456460197629	20.3863372449836	2.84024404048053	-5.94177864677045	21.791506370949
2.5	19.0506942696549	12.9488597492294	11.5080300435315	3.43216890160421	23.0102447160888	-1.66877603588068	12.3951650476225	0.338001088526493	-1.32289857714718	-6.33471552394575	-3.27620581142032	18.3547150299909	-2.71189014065685	-4.70100823461181	9.74918857674495	-5.57172282526965	27.3011343612345	16.2510945961913	-4.57143718533469	5.63955374074313	-8.88348459617216	10.4610042965043	11.9992706268184	-23.0617622543633	19.6447498443399	16.8735085580951	7.86818671732903	-16.1603796924536	-0.894972510796521	-0.676003180528468	9.51276868454032	11.2195131641237	-1.97571863978225	-2.13191375812312	8.87466500761221	17.0914317968269	-4.2485995412647	1.63297395251223	NaN	11.4869453312333	29.4025578633122	NaN	NaN	0.867925894145152	12.3380433865271	-4.64774642908187	20.6408738181023	3.27980584625566	-5.81063454734102	21.6340189196989
3	19.3273501852975	13.0104489146491	11.4667947813793	1.21623788302026	23.2416889796289	-1.44917524403284	12.4584822938711	0.388558959532721	-1.27404940715685	-6.29097450494924	-3.25902250678981	18.4269565291893	-2.47893263822991	-4.67083338010252	10.1219795886155	-5.28547594484821	27.0869387542036	16.4236046399437	-4.4324694627968	5.75649666407262	-8.98377443793225	10.7086952691438	12.0853515622664	-23.3668056723136	19.6329174854988	17.2255024320031	8.28421738475093	-16.0642359384232	-0.475607620917479	-0.822518857442319	9.90477371559861	11.7144514585057	-1.62310531685124	-1.74843445187038	9.0740887057897	17.2177940504387	-4.24759565809348	1.83132886498592	NaN	12.1882875683637	29.430558284542	NaN	NaN	0.642018779137985	12.4744276501373	-4.66976755193307	20.8641737140925	3.77385236878519	-5.79597148313472	21.5311150597423
3.5	19.3514479841894	13.2174484934399	11.468247209381	-0.670565071644063	23.5077354438033	-1.36053318354992	12.3680203811784	0.496427096762493	-1.20386965362508	-5.83427385654648	-3.16650811532872	18.5513960748273	-2.22530371719349	-4.55270737768184	10.6344107064748	-4.95923750360335	26.9025173957747	16.6671409322505	-4.42930597968956	5.77380016196679	-8.49115336052154	10.9917200381154	12.0673222939689	-23.7260953103675	19.7279089309644	17.7845815398615	8.88148314130953	-16.1140082647805	-0.0321948839536645	-0.890145557125365	9.96624552912506	12.1955383229523	-1.18201226966436	-1.44845817531684	9.38549887213226	17.3166901447207	-4.50958908519709	2.19866608289833	NaN	12.5056476461938	29.7831518707062	NaN	NaN	0.270949394777119	12.6452001075026	-4.83541532943414	21.0371365948756	4.24353769117912	-5.79320146731037	21.5393752577421
4	19.7509333549051	13.4696522816381	11.3040211727177	-1.11456746601214	23.6470889960564	-1.12459828462434	12.3828280643127	0.63122972632549	-0.982091484625531	-5.58268120573639	-3.02511873554986	18.7449532995372	-1.98291288457726	-5.22429449022133	11.0398577478087	-4.59981153050814	26.7241545631312	16.9115782925852	-4.26414842611988	5.83968916372207	-8.36351001975902	11.2976893886266	12.1651591530606	-24.0292597598473	19.8811704848992	18.1587565520849	9.32249448619846	-16.0268705666677	0.0807931508495656	-1.14059700808216	9.91449975492557	12.5671322107409	-1.15725620096782	-1.22260540440758	9.7666829580296	17.481358167759	-4.45834674661702	2.48611172982025	NaN	12.7543296409425	30.0461730229626	NaN	NaN	0.300063238735682	12.8135795222829	-3.94599034055615	21.4159698347262	4.49372404288347	-5.76095202720689	21.5331535172477
4.5	20.0436488054903	13.7972453884831	11.0064565945752	-1.23131502961564	23.8073782084439	-0.702160389457546	12.4059517550334	0.694916276717471	-0.572177118613062	-5.18901279075661	-2.92228957087751	19.2224863263105	-1.69533573968296	-5.83340139930423	11.2526495691989	-4.23312425825529	26.5338536987949	16.8525307641966	-4.13600529310956	6.15465728569245	-8.58888272239353	11.5499911876048	12.251354100765	-24.2298757705705	19.9493674229847	18.515582044491	9.72457188772011	-16.1146785742253	0.50854037010582	-1.43310325981983	10.0758506516951	12.7652440966955	-0.867323557484543	-0.999698974330908	9.87084223699617	17.5774109252867	-4.39759974614937	2.79648708476977	NaN	12.9627435862555	30.350240758421	NaN	NaN	0.914937920724572	12.9822754689941	-3.55724629872129	21.7776078438646	4.83042367763766	-5.68705336768978	21.4314486643374
