Joint_angle	INT_1_STR_PRE_L	INT_2_STR_PRE_R	INT_3_STR_PRE_R	INT_4_STR_PRE_R	INT_5_STR_PRE_R	INT_6_STR_PRE_R	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_9_STR_PRE_R	INT_10_STR_PRE_R	INT_11_STR_PRE_R	INT_13_STR_PRE_L	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_18_STR_PRE_R	INT_19_STR_PRE_R	INT_20_STR_PRE_L	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_1_CON_PRE_R	INT_2_CON_PRE_L	INT_3_CON_PRE_L	INT_4_CON_PRE_L	INT_5_CON_PRE_L	INT_6_CON_PRE_L	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_9_CON_PRE_L	INT_10_CON_PRE_L	INT_11_CON_PRE_L	INT_13_CON_PRE_R	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_18_CON_PRE_L	INT_19_CON_PRE_L	INT_20_CON_PRE_R	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_1_STR_POST_L	INT_2_STR_POST_R	INT_3_STR_POST_R	INT_4_STR_POST_R	INT_5_STR_POST_R	INT_6_STR_POST_R	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_9_STR_POST_R	INT_10_STR_POST_R	INT_11_STR_POST_R	INT_13_STR_POST_L	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_18_STR_POST_R	INT_19_STR_POST_R	INT_20_STR_POST_L	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_1_CON_POST_R	INT_2_CON_POST_L	INT_3_CON_POST_L	INT_4_CON_POST_L	INT_5_CON_POST_L	INT_6_CON_POST_L	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_9_CON_POST_L	INT_10_CON_POST_L	INT_11_CON_POST_L	INT_13_CON_POST_R	INT_15_CON_POST_L	INT_16_CON_POST_R	INT_18_CON_POST_L	INT_19_CON_POST_L	INT_20_CON_POST_R	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L	INT_30_CON_POST_R	INT_31_CON_POST_L
0	17.1210113699846	13.7586470841685	11.8690542851779	20.1256356616826	12.2310754087459	26.8156110074248	21.1921809454344	25.9425763164503	16.6373298935638	23.6932719121284	20.6209780436684	33.1428189692554	26.6750535994045	15.60619754441	23.1836809397245	21.5267750247044	19.7904939334085	27.9656593310923	30.8845279906751	17.8840588007543	27.5795362962448	15.372000986548	13.7816940909256	19.6426743394033	13.6952423753866	18.518877157642	12.4874564826811	12.660478239896	15.5658323828558	11.0562275406858	17.7189579386575	10.8500851373458	22.864819097601	15.4347764219618	24.7098310908225	15.6017077745934	22.9806171415985	30.3446496747704	13.8248216121134	23.1383720409808	20.3961390489045	16.947694771919	25.6751166974959	24.4811430955878	12.3010953791922	29.4716662797517	14.626886326113	12.0787291715062	20.6019407080388	14.1928615384136	15.2512936402355	14.3865378762326	12.5171319521188	17.6135934322595	13.1031710044754	23.4600515636543	22.8662438929859	24.4153962775733	19.0705611912611	16.753584063854	14.8508649866164	25.4539886166576	19.7007767899293	14.3361643592572	20.2347384962616	18.3059181895677	31.0990575714517	31.8297906297861	33.286957548684	14.5647166360757	28.9472308325795	16.7230809146746	12.3542279355362	21.1228874880649	11.0508270104499	18.5265371325872	11.8758796287166	11.3079388141169	11.2042078001684	9.92487288939102	23.1315261083597	14.1601459861588	23.5842012443988	21.112444115285	22.9143738896559	13.3469793772237	30.0214806501885	27.207993566728	14.9999339457418	22.6149431899594	19.1555067535674	27.0788659403709	24.3970222008355	25.4799884858405	12.3647867961103	27.3603859072658	13.7254867630132	10.100715627634	16.4234874331249	11.674858160652
0.5	17.6071368016776	14.0866612852352	12.2707784884223	21.089350091767	12.44207176025	27.7897926960425	21.9770400658702	26.5742773985874	17.0703743763374	24.8030858645197	21.3005537682519	33.624373223716	27.242673617251	15.9778860411632	24.0116272944642	21.9590690081722	20.0735223172169	28.9179025905629	31.6073862630743	18.400432200571	28.6389303315467	15.6724687459261	14.1316756328632	20.0212637008707	14.0450899568402	18.8274403955217	12.7119042653419	12.9645899115687	15.9906874727771	11.2619443716269	18.1199942630705	11.2548028843695	23.280463197035	15.7439931243711	25.9458640637682	15.891930739345	23.3716930705234	30.9619716009597	14.0073904923775	23.847001531133	20.806093382331	17.1884347158031	26.5802224136761	24.9378790213167	12.4874138771322	30.5395476267555	14.8503364704685	12.3569464723018	21.0563766058821	14.7362464247669	15.5825256432225	14.7604112794423	13.0429587715057	18.2422361080443	13.6772101839667	23.8511768764165	23.4868824837228	24.921139128006	19.8473567399359	17.500131964199	15.0989833731897	26.5268993169838	20.1213035363817	14.5910802668829	20.8406877485625	18.7417357580375	32.6343960777485	33.60541168555	34.0597074154871	14.8581319172094	30.0374300628645	17.1394498533206	12.6132033225463	21.6811516676898	11.2749508025328	19.0058466977356	12.072340166471	11.6272944478346	11.3606457943872	10.2535997157259	23.5959362126728	14.4900477874746	23.834968498525	21.7298780862078	23.9606526346804	13.5341582862588	30.573554098039	27.7273103606055	15.2118247415815	23.1936566209992	19.4430412473004	27.61800949075	25.0568593564192	26.2814697969808	12.5765548681858	28.4565622625482	13.9962988400475	10.2983398972315	16.7445311183494	11.9288370689065
1	18.1013168017058	14.4091787201711	12.7795763209396	22.0045056443786	12.6535608087515	28.5698257001802	22.7835891288446	27.2031524184895	17.5152419301407	25.8767637882899	21.9593789078393	34.1260277046141	27.8019410030941	16.3613439214916	24.8921309880078	22.3932630690267	20.3729100281847	29.9207444294863	32.3360245546883	18.9659109237236	29.7705281127558	15.9878106855213	14.5071390054663	20.4183512675071	14.395474759759	19.1386630183144	12.9340176462236	13.26201496376	16.4190782940257	11.4593724116776	18.5136201415465	11.6731030803247	23.7352451064247	16.0520424371891	27.1619341994931	16.1825918289535	23.7922258948511	31.5853034209298	14.2017419530069	24.5577538603202	21.1920864722468	17.4415520246087	27.4899094894029	25.3993454042131	12.6809671114046	31.5914707871383	15.084712542831	12.6070143867178	21.5294669388327	15.2777163746499	15.9227700325704	15.1451615642306	13.5962147778564	18.8564871443261	14.2870422951261	24.2605882075707	24.1163330745067	25.443912544743	20.6021231434938	18.2680073208666	15.3553373890521	27.626857692619	20.551251806634	14.8323978021059	21.4838911030977	19.1877609380351	33.9491741657042	35.4885990110148	34.8261854812723	15.1846828897072	31.1836006740248	17.5560210775169	12.8853707220083	22.24182893473	11.5060375230515	19.5131809827511	12.2717498294567	11.9444378743711	11.5232293320888	10.6017302960553	24.0658921809956	14.7931593414183	24.1052338717384	22.3505088930716	25.0315672528096	13.7323580889027	31.1169681904653	28.2767832176033	15.4183461541493	23.7800275364551	19.7380242453638	28.1421102994372	25.7629102054145	27.0882116523222	12.7918971547093	29.5765394207037	14.273518062299	10.5059287358527	17.0686305807316	12.1802252918592
1.5	18.5777155409302	14.7262146375752	13.2793597256532	23.4679516213741	12.8633056200957	29.2902431212672	23.5987578685595	27.8195118522022	17.9693739499936	26.914139453895	22.5957816301545	34.6413521950333	28.3565523445187	16.7518480393616	25.8209649357526	22.8277694209874	20.6930082264193	30.979948663983	33.0621002958268	19.5737222703238	30.984376093688	16.2991228942356	14.9124091101513	20.8346467856004	14.7425324005173	19.4498430708504	13.1521476197917	13.551781958334	16.8539716354714	11.6487839616879	18.8995216569093	12.1060275082423	24.1787036910016	16.3583329920912	28.3536398777899	16.4725900493948	24.2435614426086	32.2122997765536	14.4094526551362	25.2703414561086	21.5606690664769	17.7073199174546	28.3985928874839	25.8673197620764	12.8787978251477	32.6232459164831	15.3188312382938	12.8530302610063	22.0180720156368	15.8207921475941	16.270756135876	15.5426311678973	14.1703491816213	19.450182358063	14.9308224924008	24.692843195526	24.7560504494784	25.9549443091326	21.3516633016935	19.0597411706925	15.6195251766174	28.7259700889636	20.9898697944665	15.057415441402	22.1630697683879	19.6451862860817	35.1549934094937	37.5184002063568	35.5649134394281	15.5431484632256	32.3348758246384	17.9810285453868	13.1660069475332	22.8025645306027	11.7457130381293	19.9739945244326	12.475274238612	12.2577478110022	11.6924212131017	10.9507143513589	24.5409085432216	15.0929629319707	24.3953515436591	22.9683873306627	26.1243371565219	13.9418421006891	31.6494438674949	28.8520516980237	15.6183593833973	24.3692022109072	20.0434222850717	28.6465418707344	26.5213754786128	27.9306797934719	13.009653094681	30.716970133175	14.5561513711508	10.7226378971232	17.3944951859194	12.4365862318458
2	19.0423266487629	15.0376724252371	13.7131912702578	25.6647403766854	13.0699053756466	29.9627349624131	24.4197616228624	28.4316296399162	18.4354757744972	27.9112176660555	23.2134393149725	35.1699073343866	28.9189374138009	17.1459473203346	26.7984591975021	23.2631122996136	21.0326653164873	32.0928158098295	33.7820992980432	20.2167973219369	32.2934937217919	16.6260695535069	15.3468166395163	21.2700238710797	15.0834988172723	19.7583467580786	13.3665248846276	13.8344966680282	17.301238249522	11.8317586707417	19.2807848941599	12.5540538821954	24.6072688027684	16.6643076957783	29.5237003520837	16.7612275970645	24.7233675228861	32.8419052988455	14.6311571731309	25.9871046898345	21.9200383969987	17.9861086756918	29.302735893554	26.3422804247041	13.079047613368	33.6351227126223	15.5529553987367	13.0964342987943	22.5185443612266	16.3710344336543	16.6232812426928	15.9561492052636	14.7547467792339	20.0220901600391	15.6047163384705	25.1503689650201	25.4022013255063	26.494378077897	22.0862569235555	19.8760591269145	15.8903929892429	29.8291227116713	21.4512919560353	15.268972759335	22.8757536087795	20.1130789003784	36.2713960546823	39.7109611913707	36.2722187153779	15.9341364780202	33.4818701309657	18.418315620643	13.4494328709002	23.3655788284311	11.9934843416159	20.4361507680893	12.6833148997412	12.5671045050098	11.867463552621	11.3101659281052	25.0200645453137	15.3901673950567	24.7041324680276	23.5761346032308	27.2343201070527	14.1617157484255	32.1693515517521	29.4463920143975	15.8123750790946	24.9549896034527	20.3603024456518	29.1297374621087	27.3373805378369	28.775787603946	13.2280292932491	31.8724940609051	14.8427847292793	10.946432574122	17.7202601123742	12.6992869334494
2.5	19.5028194891761	15.3464002320838	14.1531171605144	27.7517448324824	13.2732212550819	30.6001054577888	25.2586144595173	29.0505684807017	18.9228994343152	28.866724314641	23.8215342989086	35.7176467730855	29.4913021390007	17.5453776258109	27.8370252172309	23.7040868665775	21.3862117516207	33.2545511002997	34.4987318272353	20.8954576203413	33.7187684662588	16.9733251491351	15.8079647937729	21.7252546023016	15.4182932428871	20.0628653804832	13.5802344849646	14.112475597743	17.7694743122959	12.0111547704006	19.6642681108123	13.0186043218043	25.0203979407808	16.9738068092405	30.6812446608464	17.0488415126399	25.2275973870816	33.476074109452	14.8666136123807	26.7137160703774	22.2747217056357	18.2790349573031	30.2028035739654	26.8234055808241	13.2824121121437	34.6320517193893	15.7879764471515	13.3402492539648	23.0280226658454	16.9361203090499	16.9778345954935	16.3896376692805	15.3442956804621	20.5773970600715	16.3063972829722	25.6334827076665	26.0471962738957	27.0618484522212	22.7989772945847	20.7159580456782	16.1667908690875	30.9597419259107	21.9305905826708	15.4738546370719	23.6264976214038	20.5890032792025	37.301629472176	42.0497608790432	36.9581598724631	16.3624786918896	34.6188499772432	18.869147154881	13.7340646784837	23.9352082977592	12.2470380570724	20.9005950717206	12.895463213626	12.8745569718877	12.0471574057874	11.6814062513201	25.5040033870224	15.6867163655659	25.029674195631	24.1686479320584	28.357881793709	14.3904152447645	32.6773212409374	30.0548135832841	16.0028027585174	25.5326494986653	20.688071976191	29.5941112890722	28.2164928820636	29.61744779234	13.4458193124394	33.0380461735101	15.1328149062426	11.175531868817	18.0445364406203	12.968739061114
3	19.964800575208	15.6578883859674	14.6260721211166	29.6780393550258	13.4743996224506	31.2184957401744	26.1324086527381	29.6782338749675	19.443916681986	29.785968129445	24.4311845521788	36.2943808232477	30.0789014264699	17.9567336809158	28.9598453446843	24.1590187271606	21.7473864033756	34.4650991287786	35.2197396262192	21.616306649109	35.2829598057738	17.3508528107071	16.295839309672	22.2033625362875	15.7493211767773	20.3642676541824	13.7987505254944	14.3894363572669	18.2681995552924	12.1907149249326	20.059286844329	13.5032596382956	25.4211083966263	17.2925359475173	31.8374620116473	17.3370163338657	25.7533930677007	34.1202051855656	15.1149766654238	27.4586295665909	22.6314480204963	18.588203599329	31.1036785114797	27.3089614770566	13.4922805995116	35.6216939718313	16.0254325340629	13.5891572871404	23.5454459035199	17.5248834655877	17.3345983588726	16.8461500932849	15.9426690089748	21.1255355200684	17.0387677807741	26.1407511115895	26.6836389335692	27.6543173764519	23.4978847033359	21.5773882507076	16.4484838535258	32.117253979682	22.4158585008202	15.6797184598672	24.4293120073396	21.0698457057183	38.2853265480605	44.4915883555153	37.6308842583901	16.8371149914953	35.7424631681647	19.3325186031855	14.0241135933859	24.5135988381389	12.5031150802038	21.3681477977327	13.1106606989477	13.184274487441	12.2312544331896	12.065939723249	25.9968734671039	15.9862402741194	25.3705635594729	24.7458209349124	29.4951092158172	14.6264312576861	33.1768337929258	30.677052345889	16.1934351859735	26.1014118489012	21.0254925212756	30.045933276617	29.1665608813259	30.4578510913439	13.6635570213401	34.2117626802753	15.4272127881259	11.4097558613035	18.3671213032401	13.2449881686564
3.5	20.4355833350298	15.9788391148346	15.1364331975685	31.5549453993763	13.6755502875621	31.8335345521992	27.047418406765	30.3045458645905	20.0057850503406	30.6801515824155	25.0505391678185	36.9091328452831	30.688915645702	18.3884051484088	30.1860272434549	24.6368467656342	22.1139442196035	35.7314225492147	35.9545879853512	22.3831346142281	36.9909758131464	17.7701739190671	16.8151403841787	22.7096979537448	16.0797436395372	20.6656060487347	14.0282375379957	14.6695586991523	18.8048598889209	12.3741587818427	20.4746162238609	14.0135161956814	25.8152565760503	17.6263321781441	32.9986322075525	17.6284527527078	26.3014338625047	34.7822546702331	15.3752678566695	28.23079651898	22.9971243722049	18.9163763667268	32.013657824432	27.7972093343375	13.7136769705453	36.6104666559575	16.2677523990779	13.8482194901142	24.0716495562286	18.1451640453794	17.6969786147301	17.3265325148655	16.5552372737918	21.6753969817933	17.8100091766437	26.6695048916029	27.3092432881544	28.2696640272735	24.1952764035459	22.458719115908	16.7366923241165	33.2768296025053	22.9079342835086	15.8917185321152	25.3029507373447	21.5531910049938	39.2642435021382	46.9894828366355	38.2831254614803	17.3686323484798	36.860832753231	19.8061056316589	14.3271466601929	25.0989260882995	12.758952412275	21.8421553167048	13.3276674810593	13.5018225505493	12.421590076748	12.466296348496	26.5066095483236	16.2931643369792	25.7271677980838	25.3131107554008	30.6502445802435	14.8690460682125	33.6740959820138	31.317497359798	16.3880538279814	26.6650693242209	21.3722733782473	30.4932938506752	30.1980626632749	31.2996896329013	13.8839742274351	35.3963605651888	15.7283991792047	11.6508542918574	18.6893171628768	13.5282429040269
4	20.9220558013299	16.314691009634	15.680604471637	33.5502042090185	13.8791277555914	32.4561118328025	27.9930636780874	30.9141256013083	20.6063227898656	31.5626928588332	25.6819095315997	37.5660500931268	31.3279423032802	18.8451721437775	31.5140343498865	25.1435786567448	22.4890863229076	37.0648048399456	36.7099333182666	23.1881026161323	38.8131684908931	18.2378225843875	17.3740321420016	23.2506162364488	16.4111463805858	20.9713086159569	14.2734553018417	14.9560534464787	19.3819394148939	12.5641632302676	20.9155622594705	14.5551540903803	26.2090996873556	17.9788968959902	34.1619149337184	17.9265157298792	26.8761534037885	35.4703571453127	15.646839967668	29.0363324293776	23.3764820852278	19.2660199616965	32.9406159706808	28.2875707029294	13.951181845197	37.6000380063879	16.5179866487036	14.1209675089343	24.6085674964867	18.8021472670859	18.0706604749256	17.829135263178	17.1807431927347	22.2315712811389	18.6286539157464	27.2166707476144	27.9287491669158	28.9088199343517	24.9009717343954	23.3598549294442	17.0341342711375	34.4230332156894	23.4135893107453	16.1109392450823	26.2623237845707	22.0385462417	40.2495064269418	49.5090817367792	38.8960891262738	17.9646813515978	37.9791095768899	20.2877670666142	14.6495223894486	25.6873488619983	13.0132714611107	22.3285186082587	13.5457209655144	13.8326957915431	12.6220624814947	12.8861792769346	27.0440249522761	16.6114416655966	26.1023788318943	25.8792207302981	31.8297707608656	15.1188027095405	34.17716359949	31.9827795394181	16.5889854118956	27.2307910495381	21.7305386222656	30.9431387912608	31.3228505223309	32.1457583898592	14.1115034733824	36.5988511086507	16.0394217175627	11.9018200930782	19.0139128795188	13.819425378146
4.5	21.4286931417469	16.667542702239	16.2572414811275	35.9458353363612	14.087156419321	33.0901949724172	28.9514913947872	31.4969482449923	21.237498037812	32.4447411348826	26.3223711789625	38.2639140381712	31.9996468617601	19.3238075457443	32.9238836135129	25.6804070860953	22.8788925569944	38.4749648985011	37.4863387156947	24.0119160503474	40.6888362457384	18.7521647699111	17.9800542746795	23.8308897069606	16.742632283464	21.2859596578278	14.5364667905537	15.2501099615769	19.9952874760844	12.7619197388451	21.383125380479	15.1320855235929	26.606562528809	18.3505665524683	35.3175510966195	18.2343613074898	27.4843681186237	36.1900894645138	15.9296087250471	29.8761714688572	23.7707515583638	19.6379428852311	33.8877627437497	28.7814274668139	14.2071283796577	38.5863763357461	16.7788631117481	14.4081960676027	25.1578744607499	19.4981082086812	18.4612837347411	18.3502927394745	17.810506757288	22.7938103543283	19.4984015780312	27.7803026410682	28.5518610373672	29.5754142994817	25.6175425015205	24.282457369617	17.3445303872114	35.5687994278904	23.9432253851076	16.335548978299	27.313928515414	22.5275769789126	41.2315272739001	52.022276188321	39.4567261674374	18.627007571392	39.1096842243855	20.7770414767647	14.9931496439179	26.2770233836236	13.2663396317445	22.8345647212417	13.7650076181521	14.1809982848114	12.8375203583226	13.3299450245622	27.6216919399486	16.9434935509227	26.501724979399	26.4517152712755	33.0392295869187	15.3774761644309	34.6940384737695	32.6780520261874	16.7965234181704	27.806577134146	22.10513713453	31.3989189536206	32.5517942106161	32.9983092794959	14.3505876828805	37.8275150053095	16.3626440519569	12.1654923617287	19.3446713483447	14.1204724711303
